 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 13.01.13 12:00 0.02 0.13 0.14 0.19 0.00 0.10 0.00 0.06 0.00
 -------- 13:00 0.02 0.15 0.17 0.20 0.01 0.08 0.00 0.08 0.00
 -------- 14:00 0.01 0.13 0.16 0.21 0.01 0.09 0.00 0.07 0.00
 -------- 15:00 0.01 0.12 0.15 0.22 0.00 0.11 0.00 0.08 0.00
 -------- 16:00 0.01 0.13 0.16 0.22 0.01 0.11 0.00 0.07 0.00
 13.01.13 17:00 0.01 0.10 0.16 0.25 0.00 0.11 0.00 0.06 0.01
 -------- 18:00 0.01 0.10 0.15 0.26 0.01 0.11 0.00 0.09 0.01
 -------- 19:00 0.00 0.14 0.17 0.24 0.00 0.08 0.00 0.06 0.00
 -------- 20:00 0.00 0.11 0.15 0.23 0.01 0.09 0.00 0.06 0.00
 -------- 21:00 0.00 0.10 0.14 0.24 0.01 0.11 0.00 0.06 0.01
 13.01.13 22:00 0.00 0.10 0.14 0.24 0.01 0.09 0.00 0.08 0.00
 -------- 23:00 0.00 0.10 0.14 0.25 0.00 0.10 0.00 0.07 0.00
 -------- 00:00 0.00 0.12 0.14 0.22 0.00 0.09 0.00 0.05 0.00
 -------- 01:00 0.00 0.13 0.13 0.20 0.01 0.09 0.00 0.09 0.00
 -------- 02:00 0.00 0.15 0.12 0.17 0.01 0.08 0.00 0.08 0.00
 14.01.13 03:00 0.00 0.16 0.12 0.17 0.01 0.07 0.00 0.08 0.00
 -------- 04:00 0.00 0.17 0.12 0.16 0.00 0.07 0.00 0.07 0.00
 -------- 05:00 0.00 0.14 0.14 0.19 0.00 0.07 0.00 0.06 0.00
 -------- 06:00 0.00 0.11 0.15 0.22 0.01 0.08 0.00 0.07 0.01
 -------- 07:00 0.00 0.10 0.16 0.26 0.01 0.07 0.00 0.07 0.01
 14.01.13 08:00 0.00 0.09 0.16 0.27 0.01 0.09 0.00 0.08 0.00
 -------- 09:00 0.00 0.08 0.17 0.30 0.01 0.08 0.00 0.09 0.00
 -------- 10:00 0.00 0.08 0.18 0.30 0.01 0.11 0.00 0.08 0.01
 -------- 11:00 0.01 0.10 0.18 0.31 0.01 0.09 0.00 0.06 0.01
 -------- 12:00 0.00 0.12 0.17 0.30 0.01 0.08 0.00 0.09 0.00
 14.01.13 13:00 0.00 0.14 0.16 0.27 0.01 0.08 0.00 0.08 0.00
 -------- 14:00 0.00 0.12 0.18 0.31 0.00 0.08 0.00 0.09 0.00
 -------- 15:00 0.00 0.12 0.18 0.32 0.01 0.11 0.00 0.09 0.00
 -------- 16:00 0.00 0.12 0.15 0.32 0.01 0.10 0.00 0.07 0.00
 -------- 17:00 0.00 0.15 0.15 0.28 0.01 0.07 0.00 0.07 0.00
 14.01.13 18:00 0.00 0.15 0.13 0.27 0.01 0.10 0.00 0.10 0.00
 -------- 19:00 0.00 0.15 0.14 0.27 0.01 0.09 0.00 0.08 0.00
 -------- 20:00 0.00 0.25 0.12 0.18 0.00 0.07 0.00 0.08 0.00
 -------- 21:00 0.00 0.25 0.13 0.23 0.01 0.06 0.00 0.08 0.00
 -------- 22:00 0.00 0.21 0.12 0.20 0.00 0.07 0.00 0.07 0.00
 14.01.13 23:00 0.00 0.21 0.13 0.22 0.00 0.06 0.00 0.07 0.00
 -------- 00:00 0.00 0.22 0.14 0.22 0.01 0.06 0.00 0.07 0.00
 -------- 01:00 0.00 0.22 0.13 0.20 0.01 0.07 0.00 0.07 0.00
 -------- 02:00 0.00 0.21 0.10 0.18 0.01 0.09 0.00 0.08 0.00
 -------- 03:00 0.00 0.25 0.09 0.14 0.01 0.08 0.00 0.07 0.00
 15.01.13 04:00 0.00 0.29 0.08 0.11 0.01 0.08 0.00 0.08 0.00
 -------- 05:00 0.00 0.27 0.10 0.14 0.01 0.08 0.00 0.07 0.00
 -------- 06:00 0.00 0.22 0.11 0.17 0.00 0.08 0.00 0.07 0.00
 -------- 07:00 0.00 0.16 0.13 0.27 0.01 0.09 0.00 0.07 0.00
 -------- 08:00 0.00 0.14 0.15 0.31 0.00 0.05 0.00 0.09 0.00
 15.01.13 09:00 0.00 0.13 0.15 0.31 0.00 0.08 0.00 0.07 0.00
 -------- 10:00 0.00 0.14 0.15 0.31 0.01 0.08 0.00 0.06 0.00
 -------- 11:00 0.00 0.13 0.14 0.32 0.01 0.09 0.00 0.09 0.01
