 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 05.05.13 12:00 0.00 0.19 0.12 0.27 0.01 ---- 0.00 0.08 0.01
 -------- 13:00 0.00 0.22 0.14 0.22 0.01 0.01 0.00 0.07 0.01
 -------- 14:00 ---- 0.26 0.15 0.18 0.01 ---- 0.00 0.07 0.01
 -------- 15:00 ---- 0.24 0.12 0.19 0.01 0.02 0.00 0.07 0.01
 -------- 16:00 ---- 0.26 0.14 0.16 0.01 0.01 0.00 0.08 0.01
 05.05.13 17:00 0.00 0.26 0.15 0.19 0.01 0.02 0.00 0.07 0.01
 -------- 18:00 0.00 0.25 0.17 0.22 0.01 0.02 0.00 0.07 0.01
 -------- 19:00 ---- 0.30 0.15 0.19 0.01 0.05 0.00 0.10 0.00
 -------- 20:00 ---- 0.26 0.14 0.22 0.01 0.02 0.00 0.10 0.01
 -------- 21:00 ---- 0.20 0.17 0.28 0.01 0.02 0.00 0.09 0.01
 05.05.13 22:00 0.00 0.18 0.17 0.27 0.01 0.01 0.00 0.09 0.01
 -------- 23:00 0.00 0.19 0.17 0.27 0.01 0.01 0.00 0.11 0.01
 -------- 00:00 0.00 0.22 0.13 0.21 0.01 0.01 0.00 0.07 0.01
 -------- 01:00 0.00 0.23 0.12 0.17 0.01 0.01 0.00 0.07 0.01
 -------- 02:00 ---- 0.22 0.12 0.18 0.01 0.02 0.00 0.05 0.01
 06.05.13 03:00 0.00 0.24 0.13 0.19 0.01 ---- 0.00 0.05 0.01
 -------- 04:00 0.00 0.15 0.15 0.29 0.01 0.02 0.00 0.07 0.01
 -------- 05:00 0.01 0.19 0.14 0.26 0.01 0.02 0.00 0.07 0.01
 -------- 06:00 ---- 0.26 0.12 0.22 0.01 0.03 0.00 0.07 0.01
 -------- 07:00 0.00 0.38 0.09 0.15 0.01 0.04 0.00 0.07 0.01
 06.05.13 08:00 0.00 0.30 0.11 0.25 0.01 0.01 0.00 0.06 0.01
 -------- 09:00 0.00 0.40 0.10 0.15 0.01 0.03 0.00 0.08 0.01
 -------- 10:00 0.00 0.41 0.10 0.12 0.01 0.04 0.00 0.07 0.00
 -------- 11:00 0.00 0.41 0.13 0.14 0.01 0.03 0.00 0.09 0.00
 -------- 12:00 0.00 0.43 0.11 0.11 0.01 0.02 0.00 0.08 0.00
 06.05.13 13:00 ---- 0.40 0.10 0.14 0.01 0.05 0.00 0.07 0.00
 -------- 14:00 ---- 0.37 0.12 0.17 0.01 0.04 0.00 0.08 0.01
 -------- 15:00 0.00 0.40 0.12 0.13 0.01 0.04 0.00 0.07 0.01
 -------- 16:00 0.01 0.41 0.13 0.13 0.01 0.05 0.00 0.08 0.01
 -------- 17:00 0.01 0.40 0.13 0.13 0.01 0.05 0.00 0.08 0.01
 06.05.13 18:00 0.00 0.39 0.15 0.15 0.01 0.04 0.00 0.07 0.01
 -------- 19:00 0.00 0.35 0.15 0.18 0.01 0.03 0.00 0.07 0.00
 -------- 20:00 0.00 0.36 0.14 0.18 0.01 0.03 0.00 0.08 0.01
 -------- 21:00 0.01 0.30 0.13 0.20 0.01 0.03 0.00 0.06 0.01
 -------- 22:00 0.01 0.30 0.16 0.23 0.01 0.02 0.00 0.06 0.00
 06.05.13 23:00 0.02 0.25 0.14 0.27 0.01 0.01 0.00 0.05 0.01
 -------- 00:00 0.03 0.23 0.15 0.29 0.01 ---- 0.00 0.05 0.01
 -------- 01:00 0.01 0.29 0.12 0.22 0.01 0.01 0.00 0.05 0.00
 -------- 02:00 0.00 0.30 0.12 0.19 0.01 0.01 0.00 0.05 0.01
 -------- 03:00 0.01 0.13 0.15 0.35 0.02 0.03 0.00 0.06 0.01
 07.05.13 04:00 0.01 0.11 0.14 0.36 0.01 0.01 0.00 0.05 0.01
 -------- 05:00 0.01 0.11 0.16 0.36 0.01 ---- 0.00 0.06 0.01
 -------- 06:00 0.01 0.12 0.12 0.33 0.01 0.01 0.00 0.05 0.01
 -------- 07:00 0.01 0.12 0.13 0.33 0.01 0.02 0.00 0.06 0.01
 -------- 08:00 0.00 0.17 0.06 0.29 0.01 0.06 0.00 0.07 0.00
 07.05.13 09:00 0.00 0.20 0.16 0.29 0.01 0.01 0.00 0.06 0.01
 -------- 10:00 0.00 0.29 0.12 0.23 0.01 0.04 0.00 0.07 0.00
 -------- 11:00 0.00 0.37 0.11 0.15 0.01 0.03 0.00 0.06 0.01
