 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 29.09.12 12:00 ---- 0.25 0.20 0.16 0.01 0.10 0.00 0.06 0.00
 -------- 13:00 0.00 0.30 0.20 0.16 0.01 0.10 0.00 0.08 0.00
 -------- 14:00 0.00 0.26 0.21 0.15 0.01 0.10 0.00 0.08 0.00
 -------- 15:00 0.00 0.25 0.21 0.17 0.01 0.10 0.00 0.08 0.00
 -------- 16:00 0.00 0.26 0.23 0.19 0.01 0.10 0.00 0.07 0.00
 29.09.12 17:00 0.00 0.27 0.22 0.19 0.01 0.10 0.00 0.07 0.00
 -------- 18:00 0.00 0.18 0.23 0.28 0.01 0.10 0.00 0.06 0.00
 -------- 19:00 0.00 0.13 0.24 0.32 0.01 0.10 0.00 0.07 0.00
 -------- 20:00 0.00 0.10 0.26 0.34 0.01 0.10 0.00 0.08 0.00
 -------- 21:00 0.00 0.10 0.27 0.35 0.01 0.10 0.00 0.08 0.00
 29.09.12 22:00 0.01 0.09 0.27 0.36 0.01 0.10 0.00 0.08 0.00
 -------- 23:00 0.00 0.09 0.27 0.36 0.01 0.10 0.00 0.08 0.00
 -------- 00:00 0.01 0.08 0.26 0.37 0.01 0.10 0.00 0.08 0.00
 -------- 01:00 0.01 0.09 0.24 0.34 0.01 0.10 0.00 0.08 0.00
 -------- 02:00 0.00 0.08 0.23 0.31 0.01 0.10 0.00 0.07 0.00
 30.09.12 03:00 0.00 0.08 0.22 0.30 0.01 0.10 0.00 0.08 0.00
 -------- 04:00 0.00 0.08 0.22 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 05:00 0.00 0.08 0.20 0.28 0.01 0.10 0.00 0.07 0.00
 -------- 06:00 0.00 0.09 0.20 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 07:00 0.00 0.10 0.19 0.26 0.01 0.10 0.00 0.07 0.00
 30.09.12 08:00 0.00 0.08 0.20 0.27 0.01 0.10 0.00 0.08 0.00
 -------- 09:00 0.00 0.10 0.20 0.26 0.01 0.10 0.00 0.08 0.00
 -------- 10:00 0.00 0.11 0.20 0.25 0.01 0.10 0.00 0.08 0.00
 -------- 11:00 0.00 0.14 0.22 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 12:00 0.00 0.20 0.20 0.24 0.01 0.10 0.00 0.07 0.00
 30.09.12 13:00 0.00 0.18 0.21 0.27 0.01 0.10 0.00 0.07 0.00
 -------- 14:00 0.00 0.19 0.20 0.25 0.01 0.10 0.00 0.08 0.00
 -------- 15:00 0.00 0.21 0.17 0.24 0.01 0.10 0.00 0.07 0.00
 -------- 16:00 0.00 0.24 0.17 0.20 0.01 0.10 0.00 0.08 0.00
 -------- 17:00 0.00 0.18 0.17 0.28 0.01 0.10 0.00 0.05 0.00
 30.09.12 18:00 0.00 0.11 0.21 0.35 0.01 0.10 0.00 0.08 0.00
 -------- 19:00 0.00 0.12 0.17 0.33 0.01 0.10 0.00 0.07 0.00
 -------- 20:00 0.00 0.13 0.18 0.31 0.00 0.10 0.00 0.07 0.00
 -------- 21:00 ---- 0.11 0.19 0.26 0.01 0.10 0.00 0.06 0.01
 -------- 22:00 ---- 0.18 0.17 0.19 0.01 0.10 0.00 0.06 0.00
 30.09.12 23:00 ---- 0.21 0.17 0.17 0.01 0.10 0.00 0.07 0.00
 -------- 00:00 ---- 0.23 0.16 0.16 0.01 0.10 0.00 0.06 0.00
 -------- 01:00 ---- 0.25 0.14 0.13 0.01 0.10 0.00 0.07 0.00
 -------- 02:00 ---- 0.27 0.14 0.12 0.01 0.10 0.00 0.05 0.00
 -------- 03:00 ---- 0.24 0.12 0.10 0.01 0.10 0.00 0.08 0.00
 01.10.12 04:00 0.00 0.28 0.14 0.09 0.01 0.10 0.00 0.06 0.00
 -------- 05:00 ---- 0.26 0.15 0.12 0.01 0.10 0.00 0.06 0.00
 -------- 06:00 ---- 0.22 0.17 0.15 0.01 0.10 0.00 0.06 0.00
 -------- 07:00 0.00 0.20 0.17 0.18 0.01 0.10 0.00 0.05 0.00
 -------- 08:00 0.00 0.16 0.17 0.22 0.01 0.10 0.00 0.07 0.00
 01.10.12 09:00 0.00 0.15 0.16 0.23 0.01 0.10 0.00 0.06 0.00
 -------- 10:00 0.00 0.20 0.17 0.19 0.01 0.10 0.00 0.08 0.00
 -------- 11:00 0.00 0.25 0.21 0.15 0.01 0.10 0.00 0.06 0.00
