 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 09.04.13 12:00 0.02 0.26 0.22 0.52 0.01 0.11 0.00 0.06 0.01
 -------- 13:00 0.01 0.26 0.20 0.49 0.01 0.11 0.00 0.10 0.01
 -------- 14:00 0.02 0.30 0.18 0.46 0.01 0.12 0.00 0.08 0.01
 -------- 15:00 0.02 0.32 0.17 0.43 0.01 0.15 0.00 0.07 0.01
 -------- 16:00 0.02 0.30 0.18 0.46 0.01 0.14 0.00 0.07 0.01
 09.04.13 17:00 0.02 0.38 0.14 0.32 0.01 0.16 0.00 0.06 0.01
 -------- 18:00 0.02 0.46 0.12 0.27 0.01 0.14 0.00 0.06 0.01
 -------- 19:00 0.01 0.45 0.11 0.27 0.01 0.15 0.00 0.07 0.01
 -------- 20:00 0.01 0.22 0.18 0.52 0.01 0.16 0.00 0.07 0.01
 -------- 21:00 0.01 0.16 0.19 0.56 0.01 0.14 0.00 0.08 0.01
 09.04.13 22:00 0.01 0.09 0.24 0.68 0.02 0.15 0.00 0.07 0.01
 -------- 23:00 0.01 0.10 0.25 0.72 0.02 0.17 0.00 0.11 0.01
 -------- 00:00 0.01 0.11 0.27 0.78 0.02 0.17 0.00 0.11 0.01
 -------- 01:00 0.02 0.10 0.26 0.79 0.03 0.19 0.00 0.12 0.01
 -------- 02:00 0.01 0.11 0.24 0.75 0.02 0.16 0.00 0.11 0.01
 10.04.13 03:00 0.01 0.09 0.21 0.71 0.02 0.15 0.00 0.11 0.01
 -------- 04:00 0.01 0.09 0.20 0.68 0.02 0.16 0.00 0.09 0.01
 -------- 05:00 0.01 0.09 0.20 0.61 0.01 0.14 0.00 0.09 0.01
 -------- 06:00 0.01 0.09 0.20 0.56 0.01 0.15 0.00 0.07 0.01
 -------- 07:00 0.02 0.10 0.20 0.59 0.01 0.15 0.00 0.07 0.01
 10.04.13 08:00 0.01 0.14 0.23 0.55 0.01 0.13 0.00 0.07 0.01
 -------- 09:00 0.01 0.23 0.19 0.47 0.01 0.13 0.00 0.06 0.01
 -------- 10:00 0.01 0.29 0.18 0.40 0.01 0.14 0.00 0.06 0.01
 -------- 11:00 0.01 0.36 0.16 0.33 0.01 0.14 0.00 0.07 0.01
 -------- 12:00 0.00 0.42 0.14 0.27 0.01 0.13 0.00 0.06 0.00
 10.04.13 13:00 0.01 0.48 0.11 0.22 0.01 0.14 0.00 0.06 0.00
 -------- 14:00 0.00 0.43 0.13 0.28 0.01 0.13 0.00 0.06 0.01
 -------- 15:00 0.00 0.48 0.11 0.22 0.01 0.13 0.00 0.06 0.00
 -------- 16:00 0.00 0.51 0.12 0.21 0.01 0.17 0.00 0.05 0.01
 -------- 17:00 0.00 0.49 0.14 0.31 0.01 0.16 0.00 0.05 0.01
 10.04.13 18:00 0.00 0.40 0.12 0.38 0.01 0.14 0.00 0.06 0.01
 -------- 19:00 0.01 0.32 0.15 0.47 0.01 0.17 0.00 0.07 0.01
 -------- 20:00 0.01 0.30 0.16 0.47 0.01 0.16 0.00 0.06 0.01
 -------- 21:00 0.02 0.19 0.19 0.58 0.01 0.16 0.00 0.07 0.01
 -------- 22:00 0.00 0.20 0.20 0.54 0.01 0.13 0.00 0.06 0.01
 10.04.13 23:00 0.01 0.11 0.23 0.74 0.02 0.15 0.00 0.10 0.01
 -------- 00:00 0.01 0.12 0.18 0.61 0.01 0.15 0.00 0.07 0.01
 -------- 01:00 0.01 0.11 0.19 0.59 0.01 0.12 0.00 0.08 0.01
 -------- 02:00 0.03 0.15 0.18 0.54 0.01 0.13 0.00 0.05 0.01
 -------- 03:00 0.08 0.11 0.17 0.56 0.01 0.11 0.00 0.04 0.01
 11.04.13 04:00 0.03 0.12 0.17 0.53 0.01 0.11 0.00 0.06 0.01
 -------- 05:00 0.01 0.13 0.19 0.48 0.01 0.16 0.00 0.06 0.01
 -------- 06:00 0.01 0.14 0.17 0.50 0.01 0.14 0.00 0.05 0.01
 -------- 07:00 0.04 0.10 0.18 0.57 0.01 0.15 0.00 0.06 0.01
 -------- 08:00 0.04 0.15 0.21 0.54 0.01 0.13 0.00 0.05 0.01
 11.04.13 09:00 0.05 0.24 0.20 0.46 0.01 0.13 0.00 0.06 0.01
 -------- 10:00 0.03 0.30 0.19 0.39 0.01 0.15 0.00 0.06 0.01
 -------- 11:00 0.02 0.41 0.16 0.31 0.01 0.14 0.00 0.06 0.01
