 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 03.03.13 12:00 0.00 0.20 0.07 0.31 0.01 0.07 0.00 0.07 0.00
 -------- 13:00 0.01 0.22 0.08 0.27 0.01 0.09 0.00 0.06 0.00
 -------- 14:00 0.02 0.29 0.05 0.26 0.00 0.08 0.00 0.06 0.00
 -------- 15:00 0.02 0.35 0.04 0.15 0.01 0.08 0.00 0.06 0.00
 -------- 16:00 0.01 0.30 0.09 0.20 0.01 0.08 0.00 0.06 0.01
 03.03.13 17:00 0.09 0.25 0.04 0.29 0.01 0.08 0.00 0.03 0.00
 -------- 18:00 0.05 0.27 0.04 0.26 0.00 0.06 0.00 0.04 0.01
 -------- 19:00 0.10 0.24 0.02 0.30 0.00 0.05 0.00 0.05 ----
 -------- 20:00 0.03 0.25 0.02 0.28 0.01 0.09 0.00 0.06 0.00
 -------- 21:00 0.04 0.26 0.04 0.28 0.01 0.07 0.00 0.05 0.00
 03.03.13 22:00 0.05 0.29 0.01 0.23 0.01 0.08 0.00 0.05 0.00
 -------- 23:00 0.01 0.35 0.03 0.16 0.01 0.06 0.00 0.05 0.00
 -------- 00:00 0.00 0.38 0.02 0.13 0.00 0.07 0.00 0.09 0.00
 -------- 01:00 0.00 0.36 ---- 0.14 0.00 0.07 0.00 0.07 0.00
 -------- 02:00 0.00 0.34 0.00 0.15 0.00 0.07 0.00 0.07 0.00
 04.03.13 03:00 0.00 0.34 0.01 0.15 0.00 0.07 0.00 0.06 0.00
 -------- 04:00 0.00 0.36 0.02 0.14 0.01 0.05 0.00 0.07 0.00
 -------- 05:00 0.00 0.33 0.06 0.15 0.01 0.06 0.00 0.07 0.00
 -------- 06:00 0.00 0.31 ---- 0.16 0.01 0.07 0.00 0.07 0.00
 -------- 07:00 0.00 0.31 0.01 0.18 0.00 0.06 0.00 0.06 0.00
 04.03.13 08:00 0.00 0.30 0.01 0.21 0.01 0.04 0.00 0.07 0.00
 -------- 09:00 0.00 0.30 0.03 0.19 0.00 0.08 0.00 0.06 0.00
 -------- 10:00 0.00 0.34 0.04 0.17 0.01 0.05 0.00 0.06 0.00
 -------- 11:00 0.00 0.35 0.00 0.17 0.01 0.07 0.00 0.09 0.00
 -------- 12:00 0.00 0.36 0.02 0.15 0.01 0.09 0.00 0.10 0.00
 04.03.13 13:00 0.00 0.38 0.04 0.15 0.00 0.07 0.00 0.08 0.00
 -------- 14:00 0.00 0.40 0.01 0.14 0.01 0.07 0.00 0.08 0.00
 -------- 15:00 0.00 0.41 ---- 0.13 0.00 0.08 0.00 0.08 0.00
 -------- 16:00 0.00 0.39 ---- 0.14 0.01 0.08 0.00 0.08 0.00
 -------- 17:00 0.00 0.38 0.01 0.14 0.00 0.07 0.00 0.07 0.00
 04.03.13 18:00 0.00 0.37 0.04 0.16 0.01 0.07 0.00 0.05 0.00
 -------- 19:00 0.01 0.32 0.03 0.21 0.01 0.07 0.00 0.09 0.01
 -------- 20:00 0.01 0.30 0.01 0.21 0.01 0.11 0.00 0.07 0.00
 -------- 21:00 0.00 0.31 0.02 0.21 0.01 0.08 0.00 0.08 0.00
 -------- 22:00 0.01 0.31 0.03 0.21 0.01 0.06 0.00 0.08 0.01
 04.03.13 23:00 0.03 0.25 0.02 0.24 0.00 0.07 0.00 0.06 0.01
 -------- 00:00 0.03 0.20 0.03 0.28 0.01 0.06 0.00 0.05 0.00
 -------- 01:00 0.03 0.18 0.02 0.29 0.01 0.04 0.00 0.07 0.00
 -------- 02:00 0.02 0.21 0.03 0.27 0.00 0.03 0.00 0.08 0.00
 -------- 03:00 0.01 0.23 0.05 0.25 0.01 0.02 0.00 0.08 0.01
 05.03.13 04:00 0.01 0.16 0.01 0.30 0.00 0.05 0.00 0.07 0.00
 -------- 05:00 0.01 0.09 0.03 0.43 0.01 0.07 0.00 0.08 0.00
 -------- 06:00 0.01 0.07 0.07 0.49 0.01 0.07 0.00 0.07 0.01
 -------- 07:00 0.01 0.08 0.09 0.51 0.01 0.03 0.00 0.09 0.01
 -------- 08:00 0.01 0.06 0.11 0.55 0.01 0.09 0.00 0.11 0.01
 05.03.13 09:00 0.01 0.07 0.10 0.53 0.01 0.07 0.00 0.10 0.01
 -------- 10:00 0.01 0.11 0.10 0.50 0.01 0.07 0.00 0.10 0.01
 -------- 11:00 0.01 0.15 0.12 0.47 0.01 0.05 0.00 0.11 0.00
