 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 18.02.13 12:00 0.00 0.23 0.12 0.28 0.01 0.06 0.00 0.08 0.00
 -------- 13:00 0.00 0.15 0.14 0.38 0.01 0.10 0.00 0.07 0.00
 -------- 14:00 0.00 0.14 0.14 0.37 0.01 0.11 0.00 0.08 0.00
 -------- 15:00 0.00 0.15 0.13 0.34 0.01 0.08 0.00 0.08 0.00
 -------- 16:00 0.00 0.16 0.12 0.32 0.01 0.10 0.00 0.07 0.00
 18.02.13 17:00 0.00 0.16 0.12 0.32 0.01 0.08 0.00 0.06 0.00
 -------- 18:00 0.00 0.20 0.09 0.26 0.01 0.09 0.00 0.08 0.00
 -------- 19:00 0.00 0.16 0.11 0.32 0.01 0.09 0.00 0.08 0.00
 -------- 20:00 0.00 0.13 0.12 0.34 0.01 0.12 0.00 0.07 0.00
 -------- 21:00 0.01 0.10 0.13 0.38 0.01 0.14 0.00 0.08 0.00
 18.02.13 22:00 0.00 0.12 0.11 0.34 0.01 0.13 0.00 0.06 0.00
 -------- 23:00 0.01 0.11 0.11 0.36 0.01 0.14 0.00 0.08 0.00
 -------- 00:00 0.01 0.09 0.12 0.37 0.01 0.18 0.00 0.09 0.00
 -------- 01:00 0.01 0.08 0.11 0.37 0.01 0.20 0.00 0.06 0.00
 -------- 02:00 0.01 0.08 0.11 0.37 0.01 0.16 0.00 0.07 0.00
 19.02.13 03:00 0.01 0.11 0.11 0.35 0.01 0.18 0.00 0.08 0.00
 -------- 04:00 0.00 0.10 0.10 0.36 0.00 0.16 0.00 0.08 0.00
 -------- 05:00 0.00 0.15 0.08 0.30 0.01 0.08 0.00 0.06 0.00
 -------- 06:00 0.00 0.16 0.09 0.29 0.01 0.10 0.00 0.07 0.00
 -------- 07:00 0.00 0.14 0.10 0.35 0.01 0.07 0.00 0.08 0.00
 19.02.13 08:00 0.00 0.09 0.14 0.40 0.01 0.14 0.00 0.09 0.00
 -------- 09:00 0.00 0.10 0.15 0.42 0.01 0.10 0.00 0.09 0.00
 -------- 10:00 0.00 0.12 0.10 0.37 0.01 0.08 0.00 0.07 0.00
 -------- 11:00 0.01 0.17 0.06 0.29 0.01 0.08 0.00 0.08 0.00
 -------- 12:00 0.01 0.21 0.11 0.28 0.01 0.08 0.00 0.09 0.00
 19.02.13 13:00 0.01 0.21 0.11 0.29 0.01 0.07 0.00 0.06 0.00
 -------- 14:00 0.01 0.23 0.09 0.26 0.01 0.07 0.00 0.08 0.00
 -------- 15:00 0.01 0.24 0.12 0.27 0.00 0.08 0.00 0.08 0.00
 -------- 16:00 0.01 0.22 0.11 0.30 0.01 0.09 0.00 0.09 0.00
 -------- 17:00 0.01 0.17 0.13 0.37 0.01 0.10 0.00 0.07 0.00
 19.02.13 18:00 0.01 0.14 0.14 0.41 0.01 0.07 0.00 0.07 0.00
 -------- 19:00 0.01 0.12 0.15 0.45 0.01 0.09 0.00 0.10 0.00
 -------- 20:00 0.01 0.09 0.14 0.47 0.01 0.14 0.00 0.09 0.00
 -------- 21:00 0.01 0.08 0.16 0.48 0.01 0.12 0.00 0.08 0.01
 -------- 22:00 0.01 0.10 0.18 0.50 0.01 0.11 0.00 0.08 0.00
 19.02.13 23:00 0.01 0.09 0.16 0.49 0.01 0.12 0.00 0.09 0.00
 -------- 00:00 0.01 0.09 0.13 0.50 0.01 0.11 0.00 0.09 0.01
 -------- 01:00 0.01 0.09 0.14 0.48 0.01 0.10 0.00 0.10 0.00
 -------- 02:00 0.01 0.09 0.12 0.46 0.01 0.06 0.00 0.09 0.00
 -------- 03:00 0.01 0.09 0.11 0.46 0.01 0.09 0.00 0.07 0.00
 20.02.13 04:00 0.01 0.08 0.08 0.48 0.01 0.11 0.00 0.09 0.01
 -------- 05:00 0.01 0.09 0.11 0.46 0.01 0.08 0.00 0.09 0.00
 -------- 06:00 0.01 0.08 0.11 0.49 0.01 0.08 0.00 0.09 0.00
 -------- 07:00 0.01 0.09 0.12 0.46 0.01 0.07 0.00 0.10 0.01
 -------- 08:00 0.01 0.09 0.15 0.47 0.01 0.07 0.00 0.10 0.01
 20.02.13 09:00 0.01 0.09 0.18 0.53 0.02 0.10 0.00 0.10 0.01
 -------- 10:00 0.01 0.10 0.19 0.52 0.02 0.11 0.00 0.12 0.01
 -------- 11:00 0.01 0.13 0.15 0.41 0.01 0.07 0.00 0.08 0.01
