 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 31.12.12 12:00 ---- 0.08 0.12 0.24 0.01 0.09 0.00 0.07 0.01
 -------- 13:00 0.00 0.11 0.14 0.20 0.01 0.12 0.00 0.06 0.00
 -------- 14:00 ---- 0.10 0.17 0.22 0.01 0.10 0.00 0.06 0.01
 -------- 15:00 0.00 0.07 0.14 0.25 0.01 0.12 0.00 0.09 0.00
 -------- 16:00 0.00 0.08 0.19 0.23 0.01 0.13 0.00 0.05 0.00
 31.12.12 17:00 0.00 0.07 0.19 0.28 0.01 0.09 0.00 0.06 0.00
 -------- 18:00 0.00 0.08 0.17 0.27 0.01 0.12 0.00 0.08 0.00
 -------- 19:00 0.00 0.10 0.16 0.24 0.01 0.08 0.00 0.06 0.00
 -------- 20:00 0.00 0.07 0.15 0.26 0.01 0.10 0.00 0.07 0.00
 -------- 21:00 0.00 0.06 0.15 0.27 0.01 0.11 0.00 0.08 0.00
 31.12.12 22:00 0.00 0.09 0.17 0.28 0.01 0.09 0.00 0.09 0.00
 -------- 23:00 0.00 0.07 0.21 0.26 0.01 0.10 0.00 0.09 0.01
 -------- 00:00 0.00 0.08 0.16 0.24 0.01 0.09 0.00 0.08 0.00
 -------- 01:00 0.00 0.08 0.14 0.24 0.01 0.09 0.00 0.06 0.00
 -------- 02:00 0.00 0.05 0.13 0.23 0.01 0.14 0.00 0.05 0.00
 01.01.13 03:00 0.00 0.09 0.17 0.24 0.01 0.08 0.00 0.08 0.01
 -------- 04:00 0.00 0.06 0.13 0.27 0.02 0.09 0.00 0.07 0.01
 -------- 05:00 0.00 0.08 0.15 0.25 0.01 0.08 0.00 0.09 0.00
 -------- 06:00 0.00 0.12 0.15 0.21 0.01 0.07 0.00 0.05 0.00
 -------- 07:00 ---- 0.09 0.12 0.24 0.01 0.11 0.00 0.08 0.00
 01.01.13 08:00 0.00 0.11 0.17 0.23 0.01 0.06 0.00 0.05 0.01
 -------- 09:00 0.00 0.11 0.18 0.23 0.00 0.06 0.00 0.06 0.00
 -------- 10:00 0.00 0.11 0.16 0.22 0.01 0.05 0.00 0.06 0.01
 -------- 11:00 0.00 0.07 0.17 0.27 0.01 0.11 0.00 0.07 0.01
 -------- 12:00 0.00 0.19 0.14 0.18 0.01 0.08 0.00 0.05 0.01
 01.01.13 13:00 0.00 0.21 0.12 0.15 0.01 0.05 0.00 0.07 0.00
 -------- 14:00 ---- 0.14 0.12 0.21 0.01 0.08 0.00 0.07 0.00
 -------- 15:00 0.00 0.15 0.13 0.19 0.01 0.09 0.00 0.06 0.00
 -------- 16:00 0.00 0.17 0.14 0.19 0.01 0.06 0.00 0.08 0.00
 -------- 17:00 0.00 0.12 0.15 0.24 0.01 0.08 0.00 0.07 0.01
 01.01.13 18:00 0.00 0.09 0.15 0.29 0.01 0.06 0.00 0.08 0.01
 -------- 19:00 0.00 0.10 0.14 0.25 0.01 0.08 0.00 0.07 0.00
 -------- 20:00 0.00 0.10 0.15 0.26 0.01 0.07 0.00 0.06 0.01
 -------- 21:00 0.00 0.08 0.15 0.27 0.01 0.09 0.00 0.07 0.00
 -------- 22:00 0.00 0.09 0.15 0.25 0.01 0.08 0.00 0.05 0.01
 01.01.13 23:00 0.00 0.10 0.16 0.25 0.01 0.06 0.00 0.08 0.00
 -------- 00:00 0.00 0.11 0.15 0.23 0.01 0.07 0.00 0.06 0.00
 -------- 01:00 0.00 0.10 0.16 0.22 0.01 0.06 0.00 0.07 0.00
 -------- 02:00 0.00 0.12 0.14 0.20 0.01 0.04 0.00 0.07 0.00
 -------- 03:00 0.00 0.13 0.11 0.17 0.01 0.07 0.00 0.07 0.01
 02.01.13 04:00 0.00 0.18 0.11 0.13 0.00 0.06 0.00 0.06 0.00
 -------- 05:00 0.00 0.20 0.13 0.11 0.01 0.03 0.00 0.08 0.00
 -------- 06:00 0.00 0.18 0.11 0.14 0.00 0.05 0.00 0.06 0.00
 -------- 07:00 0.00 0.18 0.12 0.16 0.00 0.05 0.00 0.08 0.00
 -------- 08:00 0.00 0.21 0.13 0.13 0.01 0.05 0.00 0.05 0.00
 02.01.13 09:00 0.00 0.18 0.12 0.15 0.00 0.07 0.00 0.07 0.01
 -------- 10:00 0.00 0.17 0.13 0.18 0.01 0.06 0.00 0.06 0.01
 -------- 11:00 0.00 0.16 0.13 0.20 0.01 0.08 0.00 0.08 0.00
