 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 06.03.13 00:00 0.20 0.01 0.67 3.17 0.48 0.10 0.14
 -------- 01:00 0.22 0.01 0.67 3.13 0.55 0.13 0.19
 -------- 02:00 0.19 0.01 0.59 2.76 0.42 0.13 0.19
 -------- 03:00 0.19 0.01 0.57 2.56 0.39 0.13 0.20
 -------- 04:00 0.19 0.01 0.56 2.49 0.39 0.13 0.18
 06.03.13 05:00 0.21 0.01 0.65 2.40 0.49 0.14 0.22
 -------- 06:00 0.14 0.01 0.65 1.77 0.33 0.08 0.10
 -------- 07:00 0.15 0.01 0.55 1.71 0.22 0.06 0.08
 -------- 08:00 0.17 0.01 0.55 1.76 0.25 0.07 0.10
 -------- 09:00 0.17 0.02 0.51 1.71 0.23 0.07 0.09
 06.03.13 10:00 0.15 0.04 0.49 1.72 0.23 0.09 0.10
 -------- 11:00 0.11 0.14 0.38 1.65 0.13 0.07 0.08
 -------- 12:00 0.11 0.20 0.34 1.63 0.09 0.08 0.08
 -------- 13:00 0.09 0.26 0.33 1.53 0.08 0.07 0.07
 -------- 14:00 0.08 0.33 0.26 1.51 0.06 0.06 0.06
 06.03.13 15:00 0.06 0.45 0.20 1.48 0.03 0.04 0.04
 -------- 16:00 0.07 0.47 0.22 1.48 0.03 0.05 0.05
 -------- 17:00 0.09 0.47 0.24 1.52 0.02 0.04 0.04
 -------- 18:00 0.08 0.40 0.32 1.51 0.02 0.05 0.05
 -------- 19:00 0.08 0.37 0.34 1.50 0.02 0.04 0.04
 06.03.13 20:00 0.06 0.28 0.43 1.47 0.02 0.04 0.04
 -------- 21:00 0.06 0.06 0.61 1.49 0.07 0.04 0.04
 -------- 22:00 0.06 0.14 0.51 1.57 0.04 0.07 0.08
 -------- 23:00 0.07 0.23 0.42 1.55 0.03 0.06 0.07
 -------- 00:00 0.08 0.39 0.34 1.45 0.02 0.04 0.05
 07.03.13 01:00 0.08 0.50 0.28 1.43 0.02 0.05 0.06
 -------- 02:00 0.06 0.57 0.23 1.44 0.03 0.05 0.07
 -------- 03:00 0.06 0.65 0.20 1.44 0.02 0.05 0.07
 -------- 04:00 0.06 0.63 0.23 1.45 0.02 0.05 0.07
 -------- 05:00 0.06 0.56 0.28 1.47 0.03 0.06 0.09
 07.03.13 06:00 0.07 0.56 0.28 1.46 0.03 0.07 0.11
 -------- 07:00 0.09 0.50 0.35 1.50 0.02 0.08 0.13
 -------- 08:00 0.09 0.40 0.40 1.51 0.03 0.09 0.15
 -------- 09:00 0.10 0.42 0.35 1.49 0.04 0.08 0.13
 -------- 10:00 0.09 0.44 0.28 1.45 0.04 0.06 0.09
 07.03.13 11:00 0.07 0.50 0.19 1.43 0.04 0.04 0.04
 -------- 12:00 0.06 0.47 0.17 1.42 0.04 0.03 0.03
 -------- 13:00 0.07 0.48 0.18 1.44 0.04 0.04 0.04
 -------- 14:00 0.06 0.49 0.18 1.43 0.05 0.04 0.04
 -------- 15:00 0.06 0.49 0.17 1.43 0.04 0.04 0.02
 07.03.13 16:00 0.07 0.51 0.17 1.43 0.04 0.02 0.03
 -------- 17:00 0.07 0.50 0.18 1.42 0.04 0.04 0.03
 -------- 18:00 0.07 0.42 0.23 1.43 0.05 0.04 0.02
 -------- 19:00 0.08 0.35 0.27 1.44 0.05 0.04 0.02
 -------- 20:00 0.08 0.29 0.30 1.44 0.06 0.06 0.03
 07.03.13 21:00 0.17 0.16 0.41 1.58 0.09 0.18 0.17
 -------- 22:00 0.13 0.17 0.34 1.50 0.05 0.11 0.11
 -------- 23:00 0.13 0.15 0.36 1.50 0.05 0.06 0.03
