 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 16.12.12 00:00 0.06 0.05 0.28 1.62 0.03 0.08 0.11
 -------- 01:00 0.05 0.10 0.21 1.55 0.01 0.06 0.10
 -------- 02:00 0.04 0.12 0.20 1.54 0.01 0.05 0.08
 -------- 03:00 0.05 0.08 0.23 1.54 0.01 0.05 0.08
 -------- 04:00 0.04 0.07 0.23 1.66 0.01 0.06 0.09
 16.12.12 05:00 0.06 0.04 0.26 1.83 0.04 0.07 0.10
 -------- 06:00 0.05 0.05 0.25 1.87 0.04 0.07 0.11
 -------- 07:00 0.06 0.03 0.28 1.86 0.08 0.07 0.11
 -------- 08:00 0.07 0.03 0.28 1.88 0.08 0.07 0.11
 -------- 09:00 0.08 0.01 0.30 1.83 0.12 0.08 0.12
 16.12.12 10:00 0.08 0.02 0.29 1.78 0.15 0.09 0.14
 -------- 11:00 0.10 0.04 0.27 1.76 0.13 0.11 0.16
 -------- 12:00 0.10 0.07 0.26 1.78 0.13 0.10 0.15
 -------- 13:00 0.09 0.12 0.22 1.67 0.08 0.09 0.11
 -------- 14:00 0.07 0.16 0.20 1.61 0.05 0.08 0.09
 16.12.12 15:00 0.07 0.14 0.27 1.60 0.06 0.09 0.11
 -------- 16:00 0.07 0.14 0.29 1.64 0.05 0.09 0.10
 -------- 17:00 0.11 0.04 0.40 1.68 0.09 0.10 0.12
 -------- 18:00 0.09 0.03 0.35 1.82 0.11 0.11 0.15
 -------- 19:00 0.09 0.03 0.35 1.82 0.10 0.10 0.15
 16.12.12 20:00 0.10 0.03 0.34 1.94 0.10 0.11 0.15
 -------- 21:00 0.09 0.02 0.40 1.97 0.22 0.11 0.16
 -------- 22:00 0.08 0.03 0.33 2.03 0.10 0.10 0.16
 -------- 23:00 0.07 0.03 0.30 1.82 0.07 0.11 0.17
 -------- 00:00 0.08 0.03 0.35 1.84 0.12 0.10 0.16
 17.12.12 01:00 0.07 0.04 0.29 2.18 0.07 0.08 0.13
 -------- 02:00 0.06 0.04 0.35 2.23 0.17 0.07 0.12
 -------- 03:00 0.06 0.03 0.33 2.47 0.11 0.07 0.11
 -------- 04:00 0.07 0.02 0.32 4.12 0.08 0.09 0.15
 -------- 05:00 0.10 0.01 0.41 2.45 0.22 0.11 0.17
 17.12.12 06:00 0.10 0.01 0.46 2.01 0.40 0.11 0.17
 -------- 07:00 0.12 0.01 0.43 1.92 0.39 0.11 0.17
 -------- 08:00 0.14 0.01 0.40 1.87 0.36 0.11 0.18
 -------- 09:00 0.13 0.01 0.37 1.78 0.29 0.10 0.16
 -------- 10:00 0.11 0.01 0.39 1.77 0.28 0.09 0.14
 17.12.12 11:00 0.10 0.02 0.39 1.62 0.32 0.08 0.13
 -------- 12:00 0.09 0.06 0.38 1.64 0.20 0.10 0.16
 -------- 13:00 0.09 0.09 0.38 1.71 0.17 0.07 0.12
 -------- 14:00 0.07 0.11 0.34 1.62 0.13 0.06 0.10
 -------- 15:00 0.08 0.11 0.37 1.58 0.15 0.08 0.13
 17.12.12 16:00 0.09 0.06 0.41 1.68 0.17 0.07 0.10
 -------- 17:00 0.10 0.03 0.46 1.61 0.26 0.08 0.12
 -------- 18:00 0.14 0.01 0.51 1.77 0.34 0.10 0.14
 -------- 19:00 0.12 0.01 0.44 1.79 0.20 0.10 0.14
 -------- 20:00 0.12 0.03 0.36 1.80 0.07 0.09 0.12
 17.12.12 21:00 0.09 0.05 0.31 1.67 0.05 0.08 0.11
 -------- 22:00 0.08 0.05 0.30 1.66 0.06 0.07 0.11
 -------- 23:00 0.08 0.04 0.30 1.68 0.05 0.07 0.11
