 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 28.03.13 00:00 0.16 0.01 0.63 1.67 0.28 0.03 0.04
 -------- 01:00 0.23 0.01 0.72 1.97 0.54 0.09 0.19
 -------- 02:00 0.32 0.04 1.14 2.44 0.58 0.24 0.39
 -------- 03:00 0.24 0.05 0.74 2.33 0.34 0.43 0.83
 -------- 04:00 0.11 0.01 0.59 1.77 0.26 0.01 0.03
 28.03.13 05:00 0.20 0.02 0.78 1.86 0.30 0.16 0.23
 -------- 06:00 0.18 0.03 0.78 1.81 0.36 0.10 0.16
 -------- 07:00 0.14 0.01 0.59 1.66 0.36 0.01 0.02
 -------- 08:00 0.15 0.03 0.54 1.65 0.24 0.03 0.05
 -------- 09:00 0.15 0.06 0.51 1.66 0.28 0.03 0.04
 28.03.13 10:00 0.14 0.12 0.44 1.63 0.20 0.03 0.04
 -------- 11:00 0.09 0.18 0.39 1.60 0.17 0.04 0.06
 -------- 12:00 0.07 0.26 0.31 1.71 0.12 0.02 0.03
 -------- 13:00 0.06 0.34 0.26 1.72 0.08 0.02 0.03
 -------- 14:00 0.11 0.38 0.26 1.87 0.07 0.29 0.41
 28.03.13 15:00 0.09 0.39 0.24 1.82 0.07 0.29 0.31
 -------- 16:00 0.11 0.39 0.27 1.92 0.07 0.16 0.16
 -------- 17:00 0.09 0.40 0.26 1.70 0.07 0.11 0.08
 -------- 18:00 0.10 0.40 0.27 1.65 0.06 0.14 0.10
 -------- 19:00 0.20 0.22 0.52 1.73 0.13 0.21 0.22
 28.03.13 20:00 0.21 0.13 0.50 1.59 0.07 0.19 0.25
 -------- 21:00 0.33 0.03 0.69 1.90 0.45 0.08 0.08
 -------- 22:00 0.79 0.01 0.89 2.42 1.66 0.28 0.18
 -------- 23:00 0.29 0.01 0.74 1.95 0.81 0.13 0.11
 -------- 00:00 0.21 0.01 0.68 1.83 0.56 0.07 0.07
 29.03.13 01:00 0.12 0.01 0.72 1.69 0.38 0.06 0.06
 -------- 02:00 0.17 0.01 0.68 1.81 0.61 0.07 0.08
 -------- 03:00 0.16 0.01 0.69 1.88 0.88 0.07 0.07
 -------- 04:00 0.15 0.01 0.62 1.93 0.69 0.09 0.11
 -------- 05:00 0.18 0.01 0.75 1.96 1.29 0.11 0.13
 29.03.13 06:00 0.32 0.02 0.98 2.21 0.91 0.20 0.28
 -------- 07:00 0.33 0.01 0.79 2.01 0.99 0.13 0.16
 -------- 08:00 0.27 0.02 0.77 1.94 0.57 0.15 0.21
 -------- 09:00 0.21 0.03 0.71 1.79 0.45 0.09 0.10
 -------- 10:00 0.18 0.07 0.69 1.76 0.35 0.09 0.10
 29.03.13 11:00 0.14 0.15 0.61 1.65 0.24 0.12 0.14
 -------- 12:00 0.09 0.30 0.39 1.53 0.10 0.07 0.04
 -------- 13:00 0.19 0.44 0.33 1.72 0.08 0.26 0.39
 -------- 14:00 0.09 0.46 0.26 1.67 0.06 0.10 0.13
 -------- 15:00 0.07 0.43 0.30 1.66 0.06 0.08 0.06
 29.03.13 16:00 0.09 0.52 0.23 1.59 0.04 0.11 0.14
 -------- 17:00 0.11 0.51 0.24 1.53 0.04 0.09 0.10
 -------- 18:00 0.15 0.35 0.49 1.66 0.10 0.14 0.14
 -------- 19:00 0.15 0.20 0.58 1.71 0.15 0.15 0.17
 -------- 20:00 0.27 0.09 0.76 2.03 0.20 0.17 0.24
 29.03.13 21:00 0.55 0.02 0.69 2.29 0.66 0.14 0.13
 -------- 22:00 0.49 0.01 0.86 2.41 1.37 0.23 0.20
 -------- 23:00 0.53 0.01 0.83 2.80 1.67 0.30 0.26
