 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 23.12.12 00:00 0.06 0.13 0.26 1.50 0.05 0.09 0.09
 -------- 01:00 0.07 0.12 0.25 1.50 0.05 0.08 0.08
 -------- 02:00 0.06 0.13 0.23 1.49 0.04 0.08 0.08
 -------- 03:00 0.06 0.12 0.23 1.49 0.02 0.08 0.08
 -------- 04:00 0.06 0.13 0.21 1.50 0.02 0.07 0.08
 23.12.12 05:00 0.06 0.15 0.21 1.49 0.02 0.05 0.07
 -------- 06:00 0.06 0.16 0.22 1.50 0.03 0.05 0.07
 -------- 07:00 0.07 0.12 0.28 1.51 0.06 0.06 0.09
 -------- 08:00 0.07 0.12 0.27 1.50 0.06 0.06 0.08
 -------- 09:00 0.07 0.11 0.26 1.50 0.05 0.06 0.08
 23.12.12 10:00 0.08 0.10 0.28 1.51 0.06 0.06 0.09
 -------- 11:00 0.09 0.12 0.24 1.52 0.07 0.06 0.10
 -------- 12:00 0.08 0.14 0.25 1.54 0.08 0.07 0.10
 -------- 13:00 0.07 0.16 0.26 1.56 0.09 0.07 0.10
 -------- 14:00 0.11 0.15 0.30 1.70 0.11 0.13 0.20
 23.12.12 15:00 0.13 0.13 0.32 1.58 0.13 0.10 0.14
 -------- 16:00 0.12 0.08 0.40 1.59 0.15 0.07 0.10
 -------- 17:00 0.20 0.02 0.50 1.70 0.35 0.12 0.17
 -------- 18:00 0.15 0.01 0.47 1.93 0.22 0.12 0.15
 -------- 19:00 0.17 0.01 0.62 1.87 0.50 0.12 0.17
 23.12.12 20:00 0.16 0.01 0.51 1.91 0.34 0.12 0.17
 -------- 21:00 0.11 0.02 0.45 1.64 0.17 0.07 0.10
 -------- 22:00 0.11 0.02 0.42 1.60 0.15 0.09 0.12
 -------- 23:00 0.13 0.01 0.43 1.64 0.15 0.09 0.12
 -------- 00:00 0.15 0.01 0.48 1.62 0.25 0.07 0.11
 24.12.12 01:00 0.15 0.01 0.45 1.66 0.21 0.07 0.11
 -------- 02:00 0.15 0.01 0.48 1.71 0.19 0.08 0.11
 -------- 03:00 0.09 0.01 0.41 1.60 0.08 0.06 0.09
 -------- 04:00 0.08 0.01 0.42 1.64 0.08 0.06 0.10
 -------- 05:00 0.10 0.01 0.44 1.62 0.14 0.06 0.09
 24.12.12 06:00 0.13 0.01 0.48 2.07 0.19 0.07 0.11
 -------- 07:00 0.10 0.01 0.51 2.52 0.18 0.08 0.13
 -------- 08:00 0.12 0.01 0.48 2.13 0.19 0.11 0.17
 -------- 09:00 0.12 0.01 0.45 2.18 0.19 0.11 0.17
 -------- 10:00 0.13 0.01 0.47 2.59 0.25 0.12 0.17
 24.12.12 11:00 0.13 0.03 0.44 2.43 0.30 0.14 0.22
 -------- 12:00 0.18 0.04 0.47 3.20 0.37 0.19 0.29
 -------- 13:00 0.20 0.04 0.51 3.10 0.43 0.22 0.35
 -------- 14:00 0.19 0.05 0.53 2.64 0.40 0.21 0.31
 -------- 15:00 0.17 0.04 0.54 2.31 0.37 0.20 0.27
 24.12.12 16:00 0.19 0.03 0.52 2.68 0.40 0.21 0.28
 -------- 17:00 0.18 0.01 0.53 2.67 0.42 0.20 0.29
 -------- 18:00 0.19 0.01 0.53 2.25 0.39 0.17 0.24
 -------- 19:00 0.17 0.01 0.49 2.10 0.30 0.17 0.23
 -------- 20:00 0.15 0.01 0.45 1.96 0.23 0.14 0.18
 24.12.12 21:00 0.17 0.01 0.43 2.05 0.19 0.13 0.19
 -------- 22:00 0.09 0.01 0.41 1.77 0.10 0.11 0.15
 -------- 23:00 0.08 0.01 0.40 1.76 0.07 0.09 0.11
