 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 10.05.13 12:00 0.04 0.88 0.11 1.45 0.01 0.12 0.05
 -------- 13:00 0.04 0.91 0.09 1.41 0.01 0.15 0.05
 -------- 14:00 0.04 0.88 0.09 1.60 0.01 0.12 0.06
 -------- 15:00 0.04 0.88 0.08 1.69 0.01 0.13 0.07
 -------- 16:00 0.04 0.87 0.08 1.51 0.01 0.09 0.05
 10.05.13 17:00 0.06 0.85 0.08 1.58 0.01 0.11 0.06
 -------- 18:00 0.06 0.85 0.09 1.50 0.01 0.09 0.06
 -------- 19:00 0.06 0.84 0.12 1.50 0.01 0.16 0.05
 -------- 20:00 0.07 0.79 0.14 1.55 0.01 0.11 0.07
 -------- 21:00 0.09 0.56 0.29 1.47 0.01 0.11 0.09
 10.05.13 22:00 0.13 0.26 0.46 1.64 0.03 0.21 0.15
 -------- 23:00 0.18 0.08 0.48 1.81 0.06 0.27 0.17
 -------- 00:00 0.17 0.02 0.58 1.77 0.10 0.15 0.11
 -------- 01:00 0.23 0.01 0.55 1.97 0.26 0.27 0.19
 -------- 02:00 0.16 0.02 0.51 1.72 0.11 0.24 0.14
 11.05.13 03:00 0.08 0.15 0.40 1.53 0.04 0.26 0.13
 -------- 04:00 0.11 0.08 0.43 1.70 0.17 0.17 0.14
 -------- 05:00 0.18 0.01 0.49 1.90 0.29 0.25 0.18
 -------- 06:00 0.14 0.01 0.48 2.01 0.24 0.22 0.17
 -------- 07:00 0.15 0.02 0.46 2.15 0.25 0.22 0.17
 11.05.13 08:00 0.14 0.06 0.50 1.76 0.11 0.17 0.14
 -------- 09:00 0.10 0.19 0.38 1.78 0.05 0.21 0.17
 -------- 10:00 0.08 0.36 0.29 1.63 0.02 0.16 0.15
 -------- 11:00 0.07 0.48 0.25 1.57 0.02 0.14 0.13
 -------- 12:00 0.05 0.67 0.18 1.48 0.02 0.12 0.10
 11.05.13 13:00 0.05 0.81 0.13 1.55 0.01 0.09 0.08
 -------- 14:00 0.04 0.96 0.08 1.83 0.01 0.07 0.05
 -------- 15:00 0.04 0.98 0.07 1.66 0.01 0.09 0.07
 -------- 16:00 0.04 0.94 0.08 1.60 0.01 0.10 0.07
 -------- 17:00 0.04 0.91 0.07 1.81 0.01 0.10 0.07
 11.05.13 18:00 0.04 0.85 0.10 1.45 0.01 0.11 0.08
 -------- 19:00 0.05 0.71 0.16 1.46 0.01 0.10 0.09
 -------- 20:00 0.07 0.56 0.22 1.50 0.01 0.13 0.10
 -------- 21:00 0.09 0.36 0.29 1.55 0.01 0.26 0.16
 -------- 22:00 0.17 0.07 0.52 2.00 0.10 0.22 0.14
 11.05.13 23:00 0.23 0.01 0.53 1.88 0.15 0.21 0.14
 -------- 00:00 0.32 0.01 0.50 2.17 0.34 0.44 0.21
 -------- 01:00 0.41 0.01 0.48 2.42 0.55 0.53 0.27
 -------- 02:00 0.35 0.01 0.50 2.45 0.62 0.48 0.26
 -------- 03:00 0.38 0.01 0.49 2.44 0.68 0.39 0.30
 12.05.13 04:00 0.31 0.01 0.41 2.41 0.64 0.33 0.23
 -------- 05:00 0.32 0.01 0.40 2.49 0.75 0.47 0.27
 -------- 06:00 0.35 0.01 0.42 2.66 0.97 0.69 0.36
 -------- 07:00 0.35 0.01 0.47 2.62 0.79 0.50 0.33
 -------- 08:00 0.17 0.02 0.52 1.85 0.23 0.26 0.17
 12.05.13 09:00 0.09 0.19 0.37 1.53 0.06 0.15 0.08
 -------- 10:00 0.06 0.40 0.26 1.55 0.03 0.09 0.08
 -------- 11:00 0.07 0.40 0.33 1.70 0.03 0.13 0.12
