 Date Time CO OZ NO2 CHX NO PM10
 04.10.12 23:00 0.07 0.11 0.19 1.37 0.02 0.03
 -------- 00:00 0.06 0.13 0.20 1.39 0.01 0.03
 -------- 01:00 0.04 0.19 0.14 1.35 0.01 0.02
 -------- 02:00 0.04 0.22 0.14 1.34 0.01 0.02
 -------- 03:00 0.04 0.22 0.15 1.37 0.01 0.03
 05.10.12 04:00 0.05 0.09 0.24 1.42 0.01 0.03
 -------- 05:00 0.06 0.01 0.27 1.53 0.05 0.04
 -------- 06:00 0.12 0.01 0.32 1.70 0.28 0.22
 -------- 07:00 0.19 0.01 0.30 1.85 0.47 0.19
 -------- 08:00 0.19 0.01 0.31 1.81 0.39 0.22
 05.10.12 09:00 0.15 0.01 0.31 1.76 0.29 0.14
 -------- 10:00 0.13 0.01 0.27 1.92 0.21 0.12
 -------- 11:00 0.09 0.04 0.25 1.67 0.11 0.12
 -------- 12:00 0.07 0.09 0.19 1.58 0.06 0.13
 -------- 13:00 0.07 0.08 0.21 1.52 0.05 0.11
 05.10.12 14:00 0.06 0.08 0.22 1.56 0.05 0.11
 -------- 15:00 0.08 0.07 0.24 1.63 0.06 0.14
 -------- 16:00 0.06 0.17 0.24 1.49 0.03 0.12
 -------- 17:00 0.04 0.22 0.26 1.44 0.01 0.12
 -------- 18:00 0.06 0.18 0.24 1.44 0.01 0.13
 05.10.12 19:00 0.07 0.21 0.19 1.41 0.01 0.09
 -------- 20:00 0.09 0.19 0.18 1.46 0.00 0.06
 -------- 21:00 0.07 0.17 0.18 1.46 0.01 0.05
 -------- 22:00 0.06 0.15 0.19 1.40 0.01 0.05
 -------- 23:00 0.06 0.09 0.24 1.42 0.01 0.05
 06.10.12 00:00 0.08 0.02 0.30 1.47 0.02 0.07
 -------- 01:00 0.08 0.01 0.29 1.52 0.03 0.08
 -------- 02:00 0.06 0.09 0.21 1.42 0.01 0.04
 -------- 03:00 0.05 0.14 0.20 1.37 0.03 0.02
 -------- 04:00 0.04 0.12 0.18 1.36 0.01 0.03
 06.10.12 05:00 0.04 0.11 0.19 1.37 0.01 0.10
 -------- 06:00 0.05 0.06 0.24 1.38 0.05 0.03
 -------- 07:00 0.05 0.04 0.24 1.41 0.02 0.03
 -------- 08:00 0.07 0.02 0.26 1.46 0.05 0.03
 -------- 09:00 0.07 0.04 0.25 1.45 0.07 0.04
 06.10.12 10:00 0.07 0.03 0.24 1.47 0.08 0.08
 -------- 11:00 0.07 0.05 0.23 1.42 0.04 0.07
 -------- 12:00 0.06 0.13 0.16 1.42 0.02 0.03
 -------- 13:00 0.06 0.13 0.20 1.39 0.02 0.04
 -------- 14:00 0.05 0.16 0.16 1.40 0.01 0.04
 06.10.12 15:00 0.07 0.15 0.19 1.46 0.02 0.05
 -------- 16:00 0.07 0.12 0.20 1.46 0.01 0.05
 -------- 17:00 0.07 0.17 0.17 1.38 0.01 0.06
 -------- 18:00 0.08 0.21 0.15 1.40 0.01 0.07
 -------- 19:00 0.07 0.21 0.13 1.40 0.01 0.06
 06.10.12 20:00 0.11 0.18 0.16 1.47 0.01 0.22
 -------- 21:00 0.08 0.21 0.12 1.39 0.01 0.05
 -------- 22:00 0.06 0.21 0.13 1.39 0.01 0.03
