 Date Time CO OZ NO2 CHX NO PM10
 19.03.13 12:00 0.07 0.43 0.21 1.46 0.07 0.03
 -------- 13:00 0.06 0.43 0.19 1.48 0.07 0.03
 -------- 14:00 0.11 0.42 0.21 1.55 0.07 0.13
 -------- 15:00 0.09 0.33 0.30 1.48 0.16 0.04
 -------- 16:00 0.08 0.39 0.24 1.47 0.08 0.05
 19.03.13 17:00 0.09 0.37 0.25 1.47 0.08 0.05
 -------- 18:00 0.12 0.34 0.28 1.49 0.08 0.03
 -------- 19:00 0.09 0.26 0.33 1.49 0.07 0.02
 -------- 20:00 0.07 0.28 0.31 1.46 0.06 0.03
 -------- 21:00 0.09 0.24 0.33 1.47 0.08 0.02
 19.03.13 22:00 0.11 0.16 0.39 1.50 0.09 0.02
 -------- 23:00 0.12 0.08 0.46 1.53 0.11 0.02
 -------- 00:00 0.15 0.13 0.39 1.52 0.05 0.02
 -------- 01:00 0.08 0.15 0.38 1.47 0.05 0.02
 -------- 02:00 0.06 0.17 0.35 1.47 0.03 0.02
 20.03.13 03:00 0.06 0.19 0.34 1.47 0.03 0.02
 -------- 04:00 0.06 0.10 0.40 1.50 0.04 0.02
 -------- 05:00 0.07 0.04 0.43 1.54 0.06 0.02
 -------- 06:00 0.07 0.05 0.42 1.55 0.07 0.02
 -------- 07:00 0.09 0.06 0.40 1.56 0.07 0.02
 20.03.13 08:00 0.11 0.06 0.39 1.59 0.11 0.03
 -------- 09:00 0.11 0.14 0.33 1.67 0.09 0.03
 -------- 10:00 0.11 0.17 0.32 2.24 0.11 0.05
 -------- 11:00 0.09 0.28 0.25 1.74 0.07 0.05
 -------- 12:00 0.09 0.32 0.23 1.75 0.07 0.04
 20.03.13 13:00 0.07 0.34 0.24 1.72 0.07 0.04
 -------- 14:00 0.09 0.40 0.20 1.68 0.05 0.02
 -------- 15:00 0.08 0.42 0.19 1.60 0.05 0.04
 -------- 16:00 0.07 0.41 0.19 1.46 0.06 0.08
 -------- 17:00 0.05 0.45 0.15 1.43 0.05 0.04
 20.03.13 18:00 0.06 0.45 0.17 1.43 0.05 0.02
 -------- 19:00 0.06 0.42 0.17 1.44 0.04 0.03
 -------- 20:00 0.06 0.43 0.18 1.45 0.04 0.03
 -------- 21:00 0.06 0.38 0.19 1.47 0.04 0.03
 -------- 22:00 0.07 0.36 0.20 1.51 0.03 0.02
 20.03.13 23:00 0.05 0.35 0.19 1.47 0.02 0.02
 -------- 00:00 0.04 0.37 0.17 1.45 0.02 0.01
 -------- 01:00 0.04 0.38 0.14 1.44 0.02 0.01
 -------- 02:00 0.04 0.38 0.13 1.45 0.01 0.01
 -------- 03:00 0.04 0.40 0.11 1.44 0.01 0.02
 21.03.13 04:00 0.04 0.38 0.13 1.46 0.01 0.02
 -------- 05:00 0.04 0.29 0.22 1.47 0.02 0.02
 -------- 06:00 0.06 0.16 0.32 1.47 0.10 0.02
 -------- 07:00 0.06 0.15 0.32 1.52 0.06 0.02
 -------- 08:00 0.07 0.19 0.30 1.51 0.08 0.02
 21.03.13 09:00 0.08 0.21 0.30 1.50 0.10 0.02
 -------- 10:00 0.09 0.21 0.30 1.51 0.12 0.03
 -------- 11:00 0.08 0.28 0.25 1.51 0.10 0.03
