 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 11.01.13 00:00 0.04 0.07 0.26 1.49 0.01 0.04 0.07
 -------- 01:00 0.04 0.11 0.23 1.47 0.01 0.05 0.06
 -------- 02:00 0.05 0.10 0.24 1.50 0.01 0.04 0.06
 -------- 03:00 0.05 0.09 0.25 1.50 0.01 0.05 0.07
 -------- 04:00 0.05 0.11 0.23 1.49 0.01 0.04 0.06
 11.01.13 05:00 0.06 0.11 0.25 1.47 0.02 0.04 0.06
 -------- 06:00 0.06 0.11 0.26 1.47 0.02 0.04 0.06
 -------- 07:00 0.06 0.15 0.22 1.49 0.01 0.04 0.06
 -------- 08:00 0.08 0.10 0.28 1.52 0.03 0.05 0.08
 -------- 09:00 0.08 0.05 0.32 1.51 0.06 0.05 0.08
 11.01.13 10:00 0.08 0.06 0.33 1.56 0.09 0.05 0.08
 -------- 11:00 0.08 0.08 0.26 1.65 0.10 0.08 0.11
 -------- 12:00 0.08 0.12 0.24 1.63 0.10 0.08 0.11
 -------- 13:00 0.08 0.14 0.22 1.59 0.09 0.08 0.11
 -------- 14:00 0.10 0.14 0.24 1.58 0.10 0.09 0.12
 11.01.13 15:00 0.08 0.14 0.24 1.63 0.09 0.09 0.12
 -------- 16:00 0.09 0.11 0.26 2.19 0.09 0.10 0.16
 -------- 17:00 0.09 0.08 0.29 2.28 0.10 0.10 0.15
 -------- 18:00 0.09 0.09 0.26 2.10 0.07 0.09 0.13
 -------- 19:00 0.09 0.09 0.24 1.79 0.05 0.08 0.11
 11.01.13 20:00 0.08 0.09 0.22 1.59 0.05 0.07 0.11
 -------- 21:00 0.07 0.11 0.20 1.56 0.03 0.06 0.10
 -------- 22:00 0.07 0.10 0.19 1.55 0.03 0.06 0.10
 -------- 23:00 0.07 0.11 0.19 1.55 0.03 0.07 0.10
 -------- 00:00 0.07 0.13 0.16 1.56 0.03 0.07 0.11
 12.01.13 01:00 0.06 0.17 0.13 1.80 0.02 0.08 0.12
 -------- 02:00 0.07 0.10 0.21 2.18 0.06 0.07 0.12
 -------- 03:00 0.08 0.07 0.22 2.16 0.03 0.08 0.13
 -------- 04:00 0.06 0.13 0.16 1.81 0.01 0.09 0.14
 -------- 05:00 0.07 0.10 0.20 1.88 0.02 0.09 0.15
 12.01.13 06:00 0.08 0.08 0.21 1.87 0.03 0.09 0.14
 -------- 07:00 0.08 0.07 0.21 1.87 0.02 0.08 0.14
 -------- 08:00 0.10 0.03 0.32 2.07 0.17 0.10 0.17
 -------- 09:00 0.11 0.01 0.30 1.77 0.18 0.09 0.15
 -------- 10:00 0.11 0.02 0.27 1.58 0.16 0.09 0.14
 12.01.13 11:00 0.09 0.04 0.22 1.58 0.12 0.09 0.13
 -------- 12:00 0.10 0.06 0.21 1.58 0.11 0.09 0.12
 -------- 13:00 0.13 0.06 0.22 1.98 0.14 0.09 0.14
 -------- 14:00 0.11 0.07 0.20 1.59 0.12 0.10 0.15
 -------- 15:00 0.15 0.05 0.24 1.66 0.14 0.11 0.17
 12.01.13 16:00 0.12 0.04 0.24 1.69 0.13 0.09 0.15
 -------- 17:00 0.13 0.03 0.25 1.69 0.13 0.11 0.17
 -------- 18:00 0.18 0.01 0.26 2.04 0.11 0.09 0.16
 -------- 19:00 0.13 0.01 0.29 1.95 0.18 0.11 0.17
 -------- 20:00 0.12 0.01 0.27 1.79 0.16 0.11 0.17
 12.01.13 21:00 0.13 0.01 0.28 1.74 0.23 0.11 0.17
 -------- 22:00 0.13 0.01 0.28 1.82 0.17 0.09 0.16
 -------- 23:00 0.13 0.01 0.27 1.76 0.16 0.09 0.16
