 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 17.02.13 00:00 ---- 0.27 0.25 1.49 0.05 0.09 0.11
 -------- 01:00 ---- 0.24 0.25 1.49 0.04 0.10 0.12
 -------- 02:00 ---- 0.23 0.26 1.51 0.05 0.11 0.14
 -------- 03:00 ---- 0.19 0.29 1.54 0.04 0.10 0.12
 -------- 04:00 ---- 0.21 0.25 1.54 0.03 0.09 0.11
 17.02.13 05:00 ---- 0.28 0.21 1.51 0.02 0.08 0.11
 -------- 06:00 ---- 0.34 0.18 1.51 0.02 0.08 0.11
 -------- 07:00 0.02 0.34 0.22 1.51 0.04 0.08 0.11
 -------- 08:00 0.02 0.21 0.31 1.53 0.05 0.08 0.12
 -------- 09:00 0.02 0.14 0.32 1.56 0.09 0.10 0.15
 17.02.13 10:00 0.04 0.16 0.32 1.56 0.10 0.10 0.14
 -------- 11:00 0.04 0.20 0.30 1.54 0.10 0.12 0.13
 -------- 12:00 0.04 0.27 0.24 1.53 0.09 0.14 0.13
 -------- 13:00 0.03 0.26 0.27 1.55 0.10 0.16 0.14
 -------- 14:00 0.09 0.22 0.30 1.68 0.12 0.27 0.30
 17.02.13 15:00 0.08 0.21 0.31 1.64 0.11 0.21 0.21
 -------- 16:00 0.08 0.20 0.37 1.75 0.12 0.28 0.31
 -------- 17:00 0.03 0.17 0.41 1.73 0.11 0.32 0.38
 -------- 18:00 0.02 0.11 0.38 1.63 0.11 0.21 0.21
 -------- 19:00 0.03 0.12 0.43 1.73 0.09 0.29 0.35
 17.02.13 20:00 0.02 0.13 0.35 1.55 0.07 0.10 0.09
 -------- 21:00 ---- 0.15 0.33 1.57 0.06 0.12 0.13
 -------- 22:00 ---- 0.26 0.25 1.56 0.05 0.11 0.15
 -------- 23:00 ---- 0.27 0.21 1.49 0.03 0.07 0.08
 -------- 00:00 ---- 0.33 0.17 1.47 0.03 0.05 0.06
 18.02.13 01:00 ---- 0.40 0.12 1.46 0.02 0.04 0.06
 -------- 02:00 ---- 0.33 0.20 1.46 0.02 0.05 0.07
 -------- 03:00 0.02 0.28 0.25 1.47 0.02 0.06 0.08
 -------- 04:00 0.02 0.36 0.18 1.46 0.02 0.05 0.07
 -------- 05:00 ---- 0.37 0.20 1.45 0.02 0.04 0.07
 18.02.13 06:00 ---- 0.36 0.19 1.45 0.03 0.04 0.07
 -------- 07:00 0.02 0.31 0.24 1.46 0.05 0.05 0.07
 -------- 08:00 0.03 0.20 0.35 1.47 0.09 0.05 0.08
 -------- 09:00 0.04 0.11 0.42 1.49 0.15 0.06 0.09
 -------- 10:00 0.05 0.19 0.35 1.48 0.11 0.06 0.09
 18.02.13 11:00 0.05 0.17 0.35 1.50 0.13 0.05 0.08
 -------- 12:00 0.05 0.19 0.34 1.52 0.13 0.13 0.11
 -------- 13:00 0.02 0.22 0.29 1.49 0.10 0.14 0.11
 -------- 14:00 ---- 0.23 0.32 1.49 0.10 0.11 0.10
 -------- 15:00 0.02 0.17 0.40 1.57 0.16 0.20 0.21
 18.02.13 16:00 0.08 0.11 0.48 1.79 0.17 0.29 0.35
 -------- 17:00 0.09 0.06 0.49 1.78 0.19 0.24 0.27
 -------- 18:00 0.07 0.05 0.46 1.68 0.16 0.27 0.31
 -------- 19:00 0.06 0.05 0.42 1.65 0.13 0.19 0.22
 -------- 20:00 0.07 0.12 0.32 1.56 0.08 0.13 0.13
 18.02.13 21:00 0.02 0.15 0.32 1.54 0.08 0.12 0.11
 -------- 22:00 0.02 0.16 0.32 1.51 0.07 0.11 0.09
 -------- 23:00 ---- 0.08 0.43 1.60 0.12 0.15 0.18
