 Date Time CO OZ NO2 CHX NO PM10
 19.11.12 00:00 0.06 0.15 0.16 1.39 0.02 0.04
 -------- 01:00 0.04 0.12 0.16 1.40 0.02 0.04
 -------- 02:00 0.05 0.12 0.17 1.39 0.02 0.04
 -------- 03:00 0.05 0.09 0.18 1.41 0.02 0.06
 -------- 04:00 0.05 0.10 0.17 1.41 0.02 0.08
 19.11.12 05:00 0.06 0.11 0.17 1.40 0.03 0.06
 -------- 06:00 0.05 0.10 0.18 1.39 0.03 0.06
 -------- 07:00 0.06 0.09 0.19 1.40 0.03 0.05
 -------- 08:00 0.06 0.07 0.21 1.42 0.03 0.06
 -------- 09:00 0.07 0.04 0.24 1.42 0.05 0.06
 19.11.12 10:00 0.08 0.03 0.26 1.44 0.06 0.06
 -------- 11:00 0.07 0.03 0.25 1.45 0.06 0.06
 -------- 12:00 0.06 0.08 0.19 1.42 0.04 0.05
 -------- 13:00 0.08 0.06 0.22 1.44 0.06 0.07
 -------- 14:00 0.07 0.06 0.21 1.44 0.05 0.07
 19.11.12 15:00 0.08 0.05 0.23 1.45 0.07 0.09
 -------- 16:00 0.07 0.03 0.23 1.45 0.06 0.12
 -------- 17:00 0.08 0.03 0.23 1.43 0.06 0.13
 -------- 18:00 0.08 0.01 0.24 1.46 0.08 0.14
 -------- 19:00 0.08 0.01 0.23 1.46 0.08 0.13
 19.11.12 20:00 0.08 0.02 0.22 1.47 0.07 0.11
 -------- 21:00 0.08 0.01 0.22 1.49 0.09 0.10
 -------- 22:00 0.09 0.01 0.21 1.49 0.10 0.11
 -------- 23:00 0.09 0.01 0.20 1.50 0.09 0.12
 -------- 00:00 0.08 0.01 0.18 1.52 0.09 0.11
 20.11.12 01:00 0.08 0.01 0.17 1.49 0.07 0.09
 -------- 02:00 0.07 0.01 0.16 1.49 0.05 0.08
 -------- 03:00 0.07 0.01 0.15 1.47 0.05 0.07
 -------- 04:00 0.06 0.01 0.16 1.48 0.05 0.06
 -------- 05:00 0.08 0.01 0.20 1.51 0.07 0.08
 20.11.12 06:00 0.09 0.01 0.19 1.51 0.10 0.09
 -------- 07:00 0.09 0.01 0.18 1.52 0.11 0.08
 -------- 08:00 0.11 0.01 0.22 1.55 0.17 0.13
 -------- 09:00 0.14 0.01 0.20 1.58 0.23 0.14
 -------- 10:00 0.16 0.01 0.20 1.61 0.25 0.16
 20.11.12 11:00 0.14 0.01 0.21 1.61 0.22 0.13
 -------- 12:00 0.15 0.01 0.21 1.60 0.27 0.15
 -------- 13:00 0.15 0.01 0.23 1.63 0.28 0.14
 -------- 14:00 0.14 0.01 0.25 1.61 0.27 0.13
 -------- 15:00 0.11 0.01 0.29 1.58 0.20 0.12
 20.11.12 16:00 0.08 0.03 0.30 1.50 0.07 0.06
 -------- 17:00 0.10 0.02 0.32 1.52 0.08 0.09
 -------- 18:00 0.10 0.01 0.32 1.50 0.09 0.09
 -------- 19:00 0.10 0.01 0.33 1.51 0.09 0.09
 -------- 20:00 0.10 0.01 0.32 1.52 0.09 0.09
 20.11.12 21:00 0.13 0.01 0.30 1.54 0.07 0.11
 -------- 22:00 0.11 0.03 0.28 1.51 0.06 0.14
 -------- 23:00 0.09 0.02 0.30 1.49 0.06 0.08
