 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 22.11.12 00:00 0.11 0.01 0.32 1.61 0.17 0.13 0.11
 -------- 01:00 0.13 0.01 0.30 1.61 0.16 0.11 0.11
 -------- 02:00 0.12 0.01 0.29 1.58 0.14 0.10 0.10
 -------- 03:00 0.08 0.01 0.28 1.60 0.15 0.10 0.11
 -------- 04:00 0.08 0.01 0.28 1.55 0.11 0.11 0.12
 22.11.12 05:00 0.08 0.01 0.27 1.53 0.06 0.08 0.11
 -------- 06:00 0.09 0.01 0.29 1.57 0.10 0.10 0.12
 -------- 07:00 0.10 0.01 0.28 1.57 0.16 0.12 0.13
 -------- 08:00 0.09 0.01 0.27 1.54 0.14 0.14 0.13
 -------- 09:00 0.13 0.01 0.28 1.67 0.26 0.16 0.13
 22.11.12 10:00 0.15 0.01 0.30 1.66 0.32 0.18 0.14
 -------- 11:00 0.16 0.01 0.33 1.71 0.32 0.17 0.15
 -------- 12:00 0.13 0.01 0.34 1.62 0.25 0.16 0.14
 -------- 13:00 0.13 0.01 0.39 1.63 0.23 0.17 0.14
 -------- 14:00 0.08 0.12 0.35 1.50 0.06 0.09 0.10
 22.11.12 15:00 0.09 0.07 0.39 1.52 0.08 0.12 0.11
 -------- 16:00 0.08 0.05 0.40 1.52 0.07 0.11 0.10
 -------- 17:00 0.09 0.02 0.43 1.52 0.09 0.10 0.10
 -------- 18:00 0.07 0.15 0.32 1.56 0.02 0.07 0.07
 -------- 19:00 0.06 0.24 0.28 1.63 0.02 0.06 0.06
 22.11.12 20:00 0.07 0.24 0.27 1.40 0.02 0.06 0.06
 -------- 21:00 0.08 0.24 0.25 1.41 0.02 0.05 0.06
 -------- 22:00 0.07 0.20 0.28 2.25 0.02 0.07 0.07
 -------- 23:00 0.07 0.18 0.28 1.72 0.02 0.10 0.11
 -------- 00:00 0.06 0.14 0.29 1.44 0.02 0.08 0.09
 23.11.12 01:00 0.06 0.14 0.27 1.48 0.02 0.08 0.08
 -------- 02:00 0.07 0.12 0.29 1.52 0.02 0.07 0.08
 -------- 03:00 0.05 0.10 0.29 1.50 0.02 0.06 0.07
 -------- 04:00 0.06 0.19 0.21 1.40 0.02 0.04 0.05
 -------- 05:00 0.05 0.21 0.18 1.40 0.02 0.04 0.05
 23.11.12 06:00 0.06 0.15 0.24 1.42 0.03 0.04 0.05
 -------- 07:00 0.07 0.09 0.28 1.43 0.03 0.06 0.05
 -------- 08:00 0.06 0.10 0.28 1.42 0.03 0.06 0.06
 -------- 09:00 0.06 0.11 0.26 1.41 0.03 0.06 0.06
 -------- 10:00 0.06 0.08 0.29 1.45 0.04 0.08 0.08
 23.11.12 11:00 0.07 0.06 0.31 1.50 0.12 0.12 0.11
 -------- 12:00 0.07 0.05 0.32 1.51 0.14 0.14 0.14
 -------- 13:00 0.09 0.05 0.33 1.54 0.20 0.17 0.16
 -------- 14:00 0.08 0.03 0.33 1.58 0.18 0.17 0.15
 -------- 15:00 0.08 0.04 0.36 1.61 0.15 0.18 0.16
 23.11.12 16:00 0.10 0.02 0.34 1.62 0.14 0.20 0.14
 -------- 17:00 0.11 0.01 0.35 1.61 0.12 0.17 0.12
 -------- 18:00 0.16 0.01 0.36 1.78 0.18 0.25 0.17
 -------- 19:00 0.15 0.01 0.34 1.75 0.16 0.22 0.15
 -------- 20:00 0.09 0.01 0.35 1.54 0.14 0.12 0.10
 23.11.12 21:00 0.06 0.02 0.34 1.56 0.06 0.12 0.12
 -------- 22:00 0.08 0.01 0.35 1.63 0.09 0.12 0.11
 -------- 23:00 0.08 0.01 0.34 1.73 0.12 0.14 0.13
