 Date Time CO OZ NO2 CHX NO PM10
 22.09.12 12:00 0.04 ---- 0.09 1.54 0.03 0.10
 -------- 13:00 0.06 ---- 0.11 1.68 0.03 0.13
 -------- 14:00 0.06 ---- 0.11 1.66 0.02 0.12
 -------- 15:00 0.06 ---- 0.13 1.61 0.02 0.13
 -------- 16:00 0.06 ---- 0.15 1.60 0.01 0.15
 22.09.12 17:00 0.07 ---- 0.18 1.57 0.01 0.17
 -------- 18:00 0.09 ---- 0.28 1.93 0.06 0.26
 -------- 19:00 0.13 ---- 0.31 2.18 0.09 0.32
 -------- 20:00 0.11 ---- 0.28 1.92 0.05 0.26
 -------- 21:00 0.13 ---- 0.26 2.01 0.03 0.29
 22.09.12 22:00 0.10 ---- 0.24 1.86 0.03 0.22
 -------- 23:00 0.07 ---- 0.18 1.57 0.01 0.18
 -------- 00:00 0.04 ---- 0.14 1.44 0.00 0.16
 -------- 01:00 0.04 ---- 0.15 1.44 0.00 0.14
 -------- 02:00 0.04 ---- 0.16 1.45 0.00 0.12
 23.09.12 03:00 0.04 ---- 0.16 1.44 0.00 0.11
 -------- 04:00 0.04 ---- 0.14 1.45 0.00 0.10
 -------- 05:00 0.04 ---- 0.10 1.47 ---- 0.10
 -------- 06:00 0.05 ---- 0.14 1.47 0.01 0.11
 -------- 07:00 0.06 ---- 0.13 1.43 0.00 0.12
 23.09.12 08:00 0.06 ---- 0.14 1.43 0.01 0.15
 -------- 09:00 0.06 ---- 0.13 1.43 0.01 0.13
 -------- 10:00 0.07 ---- 0.16 1.49 0.02 0.14
 -------- 11:00 0.07 ---- 0.12 1.47 0.02 0.15
 -------- 12:00 0.06 ---- 0.15 1.45 0.02 0.14
 23.09.12 13:00 0.07 ---- 0.18 1.49 0.03 0.15
 -------- 14:00 0.09 ---- 0.20 1.51 0.04 0.17
 -------- 15:00 0.10 ---- 0.21 1.51 0.05 0.16
 -------- 16:00 0.10 ---- 0.20 1.49 0.05 0.11
 -------- 17:00 0.09 ---- 0.19 1.51 0.03 0.10
 23.09.12 18:00 0.11 ---- 0.21 1.67 0.06 0.10
 -------- 19:00 0.12 ---- 0.21 1.69 0.07 0.11
 -------- 20:00 0.11 ---- 0.21 1.72 0.06 0.08
 -------- 21:00 0.10 ---- 0.22 1.82 0.04 0.05
 -------- 22:00 0.09 ---- 0.23 1.44 0.01 0.01
 23.09.12 23:00 0.09 ---- 0.29 1.47 0.03 0.03
 -------- 00:00 0.08 ---- 0.27 1.44 0.01 0.02
 -------- 01:00 0.07 ---- 0.26 1.46 0.02 0.03
 -------- 02:00 0.05 ---- 0.26 1.49 0.04 0.04
 -------- 03:00 0.04 ---- 0.24 1.51 0.03 0.04
 24.09.12 04:00 0.02 ---- 0.17 1.45 0.01 0.02
 -------- 05:00 0.02 ---- 0.17 1.43 0.01 0.02
 -------- 06:00 0.02 ---- 0.19 1.41 0.01 0.02
 -------- 07:00 0.05 ---- 0.25 1.42 0.02 0.04
 -------- 08:00 0.05 ---- 0.27 1.45 0.04 0.03
 24.09.12 09:00 0.06 ---- 0.25 1.48 0.08 0.04
 -------- 10:00 0.05 ---- 0.22 1.46 0.06 0.03
 -------- 11:00 0.04 ---- 0.18 1.41 0.04 0.02
