 Date Time CO OZ NO2 CHX NO PM10
 23.03.13 00:00 0.05 0.20 0.17 1.41 0.03 0.02
 -------- 01:00 0.06 0.18 0.19 1.41 0.03 0.02
 -------- 02:00 0.06 0.13 0.21 1.44 0.03 0.02
 -------- 03:00 0.06 0.17 0.19 1.44 0.02 0.02
 -------- 04:00 0.06 0.30 0.13 1.40 0.02 0.02
 23.03.13 05:00 0.06 0.34 0.11 1.39 0.02 0.02
 -------- 06:00 0.05 0.34 0.13 1.39 0.03 0.02
 -------- 07:00 0.07 0.30 0.15 1.41 0.03 0.02
 -------- 08:00 0.08 0.26 0.19 1.41 0.05 0.02
 -------- 09:00 0.07 0.28 0.18 1.42 0.06 0.03
 23.03.13 10:00 0.06 0.37 0.14 1.41 0.04 0.03
 -------- 11:00 0.06 0.44 0.14 1.46 0.04 0.04
 -------- 12:00 0.06 0.51 0.11 1.40 0.04 0.03
 -------- 13:00 0.05 0.53 0.10 1.39 0.03 0.04
 -------- 14:00 0.06 0.53 0.10 1.39 0.03 0.03
 23.03.13 15:00 0.05 0.53 0.11 1.38 0.03 0.03
 -------- 16:00 0.06 0.54 0.11 1.39 0.04 0.03
 -------- 17:00 0.06 0.56 0.09 1.39 0.03 0.03
 -------- 18:00 0.06 0.54 0.10 1.39 0.03 0.03
 -------- 19:00 0.06 0.54 0.11 1.38 0.03 0.02
 23.03.13 20:00 0.06 0.52 0.11 1.39 0.03 0.02
 -------- 21:00 0.06 0.51 0.11 1.39 0.03 0.03
 -------- 22:00 0.06 0.52 0.10 1.39 0.02 0.03
 -------- 23:00 0.05 0.52 0.11 1.38 0.02 0.01
 -------- 00:00 0.04 0.53 0.08 1.39 0.01 0.01
 24.03.13 01:00 0.04 0.55 0.07 1.38 0.01 0.01
 -------- 02:00 0.04 0.58 0.06 1.38 0.01 0.01
 -------- 03:00 0.04 0.60 0.05 1.37 0.01 0.01
 -------- 04:00 0.04 0.62 0.04 1.37 0.01 0.01
 -------- 05:00 0.04 0.63 0.04 1.36 0.01 0.01
 24.03.13 06:00 0.04 0.63 0.05 1.37 0.01 0.02
 -------- 07:00 0.04 0.64 0.05 1.36 0.01 0.02
 -------- 08:00 0.04 0.62 0.06 1.36 0.02 0.02
 -------- 09:00 0.04 0.59 0.07 1.36 0.02 0.02
 -------- 10:00 0.04 0.60 0.07 1.36 0.02 0.03
 24.03.13 11:00 0.04 0.61 0.08 1.36 0.02 0.03
 -------- 12:00 0.05 0.60 0.07 1.37 0.03 0.02
 -------- 13:00 0.04 0.58 0.09 1.36 0.03 0.02
 -------- 14:00 0.04 0.58 0.08 1.37 0.02 0.03
 -------- 15:00 0.04 0.57 0.08 1.37 0.02 0.03
 24.03.13 16:00 0.04 0.57 0.07 1.36 0.02 0.02
 -------- 17:00 0.04 0.56 0.08 1.36 0.02 0.02
 -------- 18:00 0.04 0.53 0.11 1.36 0.04 0.01
 -------- 19:00 0.04 0.53 0.09 1.36 0.02 0.01
 -------- 20:00 0.04 0.54 0.08 1.36 0.02 0.02
 24.03.13 21:00 0.04 0.53 0.08 1.36 0.02 0.01
 -------- 22:00 0.04 0.54 0.07 1.36 0.02 0.01
 -------- 23:00 0.04 0.55 0.06 1.36 0.01 0.01
