 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 03.12.12 23:00 0.04 0.22 0.07 1.61 0.01 0.02 0.03
 -------- 00:00 0.04 0.24 0.07 1.55 0.01 0.02 0.03
 -------- 01:00 0.04 0.24 0.07 1.51 0.01 0.04 0.04
 -------- 02:00 0.04 0.24 0.06 1.89 0.01 0.02 0.01
 -------- 03:00 0.04 0.25 0.07 1.93 0.00 0.04 0.01
 04.12.12 04:00 0.04 0.23 0.07 1.86 0.01 0.02 0.02
 -------- 05:00 0.04 0.24 0.05 1.65 0.00 0.03 0.02
 -------- 06:00 0.04 0.24 0.06 1.59 0.01 0.02 0.02
 -------- 07:00 0.04 0.21 0.07 1.43 0.02 0.02 0.03
 -------- 08:00 0.04 0.17 0.09 1.44 0.04 0.02 0.03
 04.12.12 09:00 0.07 0.14 0.09 1.47 0.03 0.02 0.03
 -------- 10:00 0.07 0.10 0.10 1.52 0.05 0.02 0.02
 -------- 11:00 0.06 0.10 0.10 1.52 0.04 0.01 0.02
 -------- 12:00 0.08 0.07 0.12 1.64 0.06 0.01 0.03
 -------- 13:00 0.08 0.04 0.17 1.63 0.06 0.03 0.05
 04.12.12 14:00 0.08 0.04 0.18 1.52 0.06 0.03 0.04
 -------- 15:00 0.08 0.02 0.17 1.58 0.09 0.04 0.05
 -------- 16:00 0.09 0.01 0.13 1.54 0.07 0.03 0.04
 -------- 17:00 0.09 0.01 0.13 1.57 0.09 0.03 0.04
 -------- 18:00 0.10 0.01 0.18 1.58 0.11 0.04 0.06
 04.12.12 19:00 0.11 0.03 0.21 1.55 0.06 0.11 0.19
 -------- 20:00 0.10 0.09 0.18 1.50 0.03 0.08 0.15
 -------- 21:00 0.11 0.10 0.19 1.52 0.04 0.09 0.16
 -------- 22:00 0.11 0.11 0.17 1.49 0.03 0.06 0.11
 -------- 23:00 0.09 0.10 0.17 1.46 0.03 0.04 0.08
 05.12.12 00:00 0.07 0.13 0.15 1.44 0.02 0.03 0.05
 -------- 01:00 0.06 0.17 0.13 1.43 0.02 0.02 0.04
 -------- 02:00 0.06 0.17 0.15 1.42 0.02 0.02 0.04
 -------- 03:00 0.06 0.14 0.16 1.43 0.03 0.03 0.04
 -------- 04:00 0.05 0.15 0.15 1.43 0.02 0.02 0.04
 05.12.12 05:00 0.06 0.16 0.17 1.42 0.03 0.02 0.04
 -------- 06:00 0.07 0.13 0.25 1.45 0.05 0.05 0.09
 -------- 07:00 0.08 0.12 0.24 1.46 0.03 0.07 0.11
 -------- 08:00 0.07 0.11 0.26 1.45 0.03 0.05 0.09
 -------- 09:00 0.07 0.09 0.32 1.47 0.04 0.05 0.08
 05.12.12 10:00 0.10 0.06 0.34 1.51 0.06 0.08 0.13
 -------- 11:00 0.08 0.11 0.28 1.46 0.06 0.07 0.11
 -------- 12:00 0.08 0.14 0.28 1.48 0.07 0.06 0.10
 -------- 13:00 0.10 0.10 0.32 1.52 0.10 0.10 0.15
 -------- 14:00 0.10 0.09 0.34 1.52 0.11 0.07 0.11
 05.12.12 15:00 0.07 0.09 0.32 1.49 0.09 0.03 0.05
 -------- 16:00 0.08 0.05 0.37 1.49 0.09 0.04 0.06
 -------- 17:00 0.11 0.01 0.40 1.56 0.15 0.05 0.06
 -------- 18:00 0.13 0.01 0.40 1.66 0.21 0.06 0.09
 -------- 19:00 0.11 0.01 0.42 1.76 0.20 0.06 0.09
 05.12.12 20:00 0.11 0.01 0.41 1.75 0.17 0.06 0.08
 -------- 21:00 0.17 0.01 0.46 1.89 0.33 0.12 0.17
 -------- 22:00 0.09 0.01 0.41 1.73 0.18 0.09 0.11
