 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 17.04.13 00:00 0.21 0.01 0.66 1.89 0.40 0.40 0.24
 -------- 01:00 0.29 0.01 0.66 2.17 0.65 0.55 0.26
 -------- 02:00 0.32 0.01 0.61 2.36 0.74 0.52 0.27
 -------- 03:00 0.17 0.01 0.55 2.25 0.31 0.20 0.18
 -------- 04:00 0.17 0.01 0.55 2.18 0.36 0.20 0.17
 17.04.13 05:00 0.19 0.01 0.55 2.44 0.63 0.21 0.19
 -------- 06:00 0.33 0.01 0.75 2.52 1.08 0.46 0.45
 -------- 07:00 0.44 0.01 0.76 2.61 1.35 0.52 0.39
 -------- 08:00 0.42 0.01 0.91 2.70 1.13 0.54 0.39
 -------- 09:00 0.29 0.02 0.76 2.09 0.55 0.39 0.26
 17.04.13 10:00 0.16 0.10 0.60 1.86 0.17 0.24 0.19
 -------- 11:00 0.09 0.25 0.45 1.67 0.08 0.18 0.12
 -------- 12:00 0.07 0.40 0.33 1.56 0.05 0.18 0.11
 -------- 13:00 0.06 0.46 0.33 1.55 0.06 0.20 0.13
 -------- 14:00 0.08 0.50 0.34 1.57 0.05 0.20 0.15
 17.04.13 15:00 0.04 0.58 0.26 1.51 0.03 0.15 0.10
 -------- 16:00 0.05 0.67 0.27 1.56 0.03 0.13 0.12
 -------- 17:00 0.04 0.74 0.22 1.52 0.02 0.14 0.12
 -------- 18:00 0.05 0.78 0.20 1.47 0.02 0.12 0.12
 -------- 19:00 0.06 0.72 0.25 1.48 0.02 0.12 0.12
 17.04.13 20:00 0.09 0.52 0.39 1.53 0.02 0.15 0.13
 -------- 21:00 0.13 0.22 0.59 1.70 0.01 0.20 0.15
 -------- 22:00 0.15 0.04 0.72 1.81 0.03 0.24 0.20
 -------- 23:00 0.24 0.01 0.84 1.94 0.22 0.41 0.33
 -------- 00:00 0.15 0.01 0.78 1.76 0.11 0.22 0.17
 18.04.13 01:00 0.12 0.13 0.62 1.75 0.05 0.19 0.17
 -------- 02:00 0.10 0.11 0.63 1.77 0.02 0.16 0.15
 -------- 03:00 0.17 0.10 0.58 1.94 0.11 0.16 0.16
 -------- 04:00 0.15 0.02 0.74 2.18 0.59 0.21 0.22
 -------- 05:00 0.17 0.02 0.89 2.07 0.44 0.26 0.27
 18.04.13 06:00 0.09 0.06 0.66 1.74 0.05 0.14 0.12
 -------- 07:00 0.11 0.10 0.68 1.63 0.08 0.18 0.13
 -------- 08:00 0.13 0.09 0.69 1.68 0.14 0.24 0.16
 -------- 09:00 0.10 0.28 0.55 1.62 0.07 0.23 0.17
 -------- 10:00 0.09 0.34 0.49 1.57 0.06 0.28 0.22
 18.04.13 11:00 0.10 0.36 0.47 1.59 0.06 0.24 0.19
 -------- 12:00 0.10 0.40 0.41 1.64 0.06 0.21 0.18
 -------- 13:00 0.07 0.55 0.34 1.54 0.04 0.20 0.17
 -------- 14:00 0.06 0.56 0.30 1.54 0.03 0.21 0.15
 -------- 15:00 0.06 0.67 0.21 1.48 0.03 0.21 0.14
 18.04.13 16:00 0.07 0.61 0.27 1.52 0.03 0.25 0.21
 -------- 17:00 0.06 0.64 0.22 1.49 0.02 0.20 0.19
 -------- 18:00 0.06 0.65 0.19 1.50 0.02 0.20 0.19
 -------- 19:00 0.06 0.55 0.28 1.50 0.02 0.17 0.14
 -------- 20:00 0.11 0.33 0.47 1.59 0.03 0.21 0.24
 18.04.13 21:00 0.12 0.17 0.55 1.68 0.06 0.19 0.19
 -------- 22:00 0.39 0.01 0.71 2.33 0.67 0.81 0.32
 -------- 23:00 0.49 0.01 0.73 2.40 0.82 0.94 0.40
