 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 11.12.12 00:00 0.02 0.31 0.09 1.40 ---- 0.02 0.04
 -------- 01:00 0.02 0.31 0.08 1.40 ---- 0.02 0.04
 -------- 02:00 0.02 0.32 0.07 1.40 ---- 0.03 0.05
 -------- 03:00 0.03 0.35 0.05 1.39 ---- 0.04 0.07
 -------- 04:00 0.02 0.40 0.07 1.36 ---- 0.03 0.05
 11.12.12 05:00 0.03 0.34 0.08 1.39 ---- 0.04 0.07
 -------- 06:00 0.04 0.31 0.09 1.42 0.00 0.04 0.06
 -------- 07:00 0.04 0.28 0.12 1.42 0.01 0.04 0.07
 -------- 08:00 0.04 0.25 0.15 1.40 0.01 0.04 0.07
 -------- 09:00 0.04 0.29 0.15 1.40 0.01 0.03 0.05
 11.12.12 10:00 0.04 0.29 0.15 1.39 0.01 0.04 0.06
 -------- 11:00 0.03 0.29 0.17 1.40 0.01 0.03 0.04
 -------- 12:00 0.03 0.27 0.17 1.41 0.01 0.04 0.06
 -------- 13:00 0.04 0.25 0.19 1.43 0.02 0.05 0.07
 -------- 14:00 0.03 0.24 0.19 1.42 0.01 0.04 0.05
 11.12.12 15:00 0.04 0.23 0.22 1.42 0.01 0.04 0.06
 -------- 16:00 0.04 0.20 0.20 1.44 0.02 0.05 0.07
 -------- 17:00 0.03 0.25 0.17 1.42 0.01 0.04 0.06
 -------- 18:00 0.02 0.24 0.20 1.43 0.01 0.04 0.06
 -------- 19:00 0.03 0.21 0.19 1.47 0.01 0.06 0.10
 11.12.12 20:00 0.03 0.18 0.17 1.50 0.01 0.04 0.06
 -------- 21:00 0.03 0.17 0.17 1.48 0.01 0.04 0.05
 -------- 22:00 0.04 0.18 0.16 1.46 0.01 0.04 0.06
 -------- 23:00 0.04 0.18 0.17 1.46 0.01 0.04 0.06
 -------- 00:00 0.04 0.19 0.16 1.47 0.00 0.04 0.06
 12.12.12 01:00 0.03 0.21 0.15 1.46 0.00 0.05 0.05
 -------- 02:00 0.02 0.26 0.11 1.46 ---- 0.03 0.04
 -------- 03:00 0.02 0.26 0.12 1.51 ---- 0.03 0.05
 -------- 04:00 0.04 0.16 0.20 1.57 0.01 0.05 0.06
 -------- 05:00 0.04 0.17 0.16 1.56 0.02 0.05 0.06
 12.12.12 06:00 0.04 0.14 0.21 1.58 0.04 0.05 0.06
 -------- 07:00 0.04 0.11 0.24 1.63 0.06 0.05 0.06
 -------- 08:00 0.06 0.07 0.27 1.58 0.08 0.05 0.07
 -------- 09:00 0.04 0.14 0.21 1.48 0.03 0.05 0.06
 -------- 10:00 0.04 0.15 0.18 1.51 0.03 0.05 0.06
 12.12.12 11:00 0.04 0.15 0.19 1.49 0.05 0.05 0.07
 -------- 12:00 0.04 0.17 0.15 1.49 0.05 0.05 0.07
 -------- 13:00 0.04 0.19 0.14 1.48 0.04 0.05 0.06
 -------- 14:00 0.04 0.18 0.16 1.51 0.05 0.05 0.07
 -------- 15:00 0.05 0.16 0.19 1.56 0.05 0.05 0.07
 12.12.12 16:00 0.09 0.07 0.28 1.64 0.15 0.11 0.11
 -------- 17:00 0.08 0.10 0.23 1.52 0.07 0.06 0.08
 -------- 18:00 0.06 0.10 0.22 1.55 0.06 0.06 0.08
 -------- 19:00 0.07 0.13 0.20 1.56 0.06 0.05 0.06
 -------- 20:00 0.10 0.13 0.19 1.60 0.04 0.05 0.07
 12.12.12 21:00 0.09 0.16 0.15 1.63 0.03 0.05 0.07
 -------- 22:00 0.05 0.18 0.14 1.55 0.02 0.05 0.06
 -------- 23:00 0.04 0.19 0.13 1.52 0.02 0.04 0.06
