 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 15.01.13 12:00 0.07 0.09 0.35 1.50 0.09 0.10 0.16
 -------- 13:00 0.07 0.07 0.37 1.51 0.11 0.09 0.14
 -------- 14:00 0.08 0.05 0.38 1.53 0.13 0.11 0.18
 -------- 15:00 0.07 0.05 0.39 1.53 0.12 0.09 0.14
 -------- 16:00 0.08 0.09 0.34 1.49 0.06 0.09 0.15
 15.01.13 17:00 0.06 0.05 0.41 1.52 0.08 0.08 0.12
 -------- 18:00 0.11 0.01 0.45 1.58 0.20 0.06 0.10
 -------- 19:00 0.12 0.01 0.45 1.61 0.21 0.06 0.09
 -------- 20:00 0.12 0.01 0.44 1.60 0.20 0.06 0.10
 -------- 21:00 0.11 0.01 0.44 1.63 0.16 0.07 0.11
 15.01.13 22:00 0.10 0.01 0.43 1.59 0.13 0.06 0.10
 -------- 23:00 0.07 0.01 0.44 1.50 0.09 0.04 0.07
 -------- 00:00 0.05 0.02 0.42 1.58 0.05 0.03 0.06
 -------- 01:00 0.07 0.01 0.43 1.73 0.08 0.05 0.08
 -------- 02:00 0.07 0.01 0.41 1.61 0.06 0.08 0.11
 16.01.13 03:00 0.06 0.08 0.33 1.49 0.01 0.05 0.07
 -------- 04:00 0.04 0.06 0.35 1.55 0.02 0.04 0.07
 -------- 05:00 0.02 0.20 0.19 1.52 0.00 0.03 0.04
 -------- 06:00 0.04 0.24 0.19 1.49 0.01 0.03 0.04
 -------- 07:00 0.05 0.20 0.25 1.47 0.01 0.03 0.05
 16.01.13 08:00 0.06 0.09 0.33 1.48 0.04 0.03 0.05
 -------- 09:00 0.07 0.07 0.37 1.49 0.07 0.04 0.06
 -------- 10:00 0.07 0.04 0.39 1.53 0.11 0.05 0.07
 -------- 11:00 0.08 0.04 0.37 1.52 0.11 0.06 0.09
 -------- 12:00 0.08 0.05 0.37 1.55 0.12 0.07 0.10
 16.01.13 13:00 0.08 0.06 0.37 1.61 0.13 0.08 0.11
 -------- 14:00 0.08 0.05 0.37 1.82 0.15 0.08 0.11
 -------- 15:00 0.11 0.03 0.38 1.69 0.12 0.09 0.12
 -------- 16:00 0.10 0.02 0.37 1.82 0.15 0.10 0.14
 -------- 17:00 0.10 0.03 0.36 1.82 0.13 0.09 0.11
 16.01.13 18:00 0.08 0.06 0.30 1.65 0.07 0.08 0.11
 -------- 19:00 0.07 0.05 0.30 1.63 0.07 0.08 0.11
 -------- 20:00 0.07 0.05 0.29 1.64 0.07 0.08 0.11
 -------- 21:00 0.07 0.05 0.27 1.74 0.06 0.09 0.13
 -------- 22:00 0.06 0.08 0.26 2.14 0.05 0.08 0.11
 16.01.13 23:00 0.07 0.08 0.27 2.21 0.06 0.09 0.15
 -------- 00:00 0.06 0.05 0.28 2.13 0.06 0.08 0.12
 -------- 01:00 0.06 0.07 0.25 1.86 0.03 0.07 0.11
 -------- 02:00 0.06 0.08 0.23 1.94 0.02 0.07 0.11
 -------- 03:00 0.06 0.10 0.21 1.70 0.03 0.06 0.10
 17.01.13 04:00 0.04 0.13 0.19 2.05 0.01 0.06 0.09
 -------- 05:00 0.04 0.17 0.16 2.03 0.01 0.07 0.10
 -------- 06:00 0.04 0.19 0.16 1.85 0.02 0.08 0.11
 -------- 07:00 0.05 0.20 0.15 1.82 0.03 0.06 0.10
 -------- 08:00 0.06 0.16 0.20 1.65 0.06 0.06 0.10
 17.01.13 09:00 0.06 0.14 0.21 1.84 0.07 0.06 0.10
 -------- 10:00 0.07 0.17 0.19 1.85 0.04 0.06 0.09
 -------- 11:00 0.08 0.16 0.21 1.92 0.06 0.06 0.09
