 Date Time CO OZ NO2 CHX NO PM10
 30.10.12 00:00 0.03 0.28 0.07 1.37 0.01 0.03
 -------- 01:00 0.02 0.27 0.07 1.43 0.01 0.02
 -------- 02:00 0.02 0.29 0.06 1.41 0.01 0.03
 -------- 03:00 0.02 0.33 0.04 1.45 0.01 0.03
 -------- 04:00 0.02 0.35 0.03 1.55 0.00 0.02
 30.10.12 05:00 0.02 0.31 0.07 1.68 0.00 0.02
 -------- 06:00 0.03 0.24 0.11 1.54 0.01 0.03
 -------- 07:00 0.04 0.22 0.13 1.58 0.02 0.04
 -------- 08:00 0.04 0.20 0.15 1.54 0.04 0.05
 -------- 09:00 0.05 0.18 0.15 1.65 0.05 0.06
 30.10.12 10:00 0.06 0.22 0.13 1.55 0.04 0.07
 -------- 11:00 0.05 0.24 0.12 1.76 0.04 0.09
 -------- 12:00 0.07 0.27 0.10 1.80 0.04 0.11
 -------- 13:00 0.05 0.29 0.10 1.46 0.04 0.08
 -------- 14:00 0.05 0.27 0.14 1.44 0.04 0.07
 30.10.12 15:00 0.05 0.29 0.12 1.46 0.03 0.08
 -------- 16:00 0.04 0.30 0.13 1.44 0.03 0.08
 -------- 17:00 0.05 0.31 0.10 1.40 0.02 0.03
 -------- 18:00 0.05 0.29 0.10 1.42 0.02 0.02
 -------- 19:00 0.05 0.31 0.07 1.47 0.01 0.02
 30.10.12 20:00 0.06 0.31 0.07 1.42 0.01 0.02
 -------- 21:00 0.05 0.31 0.06 1.39 0.01 0.01
 -------- 22:00 0.04 0.29 0.06 1.39 0.01 0.01
 -------- 23:00 0.04 0.27 0.06 1.43 0.01 0.01
 -------- 00:00 0.05 0.26 0.06 1.39 0.00 0.00
 31.10.12 01:00 0.05 0.24 0.06 1.47 0.00 0.01
 -------- 02:00 0.05 0.23 0.06 1.47 0.00 0.01
 -------- 03:00 0.07 0.23 0.05 1.47 0.00 0.01
 -------- 04:00 0.07 0.23 0.04 1.42 ---- 0.00
 -------- 05:00 0.09 0.20 0.06 1.43 0.00 0.01
 31.10.12 06:00 0.18 0.12 0.11 1.82 0.02 0.02
 -------- 07:00 0.13 0.06 0.19 3.52 0.09 0.04
 -------- 08:00 0.10 0.02 0.25 1.78 0.18 0.04
 -------- 09:00 0.12 0.01 0.26 1.54 0.24 0.04
 -------- 10:00 0.13 0.01 0.28 1.61 0.30 0.05
 31.10.12 11:00 0.13 0.01 0.27 1.62 0.31 0.06
 -------- 12:00 0.15 0.01 0.24 1.65 0.35 0.05
 -------- 13:00 0.11 0.01 0.22 1.51 0.26 0.04
 -------- 14:00 0.09 0.02 0.21 1.55 0.15 0.03
 -------- 15:00 0.09 0.01 0.22 1.55 0.17 0.04
 31.10.12 16:00 0.10 0.01 0.22 1.50 0.11 0.06
 -------- 17:00 0.12 0.02 0.29 1.49 0.10 0.07
 -------- 18:00 0.09 0.03 0.23 1.44 0.05 0.06
 -------- 19:00 0.08 0.08 0.20 1.43 0.03 0.06
 -------- 20:00 0.08 0.11 0.19 1.45 0.03 0.07
 31.10.12 21:00 0.08 0.08 0.23 1.45 0.03 0.04
 -------- 22:00 0.08 0.13 0.24 1.44 0.05 0.04
 -------- 23:00 0.05 0.20 0.15 1.40 0.03 0.03
