 Date Time CO OZ NO2 CHX NO PM10
 19.10.12 00:00 0.08 0.01 0.16 1.44 0.09 0.05
 -------- 01:00 0.10 0.01 0.15 1.45 0.05 0.06
 -------- 02:00 0.06 0.02 0.13 1.42 0.01 0.03
 -------- 03:00 0.05 0.01 0.14 1.42 0.02 0.03
 -------- 04:00 0.05 0.02 0.12 1.47 0.01 0.03
 19.10.12 05:00 0.07 0.01 0.14 1.48 0.09 0.04
 -------- 06:00 0.09 0.01 0.16 1.55 0.18 0.05
 -------- 07:00 0.07 0.01 0.15 1.56 0.07 0.02
 -------- 08:00 0.14 0.01 0.19 1.85 0.32 0.07
 -------- 09:00 0.20 0.01 0.21 1.68 0.46 0.10
 19.10.12 10:00 0.23 0.01 0.25 1.78 0.56 0.18
 -------- 11:00 0.17 0.01 0.27 1.67 0.31 0.11
 -------- 12:00 0.18 0.01 0.29 1.75 0.34 0.13
 -------- 13:00 0.11 0.01 0.27 1.59 0.19 0.07
 -------- 14:00 0.12 0.01 0.29 1.57 0.20 0.08
 19.10.12 15:00 0.11 0.01 0.30 1.55 0.16 0.08
 -------- 16:00 0.11 0.01 0.29 1.56 0.15 0.08
 -------- 17:00 0.09 0.01 0.30 1.51 0.08 0.06
 -------- 18:00 0.10 0.01 0.32 1.50 0.09 0.07
 -------- 19:00 0.10 0.01 0.32 1.53 0.06 0.06
 19.10.12 20:00 0.10 0.01 0.31 1.54 0.06 0.07
 -------- 21:00 0.09 0.01 0.31 1.53 0.06 0.07
 -------- 22:00 0.07 0.03 0.26 1.43 0.02 0.05
 -------- 23:00 0.06 0.05 0.23 1.41 0.01 0.04
