 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 24.11.12 12:00 0.10 0.01 0.29 1.60 0.18 0.15 0.15
 -------- 13:00 0.09 0.01 0.27 1.56 0.15 0.14 0.14
 -------- 14:00 0.11 0.01 0.28 1.60 0.17 0.18 0.18
 -------- 15:00 0.10 0.01 0.30 1.60 0.17 0.15 0.15
 -------- 16:00 0.11 0.01 0.29 1.65 0.20 0.20 0.19
 24.11.12 17:00 0.12 0.01 0.30 1.66 0.24 0.22 0.21
 -------- 18:00 0.12 0.01 0.29 1.71 0.22 0.22 0.22
 -------- 19:00 0.11 0.01 0.28 1.63 0.19 0.22 0.21
 -------- 20:00 0.11 0.01 0.28 1.60 0.21 0.20 0.21
 -------- 21:00 0.11 0.01 0.29 1.59 0.28 0.17 0.18
 24.11.12 22:00 0.08 0.01 0.26 1.54 0.08 0.14 0.15
 -------- 23:00 0.06 0.01 0.24 1.50 0.03 0.10 0.11
 -------- 00:00 0.05 0.02 0.21 1.47 0.01 0.08 0.10
 -------- 01:00 0.04 0.04 0.19 1.44 0.01 0.06 0.08
 -------- 02:00 0.04 0.04 0.20 1.42 0.01 0.06 0.08
 25.11.12 03:00 0.04 0.07 0.16 1.42 0.00 0.05 0.08
 -------- 04:00 0.04 0.06 0.17 1.43 0.00 0.07 0.10
 -------- 05:00 0.04 0.04 0.20 1.45 0.01 0.06 0.10
 -------- 06:00 0.05 0.03 0.21 1.44 0.01 0.07 0.10
 -------- 07:00 0.05 0.05 0.19 1.42 0.01 0.07 0.10
 25.11.12 08:00 0.04 0.06 0.18 1.41 0.01 0.05 0.07
 -------- 09:00 0.04 0.07 0.18 1.39 0.01 0.05 0.07
 -------- 10:00 0.04 0.06 0.20 1.42 0.02 0.06 0.08
 -------- 11:00 0.05 0.07 0.20 1.42 0.03 0.07 0.08
 -------- 12:00 0.06 0.08 0.18 1.44 0.03 0.09 0.10
 25.11.12 13:00 0.06 0.10 0.17 1.44 0.03 0.10 0.10
 -------- 14:00 0.06 0.11 0.17 1.43 0.03 0.09 0.08
 -------- 15:00 0.05 0.11 0.17 1.43 0.02 0.09 0.08
 -------- 16:00 0.07 0.10 0.19 1.44 0.02 0.11 0.10
 -------- 17:00 0.06 0.07 0.21 1.42 0.02 0.17 0.14
 25.11.12 18:00 0.06 0.06 0.20 1.42 0.03 0.16 0.14
 -------- 19:00 0.06 0.09 0.18 1.43 0.01 0.10 0.10
 -------- 20:00 0.05 0.12 0.16 1.39 0.01 0.07 0.06
 -------- 21:00 0.05 0.10 0.18 1.40 0.01 0.07 0.07
 -------- 22:00 0.07 0.09 0.17 1.42 0.01 0.09 0.11
 25.11.12 23:00 0.06 0.06 0.19 1.41 0.01 0.10 0.12
 -------- 00:00 0.05 0.08 0.16 1.41 0.01 0.09 0.10
 -------- 01:00 0.04 0.09 0.15 1.41 0.01 0.08 0.09
 -------- 02:00 0.04 0.09 0.15 1.41 0.00 0.08 0.08
 -------- 03:00 0.04 0.07 0.16 1.43 0.00 0.09 0.08
 26.11.12 04:00 0.04 0.07 0.15 1.42 0.00 0.09 0.08
 -------- 05:00 0.05 0.03 0.20 1.46 0.02 0.08 0.09
 -------- 06:00 0.07 0.02 0.21 1.45 0.05 0.09 0.10
 -------- 07:00 0.07 0.01 0.22 1.50 0.09 0.09 0.11
 -------- 08:00 0.09 0.01 0.21 1.57 0.11 0.09 0.11
 26.11.12 09:00 0.10 0.01 0.23 1.61 0.15 0.09 0.13
 -------- 10:00 0.12 0.01 0.24 1.67 0.20 0.10 0.14
 -------- 11:00 0.11 0.01 0.24 1.72 0.18 0.10 0.14
 -------- 12:00 0.10 0.01 0.23 1.64 0.20 0.09 0.12
