 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 30.04.13 12:00 0.07 0.39 0.21 1.61 0.01 0.11 0.06
 -------- 13:00 0.06 0.30 0.28 1.50 0.02 0.11 0.11
 -------- 14:00 0.08 0.19 0.34 1.47 0.03 0.06 0.07
 -------- 15:00 0.10 0.12 0.35 1.50 0.05 0.07 0.09
 -------- 16:00 0.09 0.10 0.35 1.50 0.05 0.10 0.13
 30.04.13 17:00 0.12 0.12 0.28 1.50 0.05 0.14 0.22
 -------- 18:00 0.10 0.21 0.21 1.47 0.04 0.09 0.14
 -------- 19:00 0.08 0.29 0.21 1.45 0.03 0.04 0.04
 -------- 20:00 0.09 0.25 0.31 1.47 0.04 0.07 0.08
 -------- 21:00 0.15 0.08 0.44 1.60 0.06 0.07 0.05
 30.04.13 22:00 0.17 0.01 0.48 1.90 0.10 0.11 0.09
 -------- 23:00 0.23 0.01 0.52 1.74 0.37 0.19 0.14
 -------- 00:00 0.19 0.01 0.51 1.78 0.30 0.19 0.16
 -------- 01:00 0.14 0.01 0.50 1.64 0.11 0.07 0.07
 -------- 02:00 0.05 0.17 0.31 1.48 0.02 0.04 0.04
 01.05.13 03:00 0.04 0.21 0.29 1.49 0.01 0.04 0.04
 -------- 04:00 0.04 0.22 0.29 1.47 0.02 0.05 0.06
 -------- 05:00 0.06 0.15 0.35 1.49 0.03 0.08 0.06
 -------- 06:00 0.13 0.05 0.43 1.56 0.12 0.23 0.09
 -------- 07:00 0.09 0.09 0.38 1.51 0.12 0.26 0.07
 01.05.13 08:00 0.08 0.17 0.33 1.49 0.07 0.18 0.10
 -------- 09:00 0.07 0.26 0.24 1.47 0.05 0.13 0.11
 -------- 10:00 0.06 0.31 0.21 1.46 0.03 0.11 0.08
 -------- 11:00 0.06 0.34 0.20 1.46 0.03 0.06 0.05
 -------- 12:00 0.04 0.44 0.15 1.43 0.02 0.07 0.05
 01.05.13 13:00 0.04 0.51 0.13 1.42 0.03 0.08 0.07
 -------- 14:00 0.07 0.51 0.21 1.44 0.04 0.13 0.12
 -------- 15:00 0.05 0.56 0.14 1.42 0.02 0.12 0.08
 -------- 16:00 0.06 0.59 0.12 1.42 0.02 0.11 0.11
 -------- 17:00 0.05 0.57 0.15 1.41 0.03 0.10 0.07
 01.05.13 18:00 0.06 0.50 0.27 1.45 0.05 0.11 0.08
 -------- 19:00 0.07 0.44 0.25 1.46 0.04 0.16 0.11
 -------- 20:00 0.11 0.37 0.34 1.55 0.06 0.31 0.14
 -------- 21:00 0.19 0.19 0.46 1.60 0.09 0.47 0.24
 -------- 22:00 0.21 0.01 0.53 1.80 0.24 0.67 0.20
 01.05.13 23:00 0.31 0.01 0.56 2.00 0.56 1.04 0.31
 -------- 00:00 0.27 0.01 0.49 2.04 0.42 0.80 0.26
 -------- 01:00 0.50 0.01 0.62 2.39 1.51 2.23 0.50
 -------- 02:00 0.32 0.01 0.50 2.18 0.89 0.80 0.29
 -------- 03:00 0.33 0.01 0.51 2.24 1.02 0.41 0.24
 02.05.13 04:00 0.31 0.01 0.55 2.21 1.20 0.50 0.22
 -------- 05:00 0.29 0.01 0.41 2.22 0.90 0.35 0.17
 -------- 06:00 0.28 0.01 0.40 2.26 0.91 0.40 0.19
 -------- 07:00 0.40 0.01 0.63 2.56 1.33 0.73 0.34
 -------- 08:00 0.23 0.01 0.58 1.97 0.50 0.34 0.28
 02.05.13 09:00 0.09 0.10 0.45 1.63 0.15 0.20 0.10
 -------- 10:00 0.05 0.38 0.21 1.45 0.04 0.11 0.03
 -------- 11:00 0.02 0.50 0.17 1.43 0.03 0.09 0.03
