 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 05.05.13 12:00 0.10 0.12 0.24 1.72 0.05 0.13 0.18
 -------- 13:00 0.13 0.07 0.34 1.79 0.08 0.15 0.19
 -------- 14:00 0.21 0.07 0.35 1.74 0.07 0.35 0.44
 -------- 15:00 0.24 0.08 0.31 1.78 0.06 0.35 0.44
 -------- 16:00 0.19 0.09 0.28 1.75 0.04 0.23 0.31
 05.05.13 17:00 0.13 0.11 0.25 1.54 0.04 0.16 0.22
 -------- 18:00 0.13 0.17 0.20 1.51 0.02 0.21 0.28
 -------- 19:00 0.17 0.15 0.26 1.54 0.05 0.14 0.17
 -------- 20:00 0.16 0.23 0.21 1.55 0.02 0.16 0.23
 -------- 21:00 0.10 0.19 0.26 1.49 0.02 0.05 0.06
 05.05.13 22:00 0.12 0.04 0.38 1.59 0.04 0.04 0.03
 -------- 23:00 0.11 0.02 0.35 1.69 0.05 0.05 0.05
 -------- 00:00 0.10 0.01 0.34 1.53 0.04 0.03 0.03
 -------- 01:00 0.07 0.04 0.31 1.49 0.03 0.03 0.03
 -------- 02:00 0.06 0.13 0.23 1.48 0.02 0.02 0.03
 06.05.13 03:00 0.06 0.15 0.21 1.44 0.01 0.02 0.02
 -------- 04:00 0.07 0.07 0.27 1.48 0.03 0.04 0.04
 -------- 05:00 0.07 0.04 0.34 1.48 0.07 0.04 0.05
 -------- 06:00 0.06 0.18 0.27 1.43 0.06 0.02 0.01
 -------- 07:00 0.06 0.36 0.20 1.38 0.03 0.03 0.01
 06.05.13 08:00 0.08 0.33 0.24 1.42 0.04 0.06 0.03
 -------- 09:00 0.06 0.36 0.18 1.40 0.03 0.05 0.03
 -------- 10:00 0.06 0.39 0.17 1.40 0.04 0.05 0.02
 -------- 11:00 0.06 0.42 0.14 1.39 0.03 0.04 0.02
 -------- 12:00 0.05 0.44 0.15 1.41 0.03 0.04 0.02
 06.05.13 13:00 0.04 0.44 0.14 1.40 0.03 0.04 0.03
 -------- 14:00 0.14 0.41 0.20 1.54 0.04 0.22 0.21
 -------- 15:00 0.09 0.40 0.18 1.46 0.04 0.09 0.08
 -------- 16:00 0.11 0.36 0.27 1.49 0.08 0.14 0.11
 -------- 17:00 0.11 0.40 0.21 1.45 0.05 0.16 0.13
 06.05.13 18:00 0.07 0.41 0.19 1.42 0.04 0.08 0.04
 -------- 19:00 0.08 0.33 0.26 1.43 0.06 0.10 0.08
 -------- 20:00 0.11 0.31 0.27 1.50 0.06 0.13 0.10
 -------- 21:00 0.09 0.37 0.28 1.56 0.07 0.09 0.07
 -------- 22:00 0.09 0.25 0.29 1.47 0.06 0.08 0.07
 06.05.13 23:00 0.08 0.20 0.31 1.46 0.06 0.12 0.12
 -------- 00:00 0.13 0.19 0.28 1.51 0.04 0.16 0.16
 -------- 01:00 0.07 0.21 0.24 1.47 0.02 0.02 0.02
 -------- 02:00 0.06 0.14 0.27 1.47 0.02 0.02 0.02
 -------- 03:00 0.05 0.09 0.31 1.45 0.03 0.02 0.03
 07.05.13 04:00 0.06 0.05 0.36 1.47 0.05 0.03 0.03
 -------- 05:00 0.06 0.04 0.37 1.45 0.06 0.05 0.05
 -------- 06:00 0.07 0.06 0.34 1.47 0.07 0.05 0.04
 -------- 07:00 0.09 0.12 0.30 1.48 0.09 0.08 0.04
 -------- 08:00 0.11 0.10 0.36 1.56 0.14 0.12 0.07
 07.05.13 09:00 0.10 0.16 0.28 1.53 0.10 0.09 0.03
 -------- 10:00 0.07 0.26 0.22 1.53 0.06 0.06 0.02
 -------- 11:00 0.06 0.35 0.17 1.49 0.04 0.06 0.02
