 Date Time CO OZ NO2 CHX NO PM10
 15.03.13 12:00 0.10 0.12 0.33 1.60 0.11 0.06
 -------- 13:00 0.10 0.14 0.29 1.63 0.09 0.05
 -------- 14:00 0.10 0.18 0.26 1.59 0.09 0.04
 -------- 15:00 0.11 0.16 0.28 1.56 0.13 0.04
 -------- 16:00 0.09 0.23 0.22 1.51 0.06 0.03
 15.03.13 17:00 0.09 0.26 0.19 1.52 0.04 0.02
 -------- 18:00 0.09 0.23 0.24 1.50 0.07 0.02
 -------- 19:00 0.09 0.26 0.20 1.60 0.04 0.02
 -------- 20:00 0.09 0.21 0.23 1.97 0.05 0.02
 -------- 21:00 0.12 0.21 0.20 1.99 0.04 0.02
 15.03.13 22:00 0.07 0.26 0.17 1.57 0.02 0.01
 -------- 23:00 0.08 0.26 0.22 1.57 0.02 0.03
 -------- 00:00 0.06 0.28 0.21 1.51 0.01 0.03
 -------- 01:00 0.07 0.28 0.20 1.68 0.01 0.03
 -------- 02:00 0.07 0.23 0.22 1.61 0.01 0.03
 16.03.13 03:00 0.08 0.20 0.23 1.74 0.02 0.03
 -------- 04:00 0.08 0.11 0.27 1.57 0.02 0.03
 -------- 05:00 0.08 0.10 0.26 1.55 0.03 0.03
 -------- 06:00 0.08 0.11 0.26 1.59 0.02 0.08
 -------- 07:00 0.08 0.11 0.26 1.75 0.02 0.05
 16.03.13 08:00 0.09 0.11 0.27 1.69 0.03 0.09
 -------- 09:00 0.12 0.07 0.29 1.53 0.06 0.09
 -------- 10:00 0.11 0.12 0.27 1.58 0.07 0.06
 -------- 11:00 0.10 0.12 0.25 1.68 0.06 0.07
 -------- 12:00 0.09 0.16 0.23 1.56 0.06 0.12
 16.03.13 13:00 0.09 0.20 0.25 1.49 0.05 0.08
 -------- 14:00 0.09 0.35 0.19 1.52 0.03 0.03
 -------- 15:00 0.08 0.41 0.21 1.49 0.05 0.04
 -------- 16:00 0.09 0.43 0.23 1.51 0.04 0.03
 -------- 17:00 0.08 0.37 0.22 1.50 0.04 0.03
 16.03.13 18:00 0.08 0.35 0.24 1.51 0.03 0.03
 -------- 19:00 0.08 0.31 0.27 1.50 0.03 0.03
 -------- 20:00 0.08 0.28 0.26 1.50 0.03 0.03
 -------- 21:00 0.09 0.27 0.25 1.49 0.03 0.03
 -------- 22:00 0.07 0.27 0.25 1.49 0.03 0.03
 16.03.13 23:00 0.06 0.23 0.26 1.49 0.03 0.03
 -------- 00:00 0.06 0.21 0.27 1.50 0.03 0.03
 -------- 01:00 0.08 0.14 0.32 1.50 0.03 0.02
 -------- 02:00 0.07 0.21 0.28 1.49 0.02 0.02
 -------- 03:00 0.06 0.18 0.31 1.49 0.02 0.01
 17.03.13 04:00 0.05 0.29 0.22 1.46 0.02 0.01
 -------- 05:00 0.04 0.38 0.18 1.44 0.01 0.01
 -------- 06:00 0.05 0.36 0.20 1.44 0.01 0.02
 -------- 07:00 0.05 0.35 0.20 1.43 0.02 0.02
 -------- 08:00 0.07 0.31 0.24 1.45 0.02 0.02
 17.03.13 09:00 0.06 0.28 0.26 1.44 0.04 0.02
 -------- 10:00 0.07 0.25 0.29 1.46 0.06 0.02
 -------- 11:00 0.07 0.29 0.24 1.46 0.05 0.03
