 Date Time CO OZ NO2 CHX NO PM10
 02.11.12 12:00 0.08 0.06 0.23 1.43 0.06 0.11
 -------- 13:00 0.08 0.07 0.24 1.43 0.05 0.08
 -------- 14:00 0.08 0.05 0.26 1.43 0.06 0.09
 -------- 15:00 0.07 0.10 0.22 1.43 0.03 0.08
 -------- 16:00 0.07 0.07 0.25 1.43 0.04 0.08
 02.11.12 17:00 0.06 0.08 0.24 1.42 0.02 0.08
 -------- 18:00 0.07 0.09 0.22 1.43 0.02 0.07
 -------- 19:00 0.09 0.11 0.20 1.43 0.01 0.11
 -------- 20:00 0.08 0.12 0.18 1.42 0.01 0.11
 -------- 21:00 0.08 0.15 0.15 1.44 0.01 0.07
 02.11.12 22:00 0.06 0.19 0.13 1.43 0.01 0.05
 -------- 23:00 0.05 0.21 0.12 1.41 0.00 0.04
 -------- 00:00 0.04 0.21 0.12 1.39 0.00 0.04
 -------- 01:00 0.04 0.23 0.10 1.38 ---- 0.05
 -------- 02:00 0.04 0.23 0.10 1.45 ---- 0.05
 03.11.12 03:00 0.04 0.23 0.08 1.42 ---- 0.04
 -------- 04:00 0.04 0.19 0.09 1.39 ---- 0.04
 -------- 05:00 0.04 0.18 0.09 1.40 ---- 0.04
 -------- 06:00 0.04 0.14 0.13 1.42 0.00 0.03
 -------- 07:00 0.05 0.11 0.15 1.42 0.01 0.04
 03.11.12 08:00 0.06 0.09 0.18 1.42 0.01 0.04
 -------- 09:00 0.07 0.07 0.22 1.43 0.02 0.04
 -------- 10:00 0.08 0.05 0.26 1.44 0.05 0.05
 -------- 11:00 0.08 0.07 0.26 1.45 0.05 0.05
 -------- 12:00 0.07 0.10 0.24 1.43 0.04 0.06
 03.11.12 13:00 0.07 0.08 0.25 1.43 0.04 0.06
 -------- 14:00 0.07 0.10 0.22 1.44 0.03 0.07
 -------- 15:00 0.07 0.09 0.23 1.43 0.03 0.05
 -------- 16:00 0.07 0.08 0.22 1.44 0.02 0.05
 -------- 17:00 0.08 0.07 0.22 1.46 0.02 0.06
 03.11.12 18:00 0.07 0.05 0.23 1.47 0.02 0.07
 -------- 19:00 0.07 0.08 0.18 1.44 0.01 0.05
 -------- 20:00 0.07 0.08 0.16 1.46 0.01 0.03
 -------- 21:00 0.06 0.04 0.17 1.46 0.01 0.03
 -------- 22:00 0.07 0.01 0.20 1.49 0.05 0.04
 03.11.12 23:00 0.07 0.01 0.20 1.54 0.08 0.06
 -------- 00:00 0.07 0.01 0.20 1.73 0.07 0.06
 -------- 01:00 0.08 0.01 0.18 1.90 0.06 0.05
 -------- 02:00 0.08 0.01 0.17 1.84 0.04 0.04
 -------- 03:00 0.09 0.02 0.17 1.46 0.04 0.03
 04.11.12 04:00 0.07 0.03 0.16 1.44 0.03 0.03
 -------- 05:00 0.07 0.02 0.17 1.47 0.02 0.03
 -------- 06:00 0.06 0.02 0.19 1.62 0.03 0.04
 -------- 07:00 0.07 0.01 0.20 1.55 0.04 0.06
 -------- 08:00 0.07 0.03 0.20 1.59 0.03 0.05
 04.11.12 09:00 0.10 0.03 0.23 1.58 0.05 0.06
 -------- 10:00 0.10 0.03 0.22 1.61 0.04 0.06
 -------- 11:00 0.10 0.06 0.21 1.60 0.04 0.06
