 Date Time CO OZ NO2 CHX NO PM10
 18.11.12 00:00 0.10 0.01 0.33 1.54 0.10 0.09
 -------- 01:00 0.11 0.01 0.33 1.55 0.13 0.09
 -------- 02:00 0.09 0.01 0.33 1.51 0.08 0.07
 -------- 03:00 0.07 0.02 0.31 1.47 0.04 0.05
 -------- 04:00 0.06 0.02 0.28 1.49 0.03 0.05
 18.11.12 05:00 0.06 0.04 0.28 1.44 0.03 0.03
 -------- 06:00 0.06 0.03 0.27 1.49 0.04 0.04
 -------- 07:00 0.08 0.03 0.29 1.48 0.04 0.05
 -------- 08:00 0.09 0.06 0.26 1.42 0.04 0.05
 -------- 09:00 0.07 0.14 0.19 1.40 0.03 0.05
 18.11.12 10:00 0.07 0.16 0.17 1.41 0.02 0.05
 -------- 11:00 0.06 0.14 0.20 1.41 0.02 0.05
 -------- 12:00 0.05 0.16 0.18 1.41 0.02 0.04
 -------- 13:00 0.05 0.19 0.16 1.40 0.02 0.04
 -------- 14:00 0.05 0.18 0.19 1.40 0.02 0.05
 18.11.12 15:00 0.05 0.19 0.18 1.40 0.02 0.05
 -------- 16:00 0.06 0.16 0.19 1.40 0.02 0.06
 -------- 17:00 0.06 0.12 0.23 1.41 0.02 0.07
 -------- 18:00 0.05 0.11 0.20 1.40 0.01 0.07
 -------- 19:00 0.06 0.12 0.18 1.41 0.02 0.07
 18.11.12 20:00 0.07 0.14 0.18 1.40 0.02 0.06
 -------- 21:00 0.06 0.15 0.18 1.39 0.02 0.06
 -------- 22:00 0.06 0.13 0.19 1.40 0.02 0.06
 -------- 23:00 0.05 0.12 0.19 1.39 0.02 0.07
 -------- 00:00 0.05 0.14 0.16 1.39 0.02 0.05
 19.11.12 01:00 0.04 0.12 0.16 1.40 0.02 0.04
 -------- 02:00 0.05 0.12 0.17 1.39 0.02 0.04
 -------- 03:00 0.05 0.09 0.18 1.41 0.02 0.06
 -------- 04:00 0.05 0.10 0.17 1.41 0.02 0.08
 -------- 05:00 0.06 0.11 0.17 1.40 0.03 0.06
 19.11.12 06:00 0.05 0.10 0.18 1.39 0.03 0.06
 -------- 07:00 0.06 0.09 0.19 1.40 0.03 0.05
 -------- 08:00 0.06 0.07 0.21 1.42 0.03 0.06
 -------- 09:00 0.07 0.04 0.24 1.42 0.05 0.06
 -------- 10:00 0.08 0.03 0.26 1.44 0.06 0.06
 19.11.12 11:00 0.07 0.03 0.25 1.45 0.06 0.06
 -------- 12:00 0.06 0.08 0.19 1.42 0.04 0.05
 -------- 13:00 0.08 0.06 0.22 1.44 0.06 0.07
 -------- 14:00 0.07 0.06 0.21 1.44 0.05 0.07
 -------- 15:00 0.08 0.05 0.23 1.45 0.07 0.09
 19.11.12 16:00 0.07 0.03 0.23 1.45 0.06 0.12
 -------- 17:00 0.08 0.03 0.23 1.43 0.06 0.13
 -------- 18:00 0.08 0.01 0.24 1.46 0.08 0.14
 -------- 19:00 0.08 0.01 0.23 1.46 0.08 0.13
 -------- 20:00 0.08 0.02 0.22 1.47 0.07 0.11
 19.11.12 21:00 0.08 0.01 0.22 1.49 0.09 0.10
 -------- 22:00 0.09 0.01 0.21 1.49 0.10 0.11
 -------- 23:00 0.09 0.01 0.20 1.50 0.09 0.12
