 Date Time CO OZ NO2 CHX NO PM10
 18.03.13 12:00 0.08 0.43 0.17 1.69 0.05 0.02
 -------- 13:00 0.07 0.47 0.15 1.48 0.04 0.03
 -------- 14:00 0.07 0.48 0.15 1.46 0.04 0.04
 -------- 15:00 0.07 0.40 0.21 1.46 0.06 0.06
 -------- 16:00 0.06 0.37 0.19 1.44 0.06 0.04
 18.03.13 17:00 0.07 0.35 0.17 1.44 0.06 0.03
 -------- 18:00 0.08 0.34 0.19 1.44 0.06 0.03
 -------- 19:00 0.07 0.31 0.17 1.43 0.06 0.02
 -------- 20:00 0.07 0.29 0.19 1.43 0.06 0.02
 -------- 21:00 0.06 0.32 0.15 1.42 0.03 0.02
 18.03.13 22:00 0.06 0.32 0.17 1.42 0.04 0.02
 -------- 23:00 0.05 0.35 0.14 1.41 0.02 0.01
 -------- 00:00 0.04 0.34 0.13 1.41 0.03 0.01
 -------- 01:00 0.04 0.36 0.12 1.44 0.02 0.01
 -------- 02:00 0.04 0.31 0.16 1.50 0.02 0.02
 19.03.13 03:00 0.04 0.30 0.15 1.45 0.02 0.01
 -------- 04:00 0.04 0.34 0.14 1.43 0.02 0.01
 -------- 05:00 0.04 0.34 0.16 1.42 0.02 0.01
 -------- 06:00 0.04 0.38 0.18 1.43 0.03 0.01
 -------- 07:00 0.04 0.40 0.21 1.44 0.04 0.01
 19.03.13 08:00 0.06 0.35 0.25 1.44 0.07 0.01
 -------- 09:00 0.06 0.36 0.22 1.43 0.07 0.01
 -------- 10:00 0.07 0.37 0.21 1.44 0.07 0.01
 -------- 11:00 0.06 0.42 0.22 1.44 0.09 0.02
 -------- 12:00 0.07 0.41 0.24 1.45 0.09 0.03
 19.03.13 13:00 0.06 0.43 0.19 1.48 0.07 0.03
 -------- 14:00 0.11 0.42 0.21 1.55 0.07 0.13
 -------- 15:00 0.09 0.33 0.30 1.48 0.16 0.04
 -------- 16:00 0.08 0.39 0.24 1.47 0.08 0.05
 -------- 17:00 0.09 0.37 0.25 1.47 0.08 0.05
 19.03.13 18:00 0.12 0.34 0.28 1.49 0.08 0.03
 -------- 19:00 0.09 0.26 0.33 1.49 0.07 0.02
 -------- 20:00 0.07 0.28 0.31 1.46 0.06 0.03
 -------- 21:00 0.09 0.24 0.33 1.47 0.08 0.02
 -------- 22:00 0.11 0.16 0.39 1.50 0.09 0.02
 19.03.13 23:00 0.12 0.08 0.46 1.53 0.11 0.02
 -------- 00:00 0.15 0.13 0.39 1.52 0.05 0.02
 -------- 01:00 0.08 0.15 0.38 1.47 0.05 0.02
 -------- 02:00 0.06 0.17 0.35 1.47 0.03 0.02
 -------- 03:00 0.06 0.19 0.34 1.47 0.03 0.02
 20.03.13 04:00 0.06 0.10 0.40 1.50 0.04 0.02
 -------- 05:00 0.07 0.04 0.43 1.54 0.06 0.02
 -------- 06:00 0.07 0.05 0.42 1.55 0.07 0.02
 -------- 07:00 0.09 0.06 0.40 1.56 0.07 0.02
 -------- 08:00 0.11 0.06 0.39 1.59 0.11 0.03
 20.03.13 09:00 0.11 0.14 0.33 1.67 0.09 0.03
 -------- 10:00 0.11 0.17 0.32 2.24 0.11 0.05
 -------- 11:00 0.09 0.28 0.25 1.74 0.07 0.05
