 Date Time CO OZ NO2 CHX NO PM10
 26.10.12 00:00 0.04 0.15 0.22 1.47 0.01 0.04
 -------- 01:00 0.05 0.25 0.15 1.46 0.01 0.03
 -------- 02:00 0.07 0.21 0.15 1.46 0.01 0.03
 -------- 03:00 0.04 0.31 0.07 1.44 0.00 0.03
 -------- 04:00 0.04 0.31 0.07 1.45 0.00 0.03
 26.10.12 05:00 0.04 0.25 0.08 1.46 0.00 0.03
 -------- 06:00 0.05 0.19 0.11 1.48 0.01 0.02
 -------- 07:00 0.07 0.10 0.20 1.48 0.02 0.02
 -------- 08:00 0.08 0.04 0.27 1.50 0.06 0.03
 -------- 09:00 0.08 0.07 0.24 1.57 0.04 0.03
 26.10.12 10:00 0.09 0.07 0.25 1.46 0.05 0.03
 -------- 11:00 0.11 0.05 0.26 1.44 0.08 0.03
 -------- 12:00 0.10 0.06 0.26 1.45 0.07 0.03
 -------- 13:00 0.10 0.09 0.27 1.44 0.07 ----
 -------- 14:00 0.09 0.19 0.21 1.40 0.04 ----
 26.10.12 15:00 0.07 0.22 0.20 1.40 0.03 ----
 -------- 16:00 0.10 0.16 0.24 1.43 0.05 ----
 -------- 17:00 0.07 0.18 0.20 1.41 0.03 ----
 -------- 18:00 0.07 0.18 0.23 1.41 0.03 0.04
 -------- 19:00 0.06 0.18 0.23 1.39 0.03 0.04
 26.10.12 20:00 0.08 0.15 0.28 1.40 0.03 0.04
 -------- 21:00 0.08 0.17 0.24 1.40 0.03 0.04
 -------- 22:00 0.08 0.16 0.24 1.40 0.03 0.03
 -------- 23:00 0.07 0.22 0.19 1.39 0.03 0.03
 -------- 00:00 0.06 0.23 0.16 1.38 0.02 0.03
 27.10.12 01:00 0.06 0.31 0.13 1.37 0.02 0.02
 -------- 02:00 0.06 0.35 0.13 1.36 0.02 0.02
 -------- 03:00 0.07 0.31 0.14 1.36 0.02 0.02
 -------- 04:00 0.06 0.33 0.11 1.36 0.02 0.03
 -------- 05:00 0.06 0.34 0.11 1.36 0.02 0.03
 27.10.12 06:00 0.06 0.30 0.13 1.36 0.02 0.03
 -------- 07:00 0.06 0.23 0.19 1.38 0.03 0.03
 -------- 08:00 0.07 0.19 0.22 1.37 0.03 0.03
 -------- 09:00 0.07 0.14 0.24 1.40 0.04 0.04
 -------- 10:00 0.07 0.20 0.18 1.39 0.05 0.04
 27.10.12 11:00 0.06 0.23 0.15 1.39 0.04 0.04
 -------- 12:00 0.06 0.26 0.14 1.39 0.04 0.05
 -------- 13:00 0.06 0.29 0.12 1.38 0.04 0.05
 -------- 14:00 0.06 0.29 0.14 1.39 0.04 0.05
 -------- 15:00 0.06 0.27 0.16 1.40 0.03 0.06
 27.10.12 16:00 0.06 0.24 0.19 1.40 0.03 0.07
 -------- 17:00 0.07 0.15 0.27 1.44 0.04 0.07
 -------- 18:00 0.09 0.12 0.27 1.42 0.04 0.06
 -------- 19:00 0.11 0.04 0.36 1.47 0.07 0.07
 -------- 20:00 0.11 0.02 0.36 1.47 0.09 0.08
 27.10.12 21:00 0.09 0.04 0.33 1.44 0.05 0.07
 -------- 22:00 0.08 0.08 0.30 1.41 0.04 0.06
 -------- 23:00 0.09 0.11 0.28 1.41 0.04 0.05
