 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 28.03.13 23:00 0.27 0.01 0.72 1.89 0.68 0.08 0.06
 -------- 00:00 0.21 0.01 0.68 1.83 0.56 0.07 0.07
 -------- 01:00 0.12 0.01 0.72 1.69 0.38 0.06 0.06
 -------- 02:00 0.17 0.01 0.68 1.81 0.61 0.07 0.08
 -------- 03:00 0.16 0.01 0.69 1.88 0.88 0.07 0.07
 29.03.13 04:00 0.15 0.01 0.62 1.93 0.69 0.09 0.11
 -------- 05:00 0.18 0.01 0.75 1.96 1.29 0.11 0.13
 -------- 06:00 0.32 0.02 0.98 2.21 0.91 0.20 0.28
 -------- 07:00 0.33 0.01 0.79 2.01 0.99 0.13 0.16
 -------- 08:00 0.27 0.02 0.77 1.94 0.57 0.15 0.21
 29.03.13 09:00 0.21 0.03 0.71 1.79 0.45 0.09 0.10
 -------- 10:00 0.18 0.07 0.69 1.76 0.35 0.09 0.10
 -------- 11:00 0.14 0.15 0.61 1.65 0.24 0.12 0.14
 -------- 12:00 0.09 0.30 0.39 1.53 0.10 0.07 0.04
 -------- 13:00 0.19 0.44 0.33 1.72 0.08 0.26 0.39
 29.03.13 14:00 0.09 0.46 0.26 1.67 0.06 0.10 0.13
 -------- 15:00 0.07 0.43 0.30 1.66 0.06 0.08 0.06
 -------- 16:00 0.09 0.52 0.23 1.59 0.04 0.11 0.14
 -------- 17:00 0.11 0.51 0.24 1.53 0.04 0.09 0.10
 -------- 18:00 0.15 0.35 0.49 1.66 0.10 0.14 0.14
 29.03.13 19:00 0.15 0.20 0.58 1.71 0.15 0.15 0.17
 -------- 20:00 0.27 0.09 0.76 2.03 0.20 0.17 0.24
 -------- 21:00 0.55 0.02 0.69 2.29 0.66 0.14 0.13
 -------- 22:00 0.49 0.01 0.86 2.41 1.37 0.23 0.20
 -------- 23:00 0.53 0.01 0.83 2.80 1.67 0.30 0.26
 30.03.13 00:00 0.38 0.01 0.80 2.39 1.09 0.24 0.17
 -------- 01:00 0.31 0.01 0.70 2.34 0.84 0.18 0.16
 -------- 02:00 0.34 0.01 0.74 2.52 1.25 0.23 0.19
 -------- 03:00 0.25 0.01 0.65 2.70 0.60 0.17 0.14
 -------- 04:00 0.23 0.01 0.64 2.94 0.52 0.19 0.17
 30.03.13 05:00 0.25 0.01 0.66 3.12 0.63 0.21 0.18
 -------- 06:00 0.25 0.01 0.64 3.36 0.56 0.18 0.18
 -------- 07:00 0.23 0.01 0.69 3.43 0.59 0.19 0.20
 -------- 08:00 0.21 0.01 0.67 3.28 0.58 0.24 0.19
 -------- 09:00 0.20 0.03 0.65 2.52 0.41 0.22 0.16
 30.03.13 10:00 0.21 0.05 0.64 2.14 0.34 0.15 0.14
 -------- 11:00 0.20 0.12 0.55 1.88 0.21 0.11 0.10
 -------- 12:00 0.12 0.32 0.39 1.67 0.08 0.07 0.06
 -------- 13:00 0.07 0.55 0.24 1.50 0.03 0.05 0.04
 -------- 14:00 0.04 0.78 0.08 1.42 0.01 0.02 0.01
 30.03.13 15:00 0.04 0.73 0.17 1.45 0.02 0.02 0.01
 -------- 16:00 0.04 0.78 0.12 1.45 0.01 0.03 0.02
 -------- 17:00 0.04 0.77 0.14 1.44 0.01 0.05 0.03
 -------- 18:00 0.05 0.70 0.17 1.47 0.01 0.03 0.03
 -------- 19:00 0.05 0.71 0.17 1.42 0.01 0.03 0.03
 30.03.13 20:00 0.06 0.66 0.18 1.45 0.01 0.05 0.05
 -------- 21:00 0.07 0.71 0.16 1.46 0.01 0.04 0.05
 -------- 22:00 0.06 0.76 0.14 1.44 0.01 0.04 0.05
