 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 16.01.13 12:00 0.08 0.06 0.36 1.56 0.12 0.08 0.11
 -------- 13:00 0.08 0.06 0.37 1.61 0.13 0.08 0.11
 -------- 14:00 0.08 0.05 0.37 1.82 0.15 0.08 0.11
 -------- 15:00 0.11 0.03 0.38 1.69 0.12 0.09 0.12
 -------- 16:00 0.10 0.02 0.37 1.82 0.15 0.10 0.14
 16.01.13 17:00 0.10 0.03 0.36 1.82 0.13 0.09 0.11
 -------- 18:00 0.08 0.06 0.30 1.65 0.07 0.08 0.11
 -------- 19:00 0.07 0.05 0.30 1.63 0.07 0.08 0.11
 -------- 20:00 0.07 0.05 0.29 1.64 0.07 0.08 0.11
 -------- 21:00 0.07 0.05 0.27 1.74 0.06 0.09 0.13
 16.01.13 22:00 0.06 0.08 0.26 2.14 0.05 0.08 0.11
 -------- 23:00 0.07 0.08 0.27 2.21 0.06 0.09 0.15
 -------- 00:00 0.06 0.05 0.28 2.13 0.06 0.08 0.12
 -------- 01:00 0.06 0.07 0.25 1.86 0.03 0.07 0.11
 -------- 02:00 0.06 0.08 0.23 1.94 0.02 0.07 0.11
 17.01.13 03:00 0.06 0.10 0.21 1.70 0.03 0.06 0.10
 -------- 04:00 0.04 0.13 0.19 2.05 0.01 0.06 0.09
 -------- 05:00 0.04 0.17 0.16 2.03 0.01 0.07 0.10
 -------- 06:00 0.04 0.19 0.16 1.85 0.02 0.08 0.11
 -------- 07:00 0.05 0.20 0.15 1.82 0.03 0.06 0.10
 17.01.13 08:00 0.06 0.16 0.20 1.65 0.06 0.06 0.10
 -------- 09:00 0.06 0.14 0.21 1.84 0.07 0.06 0.10
 -------- 10:00 0.07 0.17 0.19 1.85 0.04 0.06 0.09
 -------- 11:00 0.08 0.16 0.21 1.92 0.06 0.06 0.09
 -------- 12:00 0.07 0.20 0.17 1.71 0.06 0.06 0.09
 17.01.13 13:00 0.06 0.21 0.16 1.72 0.06 0.07 0.08
 -------- 14:00 0.06 0.20 0.17 1.72 0.06 0.06 0.08
 -------- 15:00 0.07 0.16 0.21 1.49 0.08 0.05 0.07
 -------- 16:00 0.06 0.17 0.19 1.49 0.07 0.05 0.07
 -------- 17:00 0.07 0.16 0.19 1.51 0.07 0.05 0.08
 17.01.13 18:00 0.09 0.16 0.20 1.54 0.05 0.06 0.08
 -------- 19:00 0.07 0.16 0.19 1.60 0.04 0.05 0.08
 -------- 20:00 0.07 0.15 0.21 1.74 0.05 0.05 0.07
 -------- 21:00 0.06 0.16 0.20 1.68 0.04 0.05 0.07
 -------- 22:00 0.06 0.21 0.18 1.86 0.03 0.06 0.08
 17.01.13 23:00 0.05 0.21 0.17 1.91 0.02 0.06 0.08
 -------- 00:00 0.06 0.19 0.19 1.92 0.03 0.06 0.08
 -------- 01:00 0.05 0.19 0.19 1.84 0.02 0.07 0.08
 -------- 02:00 0.04 0.21 0.17 1.78 0.01 0.05 0.08
 -------- 03:00 0.04 0.21 0.17 1.71 0.02 0.05 0.07
 18.01.13 04:00 0.04 0.24 0.13 1.78 0.01 0.06 0.08
 -------- 05:00 0.04 0.26 0.14 1.74 0.01 0.05 0.08
 -------- 06:00 0.04 0.23 0.15 1.88 0.02 0.05 0.08
 -------- 07:00 0.05 0.19 0.18 1.85 0.03 0.06 0.09
 -------- 08:00 0.06 0.15 0.21 1.68 0.05 0.06 0.09
 18.01.13 09:00 0.07 0.13 0.22 1.58 0.05 0.06 0.09
 -------- 10:00 0.07 0.13 0.23 1.59 0.05 0.06 0.09
 -------- 11:00 0.06 0.13 0.23 1.62 0.07 0.06 0.09
