 Date Time CO H2S NO2 CHX NO
 01.02.13 12:00 0.10 ---- 0.12 1.93 0.04
 -------- 13:00 0.11 ---- 0.13 1.89 0.04
 -------- 14:00 0.10 ---- 0.12 1.91 0.04
 -------- 15:00 0.11 ---- 0.11 2.82 0.03
 -------- 16:00 0.13 ---- 0.12 2.42 0.04
 01.02.13 17:00 0.13 ---- 0.13 2.04 0.03
 -------- 18:00 0.11 ---- 0.13 1.98 0.03
 -------- 19:00 0.11 ---- 0.14 1.93 0.03
 -------- 20:00 0.11 ---- 0.14 2.00 0.03
 -------- 21:00 0.11 ---- 0.15 1.97 0.03
 01.02.13 22:00 0.13 ---- 0.15 2.12 0.05
 -------- 23:00 0.11 ---- 0.14 1.93 0.05
 -------- 00:00 0.13 ---- 0.14 2.13 0.06
 -------- 01:00 0.13 ---- 0.14 1.91 0.08
 -------- 02:00 0.13 ---- 0.14 1.84 0.09
 02.02.13 03:00 0.13 ---- 0.15 1.72 0.10
 -------- 04:00 0.13 ---- 0.14 1.75 0.08
 -------- 05:00 0.11 ---- 0.16 1.72 0.12
 -------- 06:00 0.11 ---- 0.15 1.82 0.11
 -------- 07:00 0.16 ---- 0.16 2.55 0.20
 02.02.13 08:00 0.18 ---- 0.18 2.48 0.23
 -------- 09:00 0.14 ---- 0.16 2.18 0.16
 -------- 10:00 0.16 ---- 0.16 2.29 0.16
 -------- 11:00 0.15 ---- 0.16 2.31 0.16
 -------- 12:00 0.17 ---- 0.17 2.28 0.18
 02.02.13 13:00 0.17 ---- 0.16 2.27 0.17
 -------- 14:00 0.15 ---- 0.17 1.97 0.17
 -------- 15:00 0.15 ---- 0.18 2.33 0.15
 -------- 16:00 0.15 ---- 0.19 11.58 0.13
 -------- 17:00 0.17 ---- 0.20 3.38 0.15
 02.02.13 18:00 0.17 ---- 0.19 2.61 0.14
 -------- 19:00 0.16 ---- 0.18 2.25 0.14
 -------- 20:00 0.19 ---- 0.17 2.38 0.15
 -------- 21:00 0.21 ---- 0.17 2.27 0.17
 -------- 22:00 0.23 ---- 0.17 2.58 0.24
 02.02.13 23:00 0.24 ---- 0.17 2.25 0.27
 -------- 00:00 0.17 ---- 0.16 2.35 0.17
 -------- 01:00 0.13 ---- 0.14 2.01 0.09
 -------- 02:00 0.07 ---- 0.12 1.78 0.04
 -------- 03:00 0.06 ---- 0.13 3.20 0.03
 03.02.13 04:00 0.06 ---- 0.10 4.13 0.02
 -------- 05:00 0.05 ---- 0.09 1.88 0.02
 -------- 06:00 0.06 ---- 0.09 1.70 0.01
 -------- 07:00 0.05 ---- 0.09 1.64 0.01
 -------- 08:00 0.06 ---- 0.09 1.61 0.02
 03.02.13 09:00 0.06 ---- 0.08 1.55 0.01
 -------- 10:00 0.06 ---- 0.08 1.57 0.01
 -------- 11:00 0.06 ---- 0.08 1.57 0.01
