 Date Time CO H2S NO2 NO
 18.10.12 00:00 0.06 0.25 0.12 0.04
 -------- 01:00 0.05 0.21 0.12 0.03
 -------- 02:00 0.04 0.25 0.10 0.03
 -------- 03:00 0.05 0.17 0.12 0.05
 -------- 04:00 0.05 0.21 0.13 0.04
 18.10.12 05:00 0.07 0.17 0.12 0.05
 -------- 06:00 0.07 0.25 0.13 0.07
 -------- 07:00 0.13 0.19 0.12 0.10
 -------- 08:00 0.21 0.12 0.13 0.12
 -------- 09:00 0.23 0.25 0.13 0.16
 18.10.12 10:00 0.20 0.25 0.14 0.15
 -------- 11:00 0.21 0.29 0.14 0.16
 -------- 12:00 0.20 0.33 0.14 0.18
 -------- 13:00 0.21 0.21 0.14 0.21
 -------- 14:00 0.22 0.25 0.13 0.23
 18.10.12 15:00 0.19 0.17 0.12 0.18
 -------- 16:00 0.15 0.21 0.11 0.11
 -------- 17:00 0.15 0.17 0.11 0.12
 -------- 18:00 0.19 0.12 0.12 0.14
 -------- 19:00 0.18 0.33 0.12 0.16
 18.10.12 20:00 0.13 0.29 0.16 0.12
 -------- 21:00 0.12 0.29 0.14 0.12
 -------- 22:00 0.18 0.38 0.14 0.22
 -------- 23:00 0.09 0.21 0.12 0.09
 -------- 00:00 0.18 0.33 0.14 0.25
 19.10.12 01:00 0.15 0.17 0.13 0.20
 -------- 02:00 0.13 0.12 0.12 0.17
 -------- 03:00 0.12 0.12 0.13 0.19
 -------- 04:00 0.12 0.25 0.12 0.19
 -------- 05:00 0.12 0.17 0.13 0.24
 19.10.12 06:00 0.13 0.25 0.13 0.25
 -------- 07:00 0.17 0.21 0.13 0.26
 -------- 08:00 0.24 0.38 0.15 0.38
 -------- 09:00 0.28 0.38 0.16 0.39
 -------- 10:00 0.24 0.50 0.16 0.37
 19.10.12 11:00 0.29 0.33 0.18 0.44
 -------- 12:00 0.19 0.46 0.16 0.27
 -------- 13:00 0.22 0.29 0.17 0.27
 -------- 14:00 0.21 0.25 0.17 0.26
 -------- 15:00 0.21 0.21 0.17 0.23
 19.10.12 16:00 0.19 0.25 0.17 0.20
 -------- 17:00 0.18 0.17 0.17 0.18
 -------- 18:00 0.20 0.17 0.18 0.19
 -------- 19:00 0.19 0.12 0.19 0.15
 -------- 20:00 0.17 0.12 0.18 0.15
 19.10.12 21:00 0.18 0.17 0.17 0.17
 -------- 22:00 0.15 0.25 0.16 0.12
 -------- 23:00 0.11 0.12 0.15 0.09
