 Date Time CO H2S NO2 CHX NO
 18.12.12 12:00 0.14 ---- 0.20 2.12 0.20
 -------- 13:00 0.12 ---- 0.17 2.04 0.16
 -------- 14:00 0.09 ---- 0.15 1.97 0.09
 -------- 15:00 0.09 ---- 0.17 2.29 0.12
 -------- 16:00 0.07 ---- 0.17 3.71 0.07
 18.12.12 17:00 0.07 ---- 0.18 2.05 0.05
 -------- 18:00 0.11 ---- 0.18 2.04 0.06
 -------- 19:00 0.10 ---- 0.18 1.97 0.07
 -------- 20:00 0.11 ---- 0.18 2.04 0.07
 -------- 21:00 0.08 ---- 0.17 2.08 0.06
 18.12.12 22:00 0.11 ---- 0.16 2.11 0.05
 -------- 23:00 0.09 ---- 0.17 2.15 0.08
 -------- 00:00 0.10 ---- 0.18 1.84 0.15
 -------- 01:00 0.07 ---- 0.16 1.67 0.09
 -------- 02:00 0.05 ---- 0.14 1.62 0.05
 19.12.12 03:00 0.05 ---- 0.15 1.73 0.06
 -------- 04:00 0.07 ---- 0.16 1.83 0.09
 -------- 05:00 0.08 ---- 0.16 3.10 0.13
 -------- 06:00 0.08 ---- 0.18 2.73 0.24
 -------- 07:00 0.08 ---- 0.17 1.94 0.17
 19.12.12 08:00 0.10 ---- 0.17 2.00 0.15
 -------- 09:00 0.09 ---- 0.17 1.96 0.15
 -------- 10:00 0.08 ---- 0.15 1.82 0.10
 -------- 11:00 0.09 ---- 0.14 1.88 0.06
 -------- 12:00 0.10 ---- 0.13 1.84 0.05
 19.12.12 13:00 0.10 ---- 0.12 1.80 0.04
 -------- 14:00 0.12 ---- 0.15 2.06 0.07
 -------- 15:00 0.11 ---- 0.18 1.93 0.10
 -------- 16:00 0.11 ---- 0.18 1.93 0.08
 -------- 17:00 0.14 ---- 0.21 2.04 0.25
 19.12.12 18:00 0.13 ---- 0.23 2.01 0.36
 -------- 19:00 0.11 ---- 0.22 1.99 0.27
 -------- 20:00 0.08 ---- 0.22 2.08 0.20
 -------- 21:00 0.08 ---- 0.21 2.18 0.18
 -------- 22:00 0.13 ---- 0.22 2.24 0.18
 19.12.12 23:00 0.07 ---- 0.21 2.09 0.15
 -------- 00:00 0.06 ---- 0.21 1.94 0.13
 -------- 01:00 0.06 ---- 0.21 1.91 0.12
 -------- 02:00 0.04 ---- 0.20 1.90 0.08
 -------- 03:00 0.04 ---- 0.20 2.03 0.08
 20.12.12 04:00 0.04 ---- 0.20 2.05 0.07
 -------- 05:00 0.05 ---- 0.20 4.02 0.08
 -------- 06:00 0.06 ---- 0.21 2.40 0.11
 -------- 07:00 0.07 ---- 0.21 2.22 0.14
 -------- 08:00 0.11 ---- 0.22 2.24 0.15
 20.12.12 09:00 0.13 ---- 0.23 2.21 0.20
 -------- 10:00 0.13 ---- 0.23 2.19 0.19
