 Date Time CO H2S NO2 CHX NO
 17.04.13 12:00 0.09 0.50 ---- 1.86 ----
 -------- 13:00 0.08 0.50 ---- 1.75 ----
 -------- 14:00 0.07 0.50 ---- 1.73 ----
 -------- 15:00 0.06 0.50 ---- 1.69 ----
 -------- 16:00 0.07 0.50 ---- 1.67 ----
 17.04.13 17:00 0.07 0.50 ---- 1.69 ----
 -------- 18:00 0.09 0.46 ---- 1.67 ----
 -------- 19:00 0.09 0.46 ---- 1.71 ----
 -------- 20:00 0.17 0.38 ---- 1.74 ----
 -------- 21:00 0.33 0.46 ---- 2.19 ----
 17.04.13 22:00 0.39 0.50 ---- 2.47 ----
 -------- 23:00 0.32 0.58 ---- 5.51 ----
 -------- 00:00 0.27 0.46 ---- 9.12 ----
 -------- 01:00 0.23 0.17 ---- 2.88 ----
 -------- 02:00 0.22 0.21 ---- 2.51 ----
 18.04.13 03:00 0.19 0.12 ---- 2.25 ----
 -------- 04:00 0.11 0.12 ---- 1.85 ----
 -------- 05:00 0.12 0.21 ---- 1.87 ----
 -------- 06:00 0.15 0.25 ---- 2.31 ----
 -------- 07:00 0.22 0.33 ---- 2.42 ----
 18.04.13 08:00 0.17 0.29 ---- 2.07 ----
 -------- 09:00 0.13 0.33 ---- 1.91 ----
 -------- 10:00 0.10 0.17 ---- 1.80 ----
 -------- 11:00 0.08 0.12 ---- 1.71 ----
 -------- 12:00 0.09 0.12 ---- 1.75 ----
 18.04.13 13:00 0.07 0.12 ---- 1.74 ----
 -------- 14:00 0.06 0.12 ---- 1.69 ----
 -------- 15:00 0.05 0.12 ---- 1.58 ----
 -------- 16:00 0.05 0.12 ---- 1.59 ----
 -------- 17:00 0.05 ---- ---- 1.57 ----
 18.04.13 18:00 0.07 0.12 ---- 1.60 ----
 -------- 19:00 0.06 0.12 ---- 1.61 ----
 -------- 20:00 0.05 0.12 ---- 1.63 ----
 -------- 21:00 0.17 0.54 ---- 2.32 ----
 -------- 22:00 0.25 0.25 ---- 2.27 ----
 18.04.13 23:00 0.24 0.12 ---- 2.11 ----
 -------- 00:00 0.42 0.21 ---- 3.24 ----
 -------- 01:00 0.19 0.38 ---- 2.28 ----
 -------- 02:00 0.09 0.25 ---- 2.06 ----
 -------- 03:00 0.08 0.25 ---- 2.00 ----
 19.04.13 04:00 0.06 0.17 ---- 1.81 ----
 -------- 05:00 0.05 0.21 ---- 2.04 ----
 -------- 06:00 0.12 0.21 ---- 3.10 ----
 -------- 07:00 0.13 0.25 ---- 2.47 ----
 -------- 08:00 0.17 0.33 ---- 2.47 ----
 19.04.13 09:00 0.16 0.25 ---- 1.98 ----
 -------- 10:00 0.14 0.12 ---- 1.96 ----
 -------- 11:00 0.15 0.12 ---- 1.92 ----
