 Date Time CO H2S NO2 CHX NO
 13.12.12 10:00 0.08 ---- 0.21 1.84 0.09
 -------- 11:00 0.08 ---- 0.19 1.80 0.08
 -------- 12:00 0.07 ---- 0.18 1.78 0.06
 -------- 13:00 0.08 ---- 0.18 1.87 0.06
 -------- 14:00 0.10 ---- 0.22 3.30 0.14
 13.12.12 15:00 0.10 ---- 0.23 3.06 0.14
 -------- 16:00 0.10 ---- 0.23 1.90 0.14
 -------- 17:00 0.10 ---- 0.22 1.77 0.10
 -------- 18:00 0.13 ---- 0.23 1.83 0.13
 -------- 19:00 0.11 ---- 0.23 1.85 0.17
 13.12.12 20:00 0.11 ---- 0.23 1.93 0.15
 -------- 21:00 0.12 ---- 0.21 1.80 0.15
 -------- 22:00 0.09 ---- 0.20 1.74 0.13
 -------- 23:00 0.08 ---- 0.20 1.81 0.13
 -------- 00:00 0.07 ---- 0.19 1.71 0.09
 14.12.12 01:00 0.09 ---- 0.19 1.72 0.10
 -------- 02:00 0.11 ---- 0.18 1.60 0.08
 -------- 03:00 0.11 ---- 0.18 1.55 0.06
 -------- 04:00 0.11 ---- 0.18 1.54 0.06
 -------- 05:00 0.13 ---- 0.19 1.57 0.08
 14.12.12 06:00 0.12 ---- 0.18 1.65 0.08
 -------- 07:00 0.07 ---- 0.16 1.68 0.04
 -------- 08:00 0.04 ---- 0.17 1.75 0.06
 -------- 09:00 0.04 ---- 0.19 1.79 0.11
 -------- 10:00 0.05 ---- 0.19 1.74 0.13
 14.12.12 11:00 0.04 ---- 0.16 1.70 0.05
 -------- 12:00 0.06 ---- 0.17 1.71 0.06
 -------- 13:00 0.08 ---- 0.19 1.81 0.13
 -------- 14:00 0.07 ---- 0.19 2.69 0.08
 -------- 15:00 0.06 ---- 0.17 3.05 0.04
 14.12.12 16:00 0.07 ---- 0.17 2.02 0.03
 -------- 17:00 0.11 ---- 0.19 1.96 0.08
 -------- 18:00 0.09 ---- 0.23 1.84 0.14
 -------- 19:00 0.09 ---- 0.21 1.92 0.08
 -------- 20:00 0.15 ---- 0.23 2.02 0.12
 14.12.12 21:00 0.11 ---- 0.20 1.94 0.10
 -------- 22:00 0.09 ---- 0.19 1.92 0.05
 -------- 23:00 0.09 ---- 0.20 1.93 0.09
 -------- 00:00 0.10 ---- 0.22 1.82 0.27
 -------- 01:00 0.09 ---- 0.21 1.83 0.22
 15.12.12 02:00 0.07 ---- 0.18 1.73 0.10
 -------- 03:00 0.06 ---- 0.14 1.76 0.02
 -------- 04:00 0.09 ---- 0.15 1.76 0.02
 -------- 05:00 0.09 ---- 0.15 1.75 0.02
 -------- 06:00 0.07 ---- 0.17 1.81 0.03
 15.12.12 07:00 0.13 ---- 0.19 1.95 0.17
 -------- 08:00 0.17 ---- 0.19 1.89 0.24
 -------- 09:00 0.15 ---- 0.19 1.88 0.19
