 Date Time CO NO2 CHX NO
 15.12.12 00:00 0.10 0.22 1.79 0.29
 -------- 01:00 0.09 0.21 1.83 0.22
 -------- 02:00 0.07 0.18 1.73 0.10
 -------- 03:00 0.06 0.14 1.76 0.02
 -------- 04:00 0.09 0.15 1.76 0.02
 15.12.12 05:00 0.09 0.15 1.75 0.02
 -------- 06:00 0.07 0.17 1.81 0.03
 -------- 07:00 0.13 0.19 1.95 0.17
 -------- 08:00 0.17 0.19 1.89 0.24
 -------- 09:00 0.15 0.19 1.88 0.19
 15.12.12 10:00 0.13 0.19 1.92 0.13
 -------- 11:00 0.14 0.19 1.97 0.14
 -------- 12:00 0.16 0.19 1.99 0.19
 -------- 13:00 0.14 0.18 1.98 0.13
 -------- 14:00 0.10 0.17 1.94 0.06
 15.12.12 15:00 0.10 0.18 1.96 0.06
 -------- 16:00 0.10 0.18 1.99 0.06
 -------- 17:00 0.18 0.21 2.84 0.19
 -------- 18:00 0.17 0.21 2.73 0.17
 -------- 19:00 0.21 0.22 2.09 0.25
 15.12.12 20:00 0.17 0.20 1.97 0.23
 -------- 21:00 0.09 0.17 1.79 0.09
 -------- 22:00 0.21 0.16 2.13 0.06
 -------- 23:00 0.09 0.12 1.77 0.01
 -------- 00:00 0.05 0.12 1.66 0.01
 16.12.12 01:00 0.05 0.12 1.71 0.01
 -------- 02:00 0.04 0.12 1.64 0.01
 -------- 03:00 0.04 0.10 1.61 0.01
 -------- 04:00 0.04 0.10 3.16 0.01
 -------- 05:00 0.04 0.13 2.03 0.02
 16.12.12 06:00 0.06 0.15 1.83 0.05
 -------- 07:00 0.07 0.16 1.86 0.08
 -------- 08:00 0.08 0.15 1.83 0.07
 -------- 09:00 0.08 0.14 1.81 0.05
 -------- 10:00 0.08 0.13 1.88 0.03
 16.12.12 11:00 0.08 0.11 1.80 0.02
 -------- 12:00 0.08 0.10 1.86 0.02
 -------- 13:00 0.09 0.11 1.80 0.03
 -------- 14:00 0.11 0.12 1.90 0.03
 -------- 15:00 0.13 0.15 2.03 0.06
 16.12.12 16:00 0.52 0.12 0.72 0.07
 -------- 17:00 0.21 0.19 4.07 0.09
 -------- 18:00 0.21 0.20 2.23 0.09
 -------- 19:00 0.23 0.21 2.22 0.15
 -------- 20:00 0.17 0.21 2.12 0.16
 16.12.12 21:00 0.13 0.19 1.95 0.11
 -------- 22:00 0.14 0.18 1.99 0.08
 -------- 23:00 0.15 0.19 1.95 0.10
