 Date Time CO H2S NO2 CHX NO
 04.01.13 12:00 0.11 ---- 0.16 1.81 0.14
 -------- 13:00 0.11 ---- 0.15 1.68 0.12
 -------- 14:00 0.13 ---- 0.16 1.61 0.13
 -------- 15:00 0.14 ---- 0.17 1.64 0.16
 -------- 16:00 0.15 ---- 0.17 1.62 0.15
 04.01.13 17:00 0.12 ---- 0.16 1.64 0.12
 -------- 18:00 0.11 ---- 0.16 1.62 0.10
 -------- 19:00 0.13 ---- 0.17 1.74 0.14
 -------- 20:00 0.16 ---- 0.17 1.90 0.20
 -------- 21:00 0.17 ---- 0.17 1.91 0.21
 04.01.13 22:00 0.19 ---- 0.16 2.14 0.25
 -------- 23:00 0.14 ---- 0.16 1.84 0.19
 -------- 00:00 0.15 ---- 0.17 1.78 0.19
 -------- 01:00 0.19 ---- 0.17 2.10 0.30
 -------- 02:00 0.27 ---- 0.18 3.06 0.38
 05.01.13 03:00 0.25 ---- 0.17 2.51 0.39
 -------- 04:00 0.13 ---- 0.16 2.17 0.20
 -------- 05:00 0.13 ---- 0.15 1.93 0.22
 -------- 06:00 0.16 ---- 0.17 2.03 0.27
 -------- 07:00 0.09 ---- 0.17 1.99 0.16
 05.01.13 08:00 0.07 ---- 0.16 1.96 0.09
 -------- 09:00 0.07 ---- 0.17 1.83 0.10
 -------- 10:00 0.10 ---- 0.17 1.83 0.15
 -------- 11:00 0.08 ---- 0.14 1.87 0.10
 -------- 12:00 0.08 ---- 0.15 1.90 0.12
 05.01.13 13:00 0.09 ---- 0.14 1.72 0.09
 -------- 14:00 0.07 ---- 0.16 1.68 0.08
 -------- 15:00 0.05 ---- 0.14 1.65 0.06
 -------- 16:00 0.06 ---- 0.14 1.61 0.04
 -------- 17:00 0.06 ---- 0.13 1.62 0.07
 05.01.13 18:00 0.05 ---- 0.14 1.58 0.05
 -------- 19:00 0.05 ---- 0.13 1.55 0.06
 -------- 20:00 0.09 ---- 0.13 1.56 0.06
 -------- 21:00 0.11 ---- 0.14 1.62 0.13
 -------- 22:00 0.09 ---- 0.13 1.62 0.06
 05.01.13 23:00 0.09 ---- 0.13 1.60 0.09
 -------- 00:00 0.08 ---- 0.13 1.57 0.07
 -------- 01:00 0.09 ---- 0.12 1.56 0.07
 -------- 02:00 0.08 ---- 0.13 1.58 0.07
 -------- 03:00 0.07 ---- 0.12 1.57 0.06
 06.01.13 04:00 0.06 ---- 0.11 1.53 0.04
 -------- 05:00 0.06 ---- 0.10 1.50 0.04
 -------- 06:00 0.06 ---- 0.10 1.49 0.05
 -------- 07:00 0.07 ---- 0.11 1.49 0.04
 -------- 08:00 0.08 ---- 0.10 1.51 0.04
 06.01.13 09:00 0.08 ---- 0.10 1.52 0.04
 -------- 10:00 0.09 ---- 0.11 1.54 0.04
 -------- 11:00 0.09 ---- 0.11 1.56 0.07
