 Date Time CO H2S NO2 CHX NO
 30.01.13 00:00 0.08 ---- 0.18 2.24 0.07
 -------- 01:00 0.06 ---- 0.14 1.85 0.04
 -------- 02:00 0.04 ---- 0.14 1.73 0.01
 -------- 03:00 0.05 ---- 0.15 1.83 0.02
 -------- 04:00 0.05 ---- 0.12 1.71 0.01
 30.01.13 05:00 0.04 ---- 0.12 1.73 0.01
 -------- 06:00 0.07 ---- 0.12 1.90 0.01
 -------- 07:00 0.11 ---- 0.12 1.88 0.01
 -------- 08:00 0.09 ---- 0.13 2.11 0.03
 -------- 09:00 0.09 ---- 0.13 1.94 0.03
 30.01.13 10:00 0.09 ---- 0.12 2.02 0.03
 -------- 11:00 0.09 ---- 0.13 1.95 0.04
 -------- 12:00 0.09 ---- 0.13 1.98 0.05
 -------- 13:00 0.11 ---- 0.14 2.22 0.07
 -------- 14:00 0.10 ---- 0.15 2.67 0.06
 30.01.13 15:00 0.09 ---- 0.16 3.44 0.08
 -------- 16:00 0.09 ---- 0.15 2.09 0.05
 -------- 17:00 0.11 ---- 0.17 2.20 0.08
 -------- 18:00 0.16 ---- 0.17 2.12 0.07
 -------- 19:00 0.15 ---- 0.18 2.18 0.07
 30.01.13 20:00 0.12 ---- 0.16 2.09 0.04
 -------- 21:00 0.09 ---- 0.13 2.02 0.02
 -------- 22:00 0.09 ---- 0.14 1.89 0.02
 -------- 23:00 0.08 ---- 0.13 1.84 0.01
 -------- 00:00 0.08 ---- 0.14 1.77 0.02
 31.01.13 01:00 0.07 ---- 0.13 1.80 0.02
 -------- 02:00 0.06 ---- 0.10 1.64 0.01
 -------- 03:00 0.06 ---- 0.09 1.62 0.01
 -------- 04:00 0.06 ---- 0.09 1.62 0.00
 -------- 05:00 0.06 ---- 0.10 1.62 0.00
 31.01.13 06:00 0.06 ---- 0.10 1.71 0.01
 -------- 07:00 0.07 ---- 0.10 1.76 0.01
 -------- 08:00 0.08 ---- 0.12 1.85 0.01
 -------- 09:00 0.08 ---- 0.13 1.85 0.02
 -------- 10:00 0.08 ---- 0.12 1.81 0.02
 31.01.13 11:00 0.08 ---- 0.12 1.85 0.03
 -------- 12:00 0.08 ---- 0.13 1.84 0.04
 -------- 13:00 0.08 ---- 0.12 1.90 0.03
 -------- 14:00 0.08 ---- 0.13 4.71 0.03
 -------- 15:00 0.08 ---- 0.13 3.43 0.02
 31.01.13 16:00 0.08 ---- 0.14 2.06 0.04
 -------- 17:00 0.10 ---- 0.14 2.01 0.04
 -------- 18:00 0.09 ---- 0.13 1.99 0.02
 -------- 19:00 0.10 ---- 0.12 2.02 0.02
 -------- 20:00 0.08 ---- 0.11 1.92 0.01
 31.01.13 21:00 0.08 ---- 0.11 1.88 0.01
 -------- 22:00 0.07 ---- 0.11 1.77 0.02
 -------- 23:00 0.07 ---- 0.10 1.76 0.01
