 Date Time CO H2S NO2 CHX NO
 07.02.13 00:00 0.13 ---- 0.17 1.87 0.08
 -------- 01:00 0.08 ---- 0.16 1.82 0.06
 -------- 02:00 0.06 ---- 0.14 1.63 0.04
 -------- 03:00 0.05 ---- 0.12 1.63 0.03
 -------- 04:00 0.04 ---- 0.10 1.57 0.02
 07.02.13 05:00 0.04 ---- 0.09 1.55 0.01
 -------- 06:00 0.05 ---- 0.10 1.71 0.02
 -------- 07:00 0.05 ---- 0.09 1.63 0.02
 -------- 08:00 0.10 ---- 0.11 1.79 0.03
 -------- 09:00 0.10 ---- 0.12 1.96 0.03
 07.02.13 10:00 0.09 ---- 0.11 1.77 0.03
 -------- 11:00 0.09 ---- 0.12 1.75 0.03
 -------- 12:00 0.09 ---- 0.13 1.82 0.05
 -------- 13:00 0.11 ---- 0.13 2.02 0.06
 -------- 14:00 0.11 ---- 0.15 4.35 0.07
 07.02.13 15:00 0.09 ---- 0.13 3.30 0.05
 -------- 16:00 0.09 ---- 0.11 1.89 0.03
 -------- 17:00 0.07 ---- 0.10 1.71 0.02
 -------- 18:00 0.09 ---- 0.10 1.78 0.03
 -------- 19:00 0.07 ---- 0.11 1.83 0.03
 07.02.13 20:00 0.06 ---- 0.09 1.67 0.02
 -------- 21:00 0.07 ---- 0.09 1.79 0.02
 -------- 22:00 0.06 ---- 0.09 1.75 0.02
 -------- 23:00 0.05 ---- 0.07 1.72 0.01
 -------- 00:00 0.04 ---- 0.06 1.60 0.01
 08.02.13 01:00 0.02 ---- 0.07 1.87 0.01
 -------- 02:00 0.02 ---- 0.06 1.58 0.01
 -------- 03:00 0.02 ---- 0.06 2.56 0.01
 -------- 04:00 0.02 ---- 0.05 1.87 0.01
 -------- 05:00 0.02 ---- 0.06 1.55 0.01
 08.02.13 06:00 0.03 ---- 0.07 1.56 0.01
 -------- 07:00 0.03 ---- 0.07 1.55 0.01
 -------- 08:00 0.04 ---- 0.08 1.67 0.02
 -------- 09:00 0.04 ---- 0.09 1.66 0.01
 -------- 10:00 0.04 ---- 0.08 1.70 0.01
 08.02.13 11:00 0.04 ---- 0.08 1.67 0.01
 -------- 12:00 0.04 ---- 0.09 1.63 0.02
 -------- 13:00 0.04 ---- 0.09 1.72 0.02
 -------- 14:00 0.05 ---- 0.09 1.77 0.02
 -------- 15:00 0.05 ---- 0.10 2.81 0.02
 08.02.13 16:00 0.06 ---- 0.15 2.96 0.07
 -------- 17:00 0.10 ---- 0.16 2.17 0.11
 -------- 18:00 0.07 ---- 0.16 2.09 0.10
 -------- 19:00 0.05 ---- 0.17 1.99 0.12
 -------- 20:00 0.03 ---- 0.14 1.82 0.06
 08.02.13 21:00 0.04 ---- 0.10 1.72 0.02
 -------- 22:00 0.02 ---- 0.10 1.69 0.02
 -------- 23:00 0.02 ---- 0.09 1.66 0.01
