 Date Time CO SO2 H2S NO2 CHX NO
 01.03.13 00:00 0.06 0.00 0.12 0.18 1.55 0.05
 -------- 01:00 0.06 0.00 0.50 0.18 1.60 0.05
 -------- 02:00 0.05 0.00 0.33 0.18 1.59 0.05
 -------- 03:00 0.04 0.01 0.42 0.16 1.58 0.04
 -------- 04:00 0.04 0.00 0.25 0.15 1.52 0.04
 01.03.13 05:00 0.04 0.00 0.38 0.16 1.60 0.04
 -------- 06:00 0.09 0.01 0.29 0.21 1.77 0.11
 -------- 07:00 0.08 0.01 0.25 0.21 1.69 0.11
 -------- 08:00 0.09 0.01 0.25 0.20 1.80 0.09
 -------- 09:00 0.11 0.01 0.29 0.21 1.70 0.11
 01.03.13 10:00 0.15 0.01 0.29 0.21 1.71 0.13
 -------- 11:00 0.11 0.01 0.29 0.20 1.63 0.11
 -------- 12:00 0.07 0.01 0.42 0.18 1.61 0.08
 -------- 13:00 0.07 0.01 0.38 0.18 1.66 0.07
 -------- 14:00 0.08 0.01 0.38 0.19 1.68 0.08
 01.03.13 15:00 0.09 0.01 0.38 0.19 1.79 0.08
 -------- 16:00 0.10 0.01 0.38 0.19 1.74 0.08
 -------- 17:00 0.06 0.01 0.38 0.18 1.59 0.05
 -------- 18:00 0.06 0.01 0.42 0.17 1.57 0.05
 -------- 19:00 0.06 0.01 0.50 0.17 1.57 0.04
 01.03.13 20:00 0.06 0.01 0.46 0.18 1.54 0.05
 -------- 21:00 0.06 0.01 0.29 0.16 1.48 0.04
 -------- 22:00 0.07 0.01 0.25 0.18 1.52 0.06
 -------- 23:00 0.08 0.01 0.25 0.18 1.50 0.08
 -------- 00:00 0.09 0.00 0.21 0.18 1.54 0.09
 02.03.13 01:00 0.07 0.00 0.21 0.14 1.55 0.07
 -------- 02:00 0.07 0.00 0.21 0.14 1.53 0.06
 -------- 03:00 0.04 0.00 0.12 0.12 1.49 0.03
 -------- 04:00 0.04 0.00 0.12 0.12 1.48 0.03
 -------- 05:00 0.05 0.00 0.12 0.13 1.48 0.03
 02.03.13 06:00 0.05 0.00 0.12 0.13 1.49 0.04
 -------- 07:00 0.08 0.00 ---- 0.15 1.50 0.05
 -------- 08:00 0.09 ---- ---- 0.15 1.51 0.05
 -------- 09:00 0.09 ---- ---- 0.15 1.51 0.04
 -------- 10:00 0.08 ---- ---- 0.15 1.50 0.04
 02.03.13 11:00 0.09 ---- ---- 0.15 1.51 0.05
 -------- 12:00 0.08 ---- ---- 0.15 1.52 0.06
 -------- 13:00 0.10 ---- ---- 0.16 1.54 0.07
 -------- 14:00 0.11 ---- ---- 0.16 1.55 0.06
 -------- 15:00 0.08 ---- ---- 0.14 1.50 0.03
 02.03.13 16:00 0.07 ---- ---- 0.13 1.49 0.02
 -------- 17:00 0.10 ---- ---- 0.18 1.52 0.05
 -------- 18:00 0.09 ---- ---- 0.16 1.51 0.03
 -------- 19:00 0.07 ---- ---- 0.17 1.52 0.03
 -------- 20:00 0.09 ---- ---- 0.19 1.55 0.05
 02.03.13 21:00 0.15 ---- ---- 0.26 1.62 0.11
 -------- 22:00 0.13 ---- ---- 0.25 1.61 0.11
 -------- 23:00 0.11 ---- ---- 0.22 1.60 0.06
