 Date Time CO H2S NO2 NO
 26.09.12 12:00 0.08 0.12 0.16 0.13
 -------- 13:00 0.07 0.12 0.19 0.14
 -------- 14:00 0.08 0.12 0.19 0.14
 -------- 15:00 0.08 0.12 0.19 0.13
 -------- 16:00 0.07 0.12 0.19 0.13
 26.09.12 17:00 0.09 0.17 0.19 0.14
 -------- 18:00 0.11 0.21 0.19 0.13
 -------- 19:00 0.14 0.17 0.21 0.19
 -------- 20:00 0.17 0.12 0.19 0.15
 -------- 21:00 0.15 0.12 0.17 0.10
 26.09.12 22:00 0.15 0.12 0.16 0.11
 -------- 23:00 0.17 0.12 0.18 0.16
 -------- 00:00 0.17 0.12 0.18 0.14
 -------- 01:00 0.56 0.33 0.20 0.62
 -------- 02:00 0.43 0.29 0.15 0.48
 27.09.12 03:00 0.55 0.25 0.17 0.67
 -------- 04:00 0.61 0.46 0.17 0.80
 -------- 05:00 0.43 0.33 0.14 0.67
 -------- 06:00 0.53 0.54 0.16 0.71
 -------- 07:00 0.63 0.75 0.21 0.98
 27.09.12 08:00 0.40 0.62 0.16 0.59
 -------- 09:00 0.17 0.25 0.14 0.21
 -------- 10:00 0.11 0.12 0.13 0.12
 -------- 11:00 0.09 0.12 0.13 0.09
 -------- 12:00 0.05 0.12 0.10 0.05
 27.09.12 13:00 0.07 0.12 0.14 0.07
 -------- 14:00 0.04 0.17 0.12 0.04
 -------- 15:00 0.04 0.12 0.11 0.03
 -------- 16:00 0.04 ---- 0.12 0.03
 -------- 17:00 0.05 0.12 0.13 0.02
 27.09.12 18:00 0.07 0.12 0.17 0.04
 -------- 19:00 0.06 0.12 0.17 0.03
 -------- 20:00 0.08 0.12 0.15 0.03
 -------- 21:00 0.08 0.17 0.13 0.02
 -------- 22:00 0.09 0.17 0.14 0.02
 27.09.12 23:00 0.08 0.17 0.15 0.02
 -------- 00:00 0.08 0.25 0.15 0.02
 -------- 01:00 0.07 0.19 0.15 0.02
 -------- 02:00 0.07 0.12 0.13 0.02
 -------- 03:00 0.06 0.12 0.12 0.02
 28.09.12 04:00 0.05 0.12 0.11 0.01
 -------- 05:00 0.05 0.12 0.13 0.02
 -------- 06:00 0.07 0.12 0.17 0.03
 -------- 07:00 0.09 0.12 0.18 0.04
 -------- 08:00 0.15 0.12 0.19 0.06
 28.09.12 09:00 0.17 0.12 0.21 0.07
 -------- 10:00 0.18 0.12 0.22 0.09
 -------- 11:00 0.19 0.12 0.23 0.09
