 Date Time CO H2S NO2 CHX NO
 14.02.13 00:00 0.12 ---- 0.21 1.83 0.09
 -------- 01:00 0.12 ---- 0.20 1.90 0.09
 -------- 02:00 0.09 ---- 0.19 1.93 0.06
 -------- 03:00 0.08 ---- 0.18 1.80 0.04
 -------- 04:00 0.08 ---- 0.19 1.77 0.06
 14.02.13 05:00 0.09 ---- 0.19 1.68 0.05
 -------- 06:00 0.11 ---- 0.20 1.70 0.10
 -------- 07:00 0.10 ---- 0.19 1.68 0.12
 -------- 08:00 0.09 ---- 0.18 1.67 0.07
 -------- 09:00 0.09 ---- 0.18 1.66 0.07
 14.02.13 10:00 0.12 ---- 0.19 1.71 0.13
 -------- 11:00 0.13 ---- 0.21 1.80 0.15
 -------- 12:00 0.11 ---- 0.19 1.77 0.11
 -------- 13:00 0.08 ---- 0.18 1.61 0.08
 -------- 14:00 0.07 ---- 0.19 1.60 0.07
 14.02.13 15:00 0.09 ---- 0.23 1.78 0.11
 -------- 16:00 0.09 ---- 0.23 2.36 0.10
 -------- 17:00 0.08 ---- 0.21 2.12 0.06
 -------- 18:00 0.16 ---- 0.24 1.92 0.12
 -------- 19:00 0.14 ---- 0.24 1.90 0.13
 14.02.13 20:00 0.16 ---- 0.25 1.86 0.16
 -------- 21:00 0.11 ---- 0.22 1.87 0.07
 -------- 22:00 0.13 ---- 0.23 2.02 0.07
 -------- 23:00 0.09 ---- 0.20 2.04 0.04
 -------- 00:00 0.08 ---- 0.20 2.08 0.03
 15.02.13 01:00 0.07 ---- 0.20 1.89 0.02
 -------- 02:00 0.08 ---- 0.20 1.99 0.02
 -------- 03:00 0.14 ---- 0.19 1.91 0.02
 -------- 04:00 0.07 ---- 0.19 1.88 0.02
 -------- 05:00 0.08 ---- 0.19 1.97 0.03
 15.02.13 06:00 0.07 ---- 0.19 1.90 0.04
 -------- 07:00 0.09 ---- 0.21 2.42 0.09
 -------- 08:00 0.09 ---- 0.21 2.14 0.05
 -------- 09:00 0.10 ---- 0.22 2.38 0.11
 -------- 10:00 0.11 ---- 0.22 2.34 0.13
 15.02.13 11:00 0.09 ---- 0.22 2.14 0.12
 -------- 12:00 0.10 ---- 0.23 2.13 0.17
 -------- 13:00 0.10 ---- 0.23 1.93 0.16
 -------- 14:00 0.09 ---- 0.24 1.91 0.13
 -------- 15:00 0.11 ---- 0.25 3.66 0.13
 15.02.13 16:00 0.09 ---- 0.27 2.03 0.13
 -------- 17:00 0.09 ---- 0.25 1.96 0.10
 -------- 18:00 0.09 ---- 0.26 1.94 0.10
 -------- 19:00 0.12 ---- 0.25 2.06 0.08
 -------- 20:00 0.15 ---- 0.26 2.21 0.10
 15.02.13 21:00 0.14 ---- 0.26 2.12 0.07
 -------- 22:00 0.15 ---- 0.26 2.22 0.07
 -------- 23:00 0.15 ---- 0.25 2.13 0.09
