 Date Time CO H2S NO2 CHX NO
 20.03.13 00:00 0.09 0.12 0.20 1.56 0.05
 -------- 01:00 0.08 0.12 0.17 1.54 0.02
 -------- 02:00 0.08 0.12 0.20 1.55 0.03
 -------- 03:00 0.07 0.12 0.19 1.54 0.02
 -------- 04:00 0.07 0.12 0.19 1.55 0.01
 20.03.13 05:00 0.08 0.12 0.24 1.56 0.04
 -------- 06:00 0.09 0.12 0.26 1.66 0.07
 -------- 07:00 0.08 0.12 0.26 1.62 0.07
 -------- 08:00 0.09 0.12 0.25 1.68 0.09
 -------- 09:00 0.13 0.12 0.27 2.00 0.15
 20.03.13 10:00 0.11 0.12 0.27 1.98 0.16
 -------- 11:00 0.09 0.21 0.26 1.75 0.13
 -------- 12:00 0.09 0.25 0.23 1.91 0.11
 -------- 13:00 0.07 0.25 0.22 1.95 0.08
 -------- 14:00 0.06 0.29 0.21 2.21 0.07
 20.03.13 15:00 0.06 0.38 0.20 3.03 0.05
 -------- 16:00 0.05 0.38 0.20 2.36 0.05
 -------- 17:00 0.05 0.38 0.23 1.60 0.03
 -------- 18:00 0.05 0.38 0.27 1.57 0.02
 -------- 19:00 0.05 0.38 0.30 1.55 0.03
 20.03.13 20:00 0.06 0.38 0.30 1.56 0.03
 -------- 21:00 0.05 0.38 0.28 1.57 0.02
 -------- 22:00 0.06 0.38 0.29 1.55 0.03
 -------- 23:00 0.07 0.38 0.29 1.56 0.04
 -------- 00:00 0.05 0.25 0.27 1.53 0.03
 21.03.13 01:00 0.06 0.12 0.28 1.56 0.04
 -------- 02:00 0.05 0.12 0.26 1.55 0.03
 -------- 03:00 0.05 0.12 0.26 1.57 0.04
 -------- 04:00 0.05 0.12 0.27 1.59 0.05
 -------- 05:00 0.09 0.12 0.30 1.57 0.08
 21.03.13 06:00 0.11 0.12 0.31 1.59 0.09
 -------- 07:00 0.07 0.12 0.32 1.58 0.09
 -------- 08:00 0.08 0.12 0.33 1.61 0.10
 -------- 09:00 0.10 0.12 0.34 1.62 0.11
 -------- 10:00 0.08 0.12 0.33 1.60 0.12
 21.03.13 11:00 0.08 0.12 0.34 1.62 0.12
 -------- 12:00 0.09 0.12 0.35 1.64 0.14
 -------- 13:00 0.08 0.21 0.35 1.61 0.12
 -------- 14:00 0.09 0.25 0.36 1.66 0.11
 -------- 15:00 0.08 0.38 0.36 1.64 0.12
 21.03.13 16:00 0.07 0.38 0.37 1.61 0.10
 -------- 17:00 0.08 0.38 0.36 1.59 0.09
 -------- 18:00 0.09 0.38 0.36 1.60 0.09
 -------- 19:00 0.09 0.38 0.36 1.62 0.08
 -------- 20:00 0.09 0.29 0.34 1.57 0.06
 21.03.13 21:00 0.09 0.21 0.34 1.55 0.06
 -------- 22:00 0.08 0.12 0.36 1.53 0.06
 -------- 23:00 0.09 0.12 0.36 1.53 0.06
