 Date Time CO H2S NO2 CHX NO
 22.11.12 00:00 0.09 0.38 0.16 1.59 0.16
 -------- 01:00 0.06 0.50 0.15 1.60 0.09
 -------- 02:00 0.04 0.54 0.14 1.57 0.09
 -------- 03:00 0.04 0.33 0.14 1.60 0.09
 -------- 04:00 0.04 0.38 0.14 1.63 0.10
 22.11.12 05:00 0.04 0.50 0.14 1.63 0.10
 -------- 06:00 0.08 0.29 0.13 1.63 0.16
 -------- 07:00 0.12 0.38 0.15 1.64 0.20
 -------- 08:00 0.17 0.38 0.14 1.71 0.21
 -------- 09:00 0.24 0.21 0.16 2.14 0.31
 22.11.12 10:00 0.25 0.38 0.17 2.16 0.33
 -------- 11:00 0.23 0.33 0.18 1.93 0.32
 -------- 12:00 0.24 0.38 0.19 1.97 0.29
 -------- 13:00 0.22 0.38 0.21 1.84 0.26
 -------- 14:00 0.21 0.38 0.22 1.88 0.20
 22.11.12 15:00 0.19 0.29 0.22 3.54 0.18
 -------- 16:00 0.17 0.46 0.22 2.02 0.16
 -------- 17:00 0.18 0.25 0.21 1.83 0.13
 -------- 18:00 0.15 0.17 0.20 1.76 0.09
 -------- 19:00 0.16 0.21 0.21 1.81 0.10
 22.11.12 20:00 0.17 0.25 0.20 1.85 0.10
 -------- 21:00 0.17 0.17 0.20 1.80 0.10
 -------- 22:00 0.19 0.12 0.19 1.72 0.09
 -------- 23:00 0.19 0.12 0.21 1.89 0.14
 -------- 00:00 0.17 0.25 0.19 3.04 0.10
 23.11.12 01:00 0.13 0.17 0.19 7.23 0.08
 -------- 02:00 0.11 0.17 0.16 2.21 0.06
 -------- 03:00 0.09 0.12 0.15 1.74 0.05
 -------- 04:00 0.09 0.25 0.12 1.63 0.03
 -------- 05:00 0.09 0.17 0.11 1.58 0.04
 23.11.12 06:00 0.12 0.25 0.14 1.63 0.07
 -------- 07:00 0.10 0.17 0.14 1.62 0.07
 -------- 08:00 0.10 0.12 0.15 1.74 0.10
 -------- 09:00 0.11 0.17 0.17 1.76 0.13
 -------- 10:00 0.11 0.12 0.16 1.79 0.13
 23.11.12 11:00 0.11 0.12 0.16 1.77 0.13
 -------- 12:00 0.11 0.21 0.15 1.77 0.12
 -------- 13:00 0.11 0.19 0.15 1.82 0.13
 -------- 14:00 0.13 0.12 0.17 2.16 0.14
 -------- 15:00 0.16 0.19 0.19 7.97 0.18
 23.11.12 16:00 0.17 0.29 0.19 3.10 0.21
 -------- 17:00 0.19 0.25 0.19 2.27 0.20
 -------- 18:00 0.20 0.38 0.19 2.28 0.22
 -------- 19:00 0.19 0.29 0.18 2.20 0.18
 -------- 20:00 0.20 0.25 0.18 2.07 0.16
 23.11.12 21:00 0.19 0.21 0.18 2.01 0.17
 -------- 22:00 0.17 0.25 0.18 2.02 0.17
 -------- 23:00 0.18 0.25 0.18 1.97 0.21
