 Date Time CO H2S NO2 CHX NO
 19.12.12 00:00 0.09 ---- 0.17 1.80 0.14
 -------- 01:00 0.07 ---- 0.16 1.67 0.09
 -------- 02:00 0.05 ---- 0.14 1.62 0.05
 -------- 03:00 0.05 ---- 0.15 1.73 0.06
 -------- 04:00 0.07 ---- 0.16 1.83 0.09
 19.12.12 05:00 0.08 ---- 0.16 3.10 0.13
 -------- 06:00 0.08 ---- 0.18 2.73 0.24
 -------- 07:00 0.08 ---- 0.17 1.94 0.17
 -------- 08:00 0.10 ---- 0.17 2.00 0.15
 -------- 09:00 0.09 ---- 0.17 1.96 0.15
 19.12.12 10:00 0.08 ---- 0.15 1.82 0.10
 -------- 11:00 0.09 ---- 0.14 1.88 0.06
 -------- 12:00 0.10 ---- 0.13 1.84 0.05
 -------- 13:00 0.10 ---- 0.12 1.80 0.04
 -------- 14:00 0.12 ---- 0.15 2.06 0.07
 19.12.12 15:00 0.11 ---- 0.18 1.93 0.10
 -------- 16:00 0.11 ---- 0.18 1.93 0.08
 -------- 17:00 0.14 ---- 0.21 2.04 0.25
 -------- 18:00 0.13 ---- 0.23 2.01 0.36
 -------- 19:00 0.11 ---- 0.22 1.99 0.27
 19.12.12 20:00 0.08 ---- 0.22 2.08 0.20
 -------- 21:00 0.08 ---- 0.21 2.18 0.18
 -------- 22:00 0.13 ---- 0.22 2.24 0.18
 -------- 23:00 0.07 ---- 0.21 2.09 0.15
 -------- 00:00 0.06 ---- 0.21 1.94 0.13
 20.12.12 01:00 0.06 ---- 0.21 1.91 0.12
 -------- 02:00 0.04 ---- 0.20 1.90 0.08
 -------- 03:00 0.04 ---- 0.20 2.03 0.08
 -------- 04:00 0.04 ---- 0.20 2.05 0.07
 -------- 05:00 0.05 ---- 0.20 4.02 0.08
 20.12.12 06:00 0.06 ---- 0.21 2.40 0.11
 -------- 07:00 0.07 ---- 0.21 2.22 0.14
 -------- 08:00 0.11 ---- 0.22 2.24 0.15
 -------- 09:00 0.13 ---- 0.23 2.21 0.20
 -------- 10:00 0.13 ---- 0.23 2.17 0.19
 20.12.12 11:00 0.13 ---- 0.26 2.17 0.21
 -------- 12:00 0.14 ---- 0.24 2.24 0.21
 -------- 13:00 0.11 ---- 0.23 2.09 0.16
 -------- 14:00 0.12 ---- 0.21 2.06 0.13
 -------- 15:00 0.14 ---- 0.23 2.19 0.17
 20.12.12 16:00 0.17 ---- 0.24 2.23 0.22
 -------- 17:00 0.19 ---- 0.24 2.13 0.22
 -------- 18:00 0.21 ---- 0.22 2.29 0.20
 -------- 19:00 0.13 ---- 0.21 2.32 0.10
 -------- 20:00 0.13 ---- 0.19 2.20 0.08
 20.12.12 21:00 0.11 ---- 0.18 2.06 0.08
 -------- 22:00 0.10 ---- 0.18 2.03 0.06
 -------- 23:00 0.10 ---- 0.18 2.67 0.06
