 Date Time CO H2S NO2 CHX NO
 03.03.13 12:00 0.10 0.31 0.18 1.87 0.04
 -------- 13:00 0.11 0.29 0.15 1.83 0.03
 -------- 14:00 0.08 0.25 0.12 1.90 0.02
 -------- 15:00 0.09 0.33 0.17 2.95 0.03
 -------- 16:00 0.08 0.62 0.16 2.54 0.02
 03.03.13 17:00 0.09 0.67 0.14 1.87 0.01
 -------- 18:00 0.09 0.83 0.16 1.86 0.01
 -------- 19:00 0.08 0.75 0.12 1.81 0.01
 -------- 20:00 0.06 0.67 0.11 1.84 0.00
 -------- 21:00 0.07 0.38 0.12 1.70 0.01
 03.03.13 22:00 0.06 0.25 0.11 1.57 0.00
 -------- 23:00 0.06 0.25 0.09 1.54 0.00
 -------- 00:00 0.06 0.17 0.09 2.55 0.01
 -------- 01:00 0.06 0.33 0.13 2.91 0.02
 -------- 02:00 0.06 0.17 0.16 1.68 0.02
 04.03.13 03:00 0.06 0.12 0.15 1.60 0.02
 -------- 04:00 0.06 0.12 0.13 1.60 0.02
 -------- 05:00 0.06 0.12 0.14 1.55 0.03
 -------- 06:00 0.09 0.12 0.18 1.58 0.05
 -------- 07:00 0.09 0.12 0.20 1.65 0.05
 04.03.13 08:00 0.09 0.12 0.21 1.68 0.06
 -------- 09:00 0.10 0.12 0.19 1.62 0.04
 -------- 10:00 0.09 0.12 0.20 1.61 0.06
 -------- 11:00 0.08 0.12 0.19 1.70 0.06
 -------- 12:00 0.09 0.12 0.17 1.72 0.05
 04.03.13 13:00 0.07 0.12 0.15 1.56 0.03
 -------- 14:00 0.07 0.12 0.14 1.55 0.03
 -------- 15:00 0.04 0.12 0.11 1.54 0.02
 -------- 16:00 0.05 0.12 0.12 1.51 0.02
 -------- 17:00 0.06 0.21 0.13 1.50 0.02
 04.03.13 18:00 0.10 0.25 0.14 1.54 0.02
 -------- 19:00 0.07 0.21 0.14 1.51 0.02
 -------- 20:00 0.07 0.12 0.16 1.53 0.02
 -------- 21:00 0.07 0.12 0.15 1.53 0.02
 -------- 22:00 0.07 ---- 0.15 1.53 0.01
 04.03.13 23:00 0.09 0.12 0.17 1.56 0.03
 -------- 00:00 0.08 0.12 0.18 1.56 0.03
 -------- 01:00 0.06 0.17 0.15 1.54 0.01
 -------- 02:00 0.05 0.12 0.14 1.53 0.02
 -------- 03:00 0.07 0.17 0.22 1.59 0.06
 05.03.13 04:00 0.06 0.17 0.23 1.57 0.07
 -------- 05:00 0.07 0.21 0.25 1.62 0.12
 -------- 06:00 0.10 0.25 0.26 1.66 0.17
 -------- 07:00 0.11 0.25 0.26 1.66 0.15
 -------- 08:00 0.15 0.25 0.26 1.75 0.16
 05.03.13 09:00 0.19 0.33 0.29 1.95 0.24
 -------- 10:00 0.20 0.38 0.31 1.99 0.29
 -------- 11:00 0.15 0.25 0.26 1.80 0.14
