 Date Time CO H2S NO2 CHX NO
 03.12.12 12:00 0.08 ---- 0.13 1.71 0.07
 -------- 13:00 0.08 ---- 0.13 1.74 0.05
 -------- 14:00 0.07 ---- 0.12 1.65 0.04
 -------- 15:00 0.07 ---- 0.13 2.85 0.05
 -------- 16:00 0.08 ---- 0.13 2.81 0.05
 03.12.12 17:00 0.08 ---- 0.12 1.77 0.05
 -------- 18:00 0.08 ---- 0.12 1.68 0.03
 -------- 19:00 0.08 ---- 0.11 1.69 0.02
 -------- 20:00 0.11 ---- 0.12 1.74 0.04
 -------- 21:00 0.10 ---- 0.12 1.71 0.04
 03.12.12 22:00 0.12 ---- 0.14 1.75 0.09
 -------- 23:00 0.12 ---- 0.13 1.72 0.08
 -------- 00:00 0.09 ---- 0.12 1.64 0.07
 -------- 01:00 0.06 ---- 0.09 1.62 0.02
 -------- 02:00 0.07 ---- 0.10 1.55 0.04
 04.12.12 03:00 0.06 ---- 0.08 1.61 0.02
 -------- 04:00 0.06 ---- 0.09 1.64 0.02
 -------- 05:00 0.07 ---- 0.12 1.59 0.06
 -------- 06:00 0.08 ---- 0.12 1.61 0.04
 -------- 07:00 0.07 ---- 0.09 1.62 0.03
 04.12.12 08:00 0.06 ---- 0.09 1.60 0.03
 -------- 09:00 0.06 ---- 0.09 1.76 0.03
 -------- 10:00 0.08 ---- 0.09 1.72 0.03
 -------- 11:00 0.09 ---- 0.10 1.94 0.05
 -------- 12:00 0.09 ---- 0.10 2.46 0.07
 04.12.12 13:00 0.09 ---- 0.10 2.65 0.08
 -------- 14:00 0.08 ---- 0.09 1.93 0.04
 -------- 15:00 0.10 ---- 0.09 2.00 0.06
 -------- 16:00 0.13 ---- 0.09 2.14 0.11
 -------- 17:00 0.16 ---- 0.09 2.16 0.19
 04.12.12 18:00 0.11 ---- 0.10 1.73 0.13
 -------- 19:00 0.09 ---- 0.10 1.64 0.06
 -------- 20:00 0.09 ---- 0.10 1.58 0.05
 -------- 21:00 0.08 ---- 0.08 1.51 0.03
 -------- 22:00 0.08 ---- 0.09 1.51 0.03
 04.12.12 23:00 0.07 ---- 0.09 1.50 0.03
 -------- 00:00 0.06 ---- 0.08 1.48 0.02
 -------- 01:00 0.06 ---- 0.07 1.48 0.02
 -------- 02:00 0.06 ---- 0.08 1.52 0.02
 -------- 03:00 0.06 ---- 0.10 1.50 0.02
 05.12.12 04:00 0.06 ---- 0.08 1.50 0.02
 -------- 05:00 0.06 ---- 0.09 1.48 0.03
 -------- 06:00 0.07 ---- 0.12 1.48 0.04
 -------- 07:00 0.07 ---- 0.13 1.48 0.05
 -------- 08:00 0.08 ---- 0.14 1.51 0.05
 05.12.12 09:00 0.10 ---- 0.18 1.58 0.09
 -------- 10:00 0.10 ---- 0.19 1.59 0.11
 -------- 11:00 0.09 ---- 0.16 1.53 0.07
