 Date Time CO H2S NO2 CHX NO
 11.02.13 11:00 0.11 ---- 0.10 1.92 0.05
 -------- 12:00 0.11 ---- 0.12 1.99 0.06
 -------- 13:00 0.12 ---- 0.13 1.88 0.07
 -------- 14:00 0.12 ---- 0.12 5.00 0.06
 -------- 15:00 0.16 ---- 0.14 4.88 0.11
 11.02.13 16:00 0.14 ---- 0.14 2.45 0.12
 -------- 17:00 0.13 ---- 0.13 2.11 0.08
 -------- 18:00 0.17 ---- 0.13 2.36 0.12
 -------- 19:00 0.14 ---- 0.13 2.38 0.11
 -------- 20:00 0.14 ---- 0.12 2.27 0.09
 11.02.13 21:00 0.13 ---- 0.13 2.04 0.08
 -------- 22:00 0.10 ---- 0.13 1.90 0.06
 -------- 23:00 0.11 ---- 0.14 1.98 0.08
 -------- 00:00 0.11 ---- 0.14 1.95 0.08
 -------- 01:00 0.10 ---- 0.12 1.85 0.04
 12.02.13 02:00 0.09 ---- 0.11 1.79 0.03
 -------- 03:00 0.08 ---- 0.13 1.62 0.04
 -------- 04:00 0.10 ---- 0.15 1.67 0.07
 -------- 05:00 0.10 ---- 0.14 1.82 0.09
 -------- 06:00 0.11 ---- 0.14 1.98 0.08
 12.02.13 07:00 0.09 ---- 0.13 2.31 0.10
 -------- 08:00 0.05 ---- 0.11 1.82 0.06
 -------- 09:00 0.10 ---- 0.14 1.84 0.13
 -------- 10:00 0.08 ---- 0.14 1.85 0.13
 -------- 11:00 0.07 ---- 0.13 1.85 0.07
 12.02.13 12:00 0.08 ---- 0.17 1.84 0.10
 -------- 13:00 0.07 ---- 0.17 1.84 0.08
 -------- 14:00 0.07 ---- 0.17 3.64 0.07
 -------- 15:00 0.09 ---- 0.19 3.58 0.10
 -------- 16:00 0.07 ---- 0.18 1.94 0.09
 12.02.13 17:00 0.07 ---- 0.17 1.77 0.07
 -------- 18:00 0.09 ---- 0.16 1.83 0.04
 -------- 19:00 0.05 ---- 0.15 1.75 0.04
 -------- 20:00 0.07 ---- 0.15 1.76 0.05
 -------- 21:00 0.13 ---- 0.19 1.79 0.12
 12.02.13 22:00 0.10 ---- 0.18 1.75 0.09
 -------- 23:00 0.11 ---- 0.18 1.82 0.11
 -------- 00:00 0.09 ---- 0.18 1.82 0.10
 -------- 01:00 0.15 ---- 0.16 1.82 0.08
 -------- 02:00 0.05 ---- 0.14 1.73 0.04
 13.02.13 03:00 0.03 ---- 0.14 1.74 0.03
 -------- 04:00 0.02 ---- 0.14 1.79 0.03
 -------- 05:00 0.02 ---- 0.11 1.68 0.02
 -------- 06:00 0.04 ---- 0.14 1.93 0.03
 -------- 07:00 0.07 ---- 0.13 1.84 0.02
 13.02.13 08:00 0.09 ---- 0.18 2.01 0.04
 -------- 09:00 0.09 ---- 0.17 2.18 0.06
 -------- 10:00 0.10 ---- 0.18 2.31 0.08
