 Date Time CO SO2 H2S NO2 CHX NO
 26.03.13 00:00 0.09 0.00 0.12 0.27 1.48 0.06
 -------- 01:00 0.08 0.00 0.12 0.27 1.49 0.06
 -------- 02:00 0.08 0.00 0.12 0.25 1.49 0.04
 -------- 03:00 0.07 0.00 0.12 0.24 1.47 0.03
 -------- 04:00 0.06 0.00 0.12 0.24 1.47 0.03
 26.03.13 05:00 0.08 0.00 0.12 0.26 1.52 0.05
 -------- 06:00 0.08 0.01 0.12 0.27 1.54 0.08
 -------- 07:00 0.06 0.00 0.12 0.27 1.52 0.07
 -------- 08:00 0.07 0.00 0.12 0.27 1.56 0.07
 -------- 09:00 0.07 0.01 0.12 0.31 1.57 0.11
 26.03.13 10:00 0.07 0.01 0.12 0.30 1.58 0.10
 -------- 11:00 0.08 0.01 0.12 0.31 1.59 0.12
 -------- 12:00 0.07 0.01 0.17 0.30 1.55 0.12
 -------- 13:00 0.07 0.01 0.25 0.29 1.55 0.09
 -------- 14:00 0.09 0.01 0.25 0.30 1.57 0.11
 26.03.13 15:00 0.09 0.01 0.29 0.32 1.56 0.11
 -------- 16:00 0.07 0.01 0.38 0.33 1.52 0.09
 -------- 17:00 0.07 0.01 0.38 0.33 1.53 0.08
 -------- 18:00 0.07 0.01 0.38 0.33 1.53 0.07
 -------- 19:00 0.08 0.01 0.46 0.33 1.54 0.08
 26.03.13 20:00 0.13 0.01 0.46 0.35 1.70 0.09
 -------- 21:00 0.10 0.01 0.38 0.36 1.65 0.10
 -------- 22:00 0.11 0.01 0.38 0.37 1.63 0.11
 -------- 23:00 0.10 0.01 0.38 0.37 1.62 0.11
 -------- 00:00 0.09 0.01 0.25 0.37 1.60 0.10
 27.03.13 01:00 0.09 0.01 0.12 0.36 1.59 0.10
 -------- 02:00 0.09 0.01 0.12 0.35 1.63 0.11
 -------- 03:00 0.10 0.01 0.12 0.36 1.68 0.21
 -------- 04:00 0.07 0.01 0.12 0.36 1.67 0.13
 -------- 05:00 0.21 0.01 0.17 0.39 2.23 0.40
 27.03.13 06:00 0.37 0.02 0.42 0.51 2.44 0.98
 -------- 07:00 0.23 0.01 0.29 0.44 2.00 0.62
 -------- 08:00 0.27 0.01 0.38 0.50 2.02 0.72
 -------- 09:00 0.18 0.01 0.25 0.48 1.86 0.53
 -------- 10:00 0.16 0.01 0.12 0.47 1.83 0.42
 27.03.13 11:00 0.13 0.01 0.17 0.45 1.76 0.32
 -------- 12:00 0.09 0.01 0.25 0.40 1.67 0.20
 -------- 13:00 0.06 0.01 0.25 0.38 1.62 0.14
 -------- 14:00 0.05 0.02 0.38 0.38 1.57 0.13
 -------- 15:00 0.05 0.02 0.42 0.25 1.53 0.09
 27.03.13 16:00 0.06 0.02 0.50 0.25 1.53 0.08
 -------- 17:00 0.05 0.02 0.46 0.26 1.53 0.08
 -------- 18:00 0.07 0.02 0.50 0.25 1.54 0.07
 -------- 19:00 0.07 0.02 0.46 0.26 1.55 0.06
 -------- 20:00 0.09 0.01 0.38 0.25 1.55 0.06
 27.03.13 21:00 0.13 0.01 0.38 0.30 1.60 0.09
 -------- 22:00 0.13 0.01 0.38 0.33 1.60 0.10
 -------- 23:00 0.13 0.01 0.25 0.36 1.60 0.15
