 Date Time CO H2S NO2 CHX NO
 15.02.13 00:00 0.08 ---- 0.20 2.05 0.03
 -------- 01:00 0.07 ---- 0.20 1.89 0.02
 -------- 02:00 0.08 ---- 0.20 1.99 0.02
 -------- 03:00 0.14 ---- 0.19 1.91 0.02
 -------- 04:00 0.07 ---- 0.19 1.88 0.02
 15.02.13 05:00 0.08 ---- 0.19 1.97 0.03
 -------- 06:00 0.07 ---- 0.19 1.90 0.04
 -------- 07:00 0.09 ---- 0.21 2.42 0.09
 -------- 08:00 0.09 ---- 0.21 2.14 0.05
 -------- 09:00 0.10 ---- 0.22 2.38 0.11
 15.02.13 10:00 0.11 ---- 0.22 2.34 0.13
 -------- 11:00 0.09 ---- 0.22 2.14 0.12
 -------- 12:00 0.10 ---- 0.23 2.13 0.17
 -------- 13:00 0.10 ---- 0.23 1.93 0.16
 -------- 14:00 0.09 ---- 0.24 1.91 0.13
 15.02.13 15:00 0.11 ---- 0.25 3.66 0.13
 -------- 16:00 0.09 ---- 0.27 2.03 0.13
 -------- 17:00 0.09 ---- 0.25 1.96 0.10
 -------- 18:00 0.09 ---- 0.26 1.94 0.10
 -------- 19:00 0.12 ---- 0.25 2.06 0.08
 15.02.13 20:00 0.15 ---- 0.26 2.21 0.10
 -------- 21:00 0.14 ---- 0.26 2.12 0.07
 -------- 22:00 0.15 ---- 0.26 2.22 0.07
 -------- 23:00 0.15 ---- 0.25 2.13 0.09
 -------- 00:00 0.14 ---- 0.25 2.06 0.09
 16.02.13 01:00 0.16 ---- 0.25 2.17 0.13
 -------- 02:00 0.17 ---- 0.24 13.86 0.16
 -------- 03:00 0.15 ---- 0.24 3.65 0.14
 -------- 04:00 0.14 ---- 0.23 2.81 0.13
 -------- 05:00 0.16 ---- 0.23 2.87 0.17
 16.02.13 06:00 0.19 ---- 0.24 3.04 0.24
 -------- 07:00 0.18 ---- 0.24 2.79 0.23
 -------- 08:00 0.18 ---- 0.23 2.94 0.22
 -------- 09:00 0.28 ---- 0.27 3.18 0.40
 -------- 10:00 0.23 ---- 0.26 2.98 0.32
 16.02.13 11:00 0.19 ---- 0.25 2.59 0.18
 -------- 12:00 0.15 ---- 0.24 2.24 0.18
 -------- 13:00 0.17 ---- 0.26 2.35 0.24
 -------- 14:00 0.17 ---- 0.26 2.17 0.21
 -------- 15:00 0.15 ---- 0.24 1.98 0.18
 16.02.13 16:00 0.13 ---- 0.25 1.85 0.18
 -------- 17:00 0.12 ---- 0.24 1.82 0.14
 -------- 18:00 0.09 ---- 0.21 1.70 0.07
 -------- 19:00 0.09 ---- 0.19 1.65 0.04
 -------- 20:00 0.09 ---- 0.17 1.59 0.02
 16.02.13 21:00 0.10 ---- 0.17 1.61 0.02
 -------- 22:00 0.08 ---- 0.14 1.58 0.01
 -------- 23:00 0.07 ---- 0.12 1.57 0.01
 -------- 00:00 0.08 ---- 0.12 1.57 0.02
