 Date Time CO H2S NO2 CHX NO
 06.12.12 12:00 0.06 ---- 0.10 1.75 0.03
 -------- 13:00 0.05 ---- 0.09 1.75 0.02
 -------- 14:00 0.05 ---- 0.09 1.70 0.02
 -------- 15:00 0.07 ---- 0.11 1.95 0.03
 -------- 16:00 0.07 ---- 0.12 3.70 0.04
 06.12.12 17:00 0.08 ---- 0.14 3.50 0.06
 -------- 18:00 0.09 ---- 0.13 2.04 0.06
 -------- 19:00 0.05 ---- 0.14 2.03 0.09
 -------- 20:00 0.06 ---- 0.14 1.86 0.07
 -------- 21:00 0.06 ---- 0.13 1.92 0.06
 06.12.12 22:00 0.06 ---- 0.12 1.91 0.03
 -------- 23:00 0.05 ---- 0.10 1.76 0.02
 -------- 00:00 0.04 ---- 0.11 1.62 0.01
 -------- 01:00 0.02 ---- 0.08 1.57 0.01
 -------- 02:00 0.02 ---- 0.07 1.54 0.00
 07.12.12 03:00 0.03 ---- 0.07 1.54 0.01
 -------- 04:00 0.03 ---- 0.06 1.56 0.00
 -------- 05:00 0.02 ---- 0.07 1.61 0.00
 -------- 06:00 0.03 ---- 0.07 1.60 0.01
 -------- 07:00 0.03 ---- 0.09 1.67 0.01
 07.12.12 08:00 0.02 ---- 0.08 1.69 0.02
 -------- 09:00 0.03 ---- 0.10 1.69 0.03
 -------- 10:00 0.04 ---- 0.10 1.80 0.02
 -------- 11:00 0.05 ---- 0.13 1.94 0.06
 -------- 12:00 0.03 ---- 0.11 1.82 0.04
 07.12.12 13:00 0.05 ---- 0.13 1.93 0.07
 -------- 14:00 0.04 ---- 0.14 3.04 0.09
 -------- 15:00 0.04 ---- 0.12 2.87 0.03
 -------- 16:00 0.04 ---- 0.13 1.80 0.04
 -------- 17:00 0.09 ---- 0.13 1.82 0.06
 07.12.12 18:00 0.06 ---- 0.13 1.78 0.04
 -------- 19:00 0.07 ---- 0.15 1.77 0.06
 -------- 20:00 0.08 ---- 0.13 1.87 0.06
 -------- 21:00 0.07 ---- 0.11 1.83 0.04
 -------- 22:00 0.07 ---- 0.10 1.82 0.06
 07.12.12 23:00 0.07 ---- 0.10 1.83 0.08
 -------- 00:00 0.09 ---- 0.11 2.95 0.14
 -------- 01:00 0.07 ---- 0.11 3.24 0.12
 -------- 02:00 0.05 ---- 0.10 2.07 0.07
 -------- 03:00 0.05 ---- 0.10 1.95 0.08
 08.12.12 04:00 0.07 ---- 0.10 1.87 0.10
 -------- 05:00 0.04 ---- 0.10 1.82 0.06
 -------- 06:00 0.07 ---- 0.11 1.85 0.11
 -------- 07:00 0.09 ---- 0.12 1.91 0.17
 -------- 08:00 0.12 ---- 0.10 1.86 0.07
 08.12.12 09:00 0.15 ---- 0.12 1.98 0.14
 -------- 10:00 0.13 ---- 0.10 2.06 0.10
 -------- 11:00 0.13 ---- 0.10 2.00 0.09
