 Date Time CO H2S NO2 NO
 16.10.12 00:00 0.03 0.12 0.12 0.03
 -------- 01:00 0.02 0.21 0.13 0.02
 -------- 02:00 0.02 0.25 0.10 0.02
 -------- 03:00 0.02 0.25 0.11 0.02
 -------- 04:00 0.02 ---- 0.07 0.01
 16.10.12 05:00 0.02 0.12 0.08 0.02
 -------- 06:00 0.04 0.12 0.09 0.02
 -------- 07:00 0.04 0.25 0.09 0.02
 -------- 08:00 0.09 0.25 0.09 0.02
 -------- 09:00 0.07 0.17 0.11 0.03
 16.10.12 10:00 0.07 0.12 0.10 0.03
 -------- 11:00 0.09 0.12 0.12 0.05
 -------- 12:00 0.09 0.12 0.11 0.04
 -------- 13:00 0.07 0.12 0.11 0.04
 -------- 14:00 0.09 0.21 0.12 0.06
 16.10.12 15:00 0.07 0.19 0.12 0.05
 -------- 16:00 0.06 ---- 0.12 0.05
 -------- 17:00 0.10 0.12 0.12 0.06
 -------- 18:00 0.09 0.12 0.11 0.05
 -------- 19:00 0.06 0.12 0.10 0.04
 16.10.12 20:00 0.09 0.25 0.11 0.05
 -------- 21:00 0.08 0.25 0.11 0.05
 -------- 22:00 0.07 0.25 0.10 0.03
 -------- 23:00 0.07 0.17 0.10 0.04
 -------- 00:00 0.09 0.12 0.11 0.08
 17.10.12 01:00 0.08 0.12 0.10 0.07
 -------- 02:00 0.07 0.17 0.10 0.05
 -------- 03:00 0.07 0.29 0.10 0.07
 -------- 04:00 0.07 0.25 0.10 0.07
 -------- 05:00 0.07 0.21 0.09 0.07
 17.10.12 06:00 0.10 0.21 0.09 0.10
 -------- 07:00 0.11 0.12 0.09 0.13
 -------- 08:00 0.11 0.12 0.09 0.14
 -------- 09:00 0.11 0.21 0.09 0.13
 -------- 10:00 0.09 0.25 0.08 0.11
 17.10.12 11:00 0.10 0.33 0.08 0.15
 -------- 12:00 0.09 0.25 0.08 0.11
 -------- 13:00 0.09 0.21 0.07 0.10
 -------- 14:00 0.09 0.21 0.08 0.09
 -------- 15:00 0.10 0.12 0.11 0.07
 17.10.12 16:00 0.07 0.17 0.12 0.05
 -------- 17:00 0.09 0.12 0.15 0.08
 -------- 18:00 0.12 0.12 0.17 0.12
 -------- 19:00 0.07 0.12 0.12 0.06
 -------- 20:00 0.07 0.21 0.10 0.05
 17.10.12 21:00 0.05 0.12 0.09 0.04
 -------- 22:00 0.05 0.25 0.09 0.03
 -------- 23:00 0.05 0.21 0.10 0.03
