 Date Time CO H2S NO2 CHX NO
 30.11.12 12:00 0.09 ---- 0.09 2.92 0.05
 -------- 13:00 0.09 ---- 0.09 1.88 0.05
 -------- 14:00 0.09 ---- 0.09 1.79 0.06
 -------- 15:00 0.10 ---- 0.09 1.79 0.06
 -------- 16:00 0.11 ---- 0.09 1.77 0.06
 30.11.12 17:00 0.12 ---- 0.09 1.92 0.08
 -------- 18:00 0.16 ---- 0.09 2.17 0.12
 -------- 19:00 0.15 ---- 0.09 2.16 0.15
 -------- 20:00 0.31 ---- 0.11 2.32 0.27
 -------- 21:00 0.24 ---- 0.13 2.17 0.32
 30.11.12 22:00 0.20 ---- 0.14 1.87 0.26
 -------- 23:00 0.19 ---- 0.12 2.06 0.21
 -------- 00:00 0.17 ---- 0.14 3.64 0.21
 -------- 01:00 0.15 ---- 0.15 7.09 0.15
 -------- 02:00 0.14 ---- 0.16 2.71 0.12
 01.12.12 03:00 0.19 ---- 0.16 2.26 0.19
 -------- 04:00 0.16 ---- 0.16 2.16 0.16
 -------- 05:00 0.09 ---- 0.15 1.77 0.10
 -------- 06:00 0.07 ---- 0.11 1.63 0.06
 -------- 07:00 0.06 ---- 0.10 1.63 0.05
 01.12.12 08:00 0.09 ---- 0.10 1.60 0.08
 -------- 09:00 0.11 ---- 0.10 1.59 0.12
 -------- 10:00 0.11 ---- 0.11 1.61 0.18
 -------- 11:00 0.17 ---- 0.12 1.75 0.24
 -------- 12:00 0.19 ---- 0.12 1.80 0.27
 01.12.12 13:00 0.19 ---- 0.11 1.86 0.25
 -------- 14:00 0.20 ---- 0.12 1.86 0.25
 -------- 15:00 0.21 ---- 0.12 2.04 0.27
 -------- 16:00 0.21 ---- 0.11 12.72 0.27
 -------- 17:00 0.29 ---- 0.13 4.18 0.32
 01.12.12 18:00 0.27 ---- 0.11 2.54 0.30
 -------- 19:00 0.27 ---- 0.12 2.48 0.29
 -------- 20:00 0.29 ---- 0.11 2.57 0.28
 -------- 21:00 0.34 ---- 0.12 2.57 0.37
 -------- 22:00 0.31 ---- 0.11 2.62 0.32
 01.12.12 23:00 0.25 ---- 0.11 2.28 0.27
 -------- 00:00 0.23 ---- 0.10 2.19 0.24
 -------- 01:00 0.28 ---- 0.11 2.34 0.36
 -------- 02:00 0.26 ---- 0.11 2.47 0.33
 -------- 03:00 0.22 ---- 0.10 2.18 0.27
 02.12.12 04:00 0.17 ---- 0.10 1.88 0.24
 -------- 05:00 0.13 ---- 0.09 1.69 0.16
 -------- 06:00 0.11 ---- 0.09 1.64 0.16
 -------- 07:00 0.10 ---- 0.08 1.62 0.14
 -------- 08:00 0.11 ---- 0.08 1.68 0.16
 02.12.12 09:00 0.13 ---- 0.10 1.68 0.17
 -------- 10:00 0.14 ---- 0.10 1.74 0.18
 -------- 11:00 0.17 ---- 0.10 1.76 0.19
