 Date Time CO H2S NO2 NO
 07.10.12 12:00 0.08 ---- 0.10 0.03
 -------- 13:00 0.08 0.17 0.10 0.03
 -------- 14:00 0.07 0.12 0.10 0.03
 -------- 15:00 0.07 0.12 0.10 0.03
 -------- 16:00 0.07 0.12 0.10 0.03
 07.10.12 17:00 0.07 0.33 0.12 0.03
 -------- 18:00 0.08 0.50 0.13 0.04
 -------- 19:00 0.08 0.25 0.14 0.05
 -------- 20:00 0.09 0.12 0.18 0.06
 -------- 21:00 0.19 0.75 0.23 0.17
 07.10.12 22:00 0.27 ---- 0.22 0.22
 -------- 23:00 0.27 0.38 0.22 0.25
 -------- 00:00 0.27 0.42 0.21 0.28
 -------- 01:00 0.55 0.44 0.24 0.67
 -------- 02:00 0.63 0.12 0.23 0.88
 08.10.12 03:00 0.47 0.25 0.18 0.62
 -------- 04:00 0.40 0.42 0.18 0.59
 -------- 05:00 0.27 0.29 0.17 0.41
 -------- 06:00 0.10 ---- 0.17 0.11
 -------- 07:00 0.07 0.50 0.15 0.04
 08.10.12 08:00 0.09 0.50 0.16 0.04
 -------- 09:00 0.09 0.33 0.13 0.04
 -------- 10:00 0.14 0.33 0.18 0.09
 -------- 11:00 0.24 0.38 0.23 0.26
 -------- 12:00 0.19 0.29 0.23 0.20
 08.10.12 13:00 0.18 0.19 0.23 0.16
 -------- 14:00 0.16 ---- 0.20 0.14
 -------- 15:00 0.15 0.12 0.18 0.11
 -------- 16:00 0.13 0.12 0.18 0.10
 -------- 17:00 0.14 0.25 0.18 0.11
 08.10.12 18:00 0.15 0.25 0.17 0.09
 -------- 19:00 0.13 0.19 0.17 0.08
 -------- 20:00 0.09 ---- 0.17 0.09
 -------- 21:00 0.10 0.25 0.17 0.09
 -------- 22:00 0.11 0.21 0.18 0.14
 08.10.12 23:00 0.13 0.17 0.19 0.18
 -------- 00:00 0.14 0.21 0.19 0.19
 -------- 01:00 0.10 0.12 0.18 0.13
 -------- 02:00 0.05 0.12 0.16 0.10
 -------- 03:00 0.03 0.50 0.15 0.06
 09.10.12 04:00 0.05 0.54 0.17 0.09
 -------- 05:00 0.05 0.29 0.15 0.08
 -------- 06:00 0.07 0.12 0.16 0.10
 -------- 07:00 0.11 0.12 0.18 0.14
 -------- 08:00 0.16 0.21 0.19 0.13
 09.10.12 09:00 0.18 0.12 0.19 0.17
 -------- 10:00 0.20 0.12 0.21 0.23
 -------- 11:00 0.17 0.12 0.21 0.20
