 Date Time CO H2S NO2 CHX NO
 12.01.13 12:00 0.14 ---- 0.16 1.98 0.14
 -------- 13:00 0.15 ---- 0.16 2.09 0.14
 -------- 14:00 0.15 ---- 0.15 1.99 0.14
 -------- 15:00 0.16 ---- 0.16 2.11 0.14
 -------- 16:00 0.15 ---- 0.16 1.94 0.12
 12.01.13 17:00 0.18 ---- 0.17 1.96 0.17
 -------- 18:00 0.17 ---- 0.16 1.95 0.17
 -------- 19:00 0.17 ---- 0.16 1.99 0.18
 -------- 20:00 0.20 ---- 0.17 2.13 0.22
 -------- 21:00 0.21 ---- 0.17 2.16 0.24
 12.01.13 22:00 0.23 ---- 0.18 2.23 0.26
 -------- 23:00 0.24 ---- 0.18 2.18 0.31
 -------- 00:00 0.25 ---- 0.18 2.41 0.32
 -------- 01:00 0.25 ---- 0.18 2.39 0.33
 -------- 02:00 0.21 ---- 0.17 2.21 0.26
 13.01.13 03:00 0.22 ---- 0.18 2.15 0.31
 -------- 04:00 0.20 ---- 0.17 2.18 0.29
 -------- 05:00 0.15 ---- 0.17 2.03 0.21
 -------- 06:00 0.13 ---- 0.15 1.94 0.18
 -------- 07:00 0.09 ---- 0.14 1.72 0.10
 13.01.13 08:00 0.08 ---- 0.13 1.74 0.09
 -------- 09:00 0.08 ---- 0.14 1.80 0.11
 -------- 10:00 0.09 ---- 0.14 1.78 0.11
 -------- 11:00 0.10 ---- 0.14 1.76 0.13
 -------- 12:00 0.10 ---- 0.14 1.75 0.12
 13.01.13 13:00 0.11 ---- 0.14 1.73 0.12
 -------- 14:00 0.11 ---- 0.16 1.73 0.12
 -------- 15:00 0.11 ---- 0.16 1.70 0.12
 -------- 16:00 0.10 ---- 0.17 1.65 0.11
 -------- 17:00 0.11 ---- 0.17 1.66 0.13
 13.01.13 18:00 0.10 ---- 0.17 1.65 0.10
 -------- 19:00 0.11 ---- 0.18 1.66 0.13
 -------- 20:00 0.11 ---- 0.17 1.65 0.11
 -------- 21:00 0.10 ---- 0.16 1.65 0.11
 -------- 22:00 0.11 ---- 0.16 1.66 0.13
 13.01.13 23:00 0.13 ---- 0.16 1.67 0.13
 -------- 00:00 0.10 ---- 0.17 1.64 0.13
 -------- 01:00 0.08 ---- 0.16 1.59 0.08
 -------- 02:00 0.07 ---- 0.15 1.57 0.06
 -------- 03:00 0.06 ---- 0.14 1.56 0.05
 14.01.13 04:00 0.06 ---- 0.15 1.56 0.05
 -------- 05:00 0.06 ---- 0.15 1.55 0.06
 -------- 06:00 0.08 ---- 0.15 1.57 0.09
 -------- 07:00 0.07 ---- 0.15 1.60 0.08
 -------- 08:00 0.09 ---- 0.16 1.66 0.11
 14.01.13 09:00 0.11 ---- 0.18 1.73 0.17
 -------- 10:00 0.10 ---- 0.19 1.69 0.17
 -------- 11:00 0.11 ---- 0.19 1.74 0.17
