 Date Time CO H2S NO2 CHX NO
 22.11.12 12:00 0.24 0.38 0.19 1.95 0.29
 -------- 13:00 0.22 0.38 0.21 1.84 0.26
 -------- 14:00 0.21 0.38 0.22 1.88 0.20
 -------- 15:00 0.19 0.29 0.22 3.54 0.18
 -------- 16:00 0.17 0.46 0.22 2.02 0.16
 22.11.12 17:00 0.18 0.25 0.21 1.83 0.13
 -------- 18:00 0.15 0.17 0.20 1.76 0.09
 -------- 19:00 0.16 0.21 0.21 1.81 0.10
 -------- 20:00 0.17 0.25 0.20 1.85 0.10
 -------- 21:00 0.17 0.17 0.20 1.80 0.10
 22.11.12 22:00 0.19 0.12 0.19 1.72 0.09
 -------- 23:00 0.19 0.12 0.21 1.89 0.14
 -------- 00:00 0.17 0.25 0.19 3.04 0.10
 -------- 01:00 0.13 0.17 0.19 7.23 0.08
 -------- 02:00 0.11 0.17 0.16 2.21 0.06
 23.11.12 03:00 0.09 0.12 0.15 1.74 0.05
 -------- 04:00 0.09 0.25 0.12 1.63 0.03
 -------- 05:00 0.09 0.17 0.11 1.58 0.04
 -------- 06:00 0.12 0.25 0.14 1.63 0.07
 -------- 07:00 0.10 0.17 0.14 1.62 0.07
 23.11.12 08:00 0.10 0.12 0.15 1.74 0.10
 -------- 09:00 0.11 0.17 0.17 1.76 0.13
 -------- 10:00 0.11 0.12 0.16 1.79 0.13
 -------- 11:00 0.11 0.12 0.16 1.77 0.13
 -------- 12:00 0.11 0.21 0.15 1.77 0.12
 23.11.12 13:00 0.11 0.19 0.15 1.82 0.13
 -------- 14:00 0.13 0.12 0.17 2.16 0.14
 -------- 15:00 0.16 0.19 0.19 7.97 0.18
 -------- 16:00 0.17 0.29 0.19 3.10 0.21
 -------- 17:00 0.19 0.25 0.19 2.27 0.20
 23.11.12 18:00 0.20 0.38 0.19 2.28 0.22
 -------- 19:00 0.19 0.29 0.18 2.20 0.18
 -------- 20:00 0.20 0.25 0.18 2.07 0.16
 -------- 21:00 0.19 0.21 0.18 2.01 0.17
 -------- 22:00 0.17 0.25 0.18 2.02 0.17
 23.11.12 23:00 0.18 0.25 0.18 1.97 0.21
 -------- 00:00 0.17 0.25 0.17 1.98 0.22
 -------- 01:00 0.15 0.17 0.15 1.83 0.14
 -------- 02:00 0.14 0.12 0.14 1.63 0.11
 -------- 03:00 0.11 0.12 0.13 1.60 0.09
 24.11.12 04:00 0.11 0.17 0.12 1.65 0.08
 -------- 05:00 0.10 0.12 0.12 1.61 0.08
 -------- 06:00 0.09 0.25 0.12 1.60 0.11
 -------- 07:00 0.12 0.21 0.13 1.78 0.12
 -------- 08:00 0.16 0.25 0.13 1.87 0.16
 24.11.12 09:00 0.20 0.33 0.14 2.07 0.22
 -------- 10:00 0.21 0.46 0.14 2.01 0.23
 -------- 11:00 0.18 0.29 0.13 1.86 0.17
