 Date Time CO H2S NO2 CHX NO
 15.11.12 12:00 0.12 ---- 0.13 1.39 0.11
 -------- 13:00 0.12 0.25 0.13 0.74 0.10
 -------- 14:00 0.11 0.50 0.13 1.61 0.11
 -------- 15:00 0.11 0.42 0.13 1.59 0.11
 -------- 16:00 0.11 0.38 0.13 1.63 0.10
 15.11.12 17:00 0.10 0.33 0.14 1.63 0.10
 -------- 18:00 0.14 0.33 0.14 1.59 0.11
 -------- 19:00 0.13 0.25 0.15 1.56 0.12
 -------- 20:00 0.07 0.46 0.13 1.53 0.09
 -------- 21:00 0.06 0.38 0.13 1.52 0.07
 15.11.12 22:00 0.04 0.33 0.11 1.50 0.05
 -------- 23:00 0.04 0.38 0.11 1.49 0.05
 -------- 00:00 0.03 0.25 0.09 1.47 0.03
 -------- 01:00 0.02 0.19 0.08 1.46 0.03
 -------- 02:00 0.02 ---- 0.07 1.44 0.02
 16.11.12 03:00 0.02 ---- 0.07 1.44 0.02
 -------- 04:00 0.02 ---- 0.09 1.45 0.02
 -------- 05:00 0.02 ---- 0.12 1.43 0.03
 -------- 06:00 0.03 ---- 0.14 1.43 0.05
 -------- 07:00 0.06 0.12 0.16 1.45 0.06
 16.11.12 08:00 0.09 0.12 0.17 1.47 0.07
 -------- 09:00 0.09 0.12 0.15 1.46 0.06
 -------- 10:00 0.08 ---- 0.16 1.50 0.06
 -------- 11:00 0.10 0.12 0.16 1.49 0.09
 -------- 12:00 0.10 0.12 0.15 1.48 0.08
 16.11.12 13:00 0.10 0.12 0.16 1.47 0.09
 -------- 14:00 0.11 0.21 0.17 1.49 0.10
 -------- 15:00 0.11 0.12 0.17 1.48 0.10
 -------- 16:00 0.11 ---- 0.17 1.47 0.09
 -------- 17:00 0.13 0.25 0.18 1.49 0.09
 16.11.12 18:00 0.11 0.25 0.17 1.49 0.08
 -------- 19:00 0.09 0.25 0.16 1.48 0.08
 -------- 20:00 0.08 0.25 0.17 1.51 0.09
 -------- 21:00 0.09 0.29 0.17 1.51 0.09
 -------- 22:00 0.09 0.12 0.16 1.51 0.09
 16.11.12 23:00 0.07 0.17 0.15 1.49 0.08
 -------- 00:00 0.05 0.25 0.15 1.51 0.06
 -------- 01:00 0.05 0.17 0.15 1.51 0.05
 -------- 02:00 0.05 0.12 0.15 1.53 0.05
 -------- 03:00 0.05 0.17 0.13 1.50 0.04
 17.11.12 04:00 0.03 0.25 0.12 1.48 0.03
 -------- 05:00 0.03 0.19 0.11 1.44 0.03
 -------- 06:00 0.03 0.12 0.13 1.47 0.04
 -------- 07:00 0.05 0.12 0.13 1.48 0.04
 -------- 08:00 0.07 ---- 0.16 1.50 0.07
 17.11.12 09:00 0.09 0.12 0.18 1.53 0.10
 -------- 10:00 0.10 0.12 0.17 1.52 0.10
 -------- 11:00 0.12 0.12 0.17 1.54 0.12
