 Date Time CO H2S NO2 CHX NO
 05.12.12 12:00 0.10 ---- 0.17 1.56 0.09
 -------- 13:00 0.09 ---- 0.17 1.56 0.09
 -------- 14:00 0.10 ---- 0.20 1.56 0.14
 -------- 15:00 0.13 ---- 0.20 1.75 0.15
 -------- 16:00 0.17 ---- 0.21 4.00 0.22
 05.12.12 17:00 0.18 ---- 0.22 2.01 0.24
 -------- 18:00 0.29 ---- 0.24 2.39 0.32
 -------- 19:00 0.21 ---- 0.23 2.10 0.26
 -------- 20:00 0.19 ---- 0.22 2.06 0.25
 -------- 21:00 0.24 ---- 0.24 2.15 0.33
 05.12.12 22:00 0.19 ---- 0.21 2.06 0.22
 -------- 23:00 0.16 ---- 0.20 2.14 0.21
 -------- 00:00 0.11 ---- 0.19 1.93 0.14
 -------- 01:00 0.07 ---- 0.22 1.73 0.15
 -------- 02:00 0.06 ---- 0.17 1.68 0.05
 06.12.12 03:00 0.04 ---- 0.14 1.59 0.02
 -------- 04:00 0.04 ---- 0.11 1.67 0.01
 -------- 05:00 0.04 ---- 0.09 1.57 0.00
 -------- 06:00 0.04 ---- 0.10 1.67 0.01
 -------- 07:00 0.04 ---- 0.10 1.69 0.01
 06.12.12 08:00 0.05 ---- 0.10 1.81 0.01
 -------- 09:00 0.05 ---- 0.12 1.91 0.02
 -------- 10:00 0.07 ---- 0.12 1.84 0.03
 -------- 11:00 0.06 ---- 0.11 1.82 0.03
 -------- 12:00 0.06 ---- 0.10 1.81 0.03
 06.12.12 13:00 0.05 ---- 0.09 1.75 0.02
 -------- 14:00 0.05 ---- 0.09 1.70 0.02
 -------- 15:00 0.07 ---- 0.11 1.95 0.03
 -------- 16:00 0.07 ---- 0.12 3.70 0.04
 -------- 17:00 0.08 ---- 0.14 3.50 0.06
 06.12.12 18:00 0.09 ---- 0.13 2.04 0.06
 -------- 19:00 0.05 ---- 0.14 2.03 0.09
 -------- 20:00 0.06 ---- 0.14 1.86 0.07
 -------- 21:00 0.06 ---- 0.13 1.92 0.06
 -------- 22:00 0.06 ---- 0.12 1.91 0.03
 06.12.12 23:00 0.05 ---- 0.10 1.76 0.02
 -------- 00:00 0.04 ---- 0.11 1.62 0.01
 -------- 01:00 0.02 ---- 0.08 1.57 0.01
 -------- 02:00 0.02 ---- 0.07 1.54 0.00
 -------- 03:00 0.03 ---- 0.07 1.54 0.01
 07.12.12 04:00 0.03 ---- 0.06 1.56 0.00
 -------- 05:00 0.02 ---- 0.07 1.61 0.00
 -------- 06:00 0.03 ---- 0.07 1.60 0.01
 -------- 07:00 0.03 ---- 0.09 1.67 0.01
 -------- 08:00 0.02 ---- 0.08 1.69 0.02
 07.12.12 09:00 0.03 ---- 0.10 1.69 0.03
 -------- 10:00 0.04 ---- 0.10 1.80 0.02
 -------- 11:00 0.05 ---- 0.13 1.94 0.06
 -------- 12:00 0.02 ---- 0.11 1.83 0.03
